t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
0.766667,0.079423,-0.000215,-0.016712,0.110611,0.001029,-0.021127,4.677504,-0.134818,1.053153,1.285598,0.095859,-0.000430,-0.020870,0.151518,0.001548,-0.029305,4.677504,-0.134818,1.053153,1.285598
0.800000,0.083126,-0.000243,-0.017413,0.111522,0.001053,-0.020901,4.734549,-0.130364,1.071255,1.296020,0.100949,-0.000486,-0.021846,0.153868,0.001610,-0.029244,4.734549,-0.130364,1.071255,1.296020
0.833333,0.086859,-0.000274,-0.018106,0.112467,0.001076,-0.020664,4.792651,-0.126032,1.089515,1.306810,0.106117,-0.000546,-0.022819,0.156229,0.001671,-0.029162,4.792651,-0.126032,1.089515,1.306810
0.866667,0.090624,-0.000307,-0.018790,0.113446,0.001097,-0.020415,4.851796,-0.121821,1.107931,1.317968,0.111365,-0.000612,-0.023790,0.158604,0.001730,-0.029060,4.851796,-0.121821,1.107931,1.317968
0.900000,0.094422,-0.000343,-0.019467,0.114460,0.001118,-0.020156,4.911975,-0.117732,1.126500,1.329487,0.116691,-0.000683,-0.024756,0.160991,0.001789,-0.028939,4.911975,-0.117732,1.126500,1.329487
0.933333,0.098255,-0.000381,-0.020134,0.115507,0.001136,-0.019888,4.973174,-0.113763,1.145222,1.341365,0.122098,-0.000759,-0.025719,0.163393,0.001846,-0.028801,4.973174,-0.113763,1.145222,1.341365
0.966667,0.102123,-0.000422,-0.020793,0.116587,0.001154,-0.019612,5.035384,-0.109910,1.164096,1.353596,0.127584,-0.000840,-0.026676,0.165808,0.001902,-0.028647,5.035384,-0.109910,1.164096,1.353596
1.000000,0.106028,-0.000466,-0.021442,0.117701,0.001170,-0.019329,5.098593,-0.106174,1.183119,1.366177,0.133152,-0.000927,-0.027628,0.168240,0.001957,-0.028477,5.098593,-0.106174,1.183119,1.366177
1.033333,0.109970,-0.000513,-0.022081,0.118847,0.001185,-0.019040,5.162789,-0.102550,1.202292,1.379103,0.138800,-0.001019,-0.028574,0.170687,0.002010,-0.028292,5.162789,-0.102550,1.202292,1.379103
1.066667,0.113951,-0.000562,-0.022711,0.120026,0.001199,-0.018745,5.227962,-0.099037,1.221614,1.392367,0.144530,-0.001118,-0.029514,0.173150,0.002062,-0.028094,5.227962,-0.099037,1.221614,1.392367
1.100000,0.117972,-0.000614,-0.023331,0.121237,0.001212,-0.018445,5.294100,-0.095632,1.241083,1.405966,0.150343,-0.001223,-0.030447,0.175631,0.002113,-0.027883,5.294100,-0.095632,1.241083,1.405966
1.133333,0.122033,-0.000670,-0.023941,0.122479,0.001224,-0.018142,5.361191,-0.092332,1.260701,1.419894,0.156239,-0.001334,-0.031373,0.178129,0.002162,-0.027661,5.361191,-0.092332,1.260701,1.419894
1.166667,0.126137,-0.000728,-0.024540,0.123753,0.001234,-0.017835,5.429226,-0.089134,1.280467,1.434146,0.162218,-0.001451,-0.032291,0.180645,0.002210,-0.027428,5.429226,-0.089134,1.280467,1.434146
1.200000,0.130283,-0.000790,-0.025130,0.125058,0.001244,-0.017525,5.498192,-0.086034,1.300381,1.448716,0.168281,-0.001575,-0.033201,0.183180,0.002257,-0.027185,5.498192,-0.086034,1.300381,1.448716
1.233333,0.134474,-0.000855,-0.025709,0.126394,0.001253,-0.017214,5.568080,-0.083031,1.320442,1.463598,0.174429,-0.001706,-0.034103,0.185733,0.002302,-0.026932,5.568080,-0.083031,1.320442,1.463598
1.266667,0.138709,-0.000923,-0.026277,0.127761,0.001260,-0.016901,5.638876,-0.080120,1.340650,1.478788,0.180662,-0.001844,-0.034996,0.188306,0.002346,-0.026671,5.638876,-0.080120,1.340650,1.478788
1.300000,0.142991,-0.000995,-0.026835,0.129157,0.001267,-0.016586,5.710572,-0.077299,1.361006,1.494280,0.186981,-0.001989,-0.035881,0.190899,0.002389,-0.026402,5.710572,-0.077299,1.361006,1.494280
1.333333,0.147319,-0.001070,-0.027383,0.130584,0.001273,-0.016271,5.783155,-0.074565,1.381509,1.510069,0.193387,-0.002142,-0.036756,0.193511,0.002430,-0.026126,5.783155,-0.074565,1.381509,1.510069
1.366667,0.151696,-0.001148,-0.027920,0.132040,0.001278,-0.015956,5.856615,-0.071914,1.402159,1.526148,0.199880,-0.002302,-0.037623,0.196144,0.002469,-0.025844,5.856615,-0.071914,1.402159,1.526148
1.400000,0.156121,-0.001230,-0.028447,0.133525,0.001282,-0.015642,5.930941,-0.069343,1.422956,1.542514,0.206460,-0.002469,-0.038479,0.198798,0.002508,-0.025555,5.930941,-0.069343,1.422956,1.542514
1.433333,0.160597,-0.001316,-0.028963,0.135039,0.001285,-0.015328,6.006122,-0.066851,1.443901,1.559160,0.213130,-0.002644,-0.039326,0.201473,0.002544,-0.025261,6.006122,-0.066851,1.443901,1.559160
1.466667,0.165123,-0.001405,-0.029469,0.136582,0.001288,-0.015015,6.082148,-0.064433,1.464991,1.576082,0.219889,-0.002828,-0.040163,0.204168,0.002580,-0.024962,6.082148,-0.064433,1.464991,1.576082
1.500000,0.169701,-0.001499,-0.029964,0.138153,0.001290,-0.014703,6.159007,-0.062086,1.486229,1.593274,0.226738,-0.003019,-0.040990,0.206885,0.002614,-0.024659,6.159007,-0.062086,1.486229,1.593274
1.533333,0.174332,-0.001595,-0.030449,0.139752,0.001291,-0.014393,6.236688,-0.059809,1.507612,1.610732,0.233678,-0.003219,-0.041807,0.209624,0.002647,-0.024352,6.236688,-0.059809,1.507612,1.610732
1.566667,0.179016,-0.001696,-0.030923,0.141379,0.001291,-0.014084,6.315182,-0.057599,1.529142,1.628450,0.240709,-0.003427,-0.042614,0.212385,0.002678,-0.024042,6.315182,-0.057599,1.529142,1.628450
