t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
13.866667,7.315894,-0.054081,0.085135,0.831572,-0.015900,0.033593,30.280889,0.334581,7.858654,7.281791,9.450487,-0.155717,0.167346,1.012073,-0.039579,0.069453,30.280889,0.334581,7.858654,7.281791
13.900000,7.343548,-0.052239,0.086259,0.831027,-0.016014,0.033846,30.250742,0.337102,7.853291,7.272080,9.483959,-0.151366,0.169669,1.011615,-0.039874,0.069972,30.250742,0.337102,7.853291,7.272080
13.933333,7.371182,-0.050372,0.087391,0.830467,-0.016129,0.034101,30.220098,0.339642,7.847820,7.262229,9.517408,-0.146949,0.172010,1.011144,-0.040171,0.070494,30.220098,0.339642,7.847820,7.262229
13.966667,7.398795,-0.048478,0.088532,0.829892,-0.016244,0.034357,30.188959,0.342200,7.842240,7.252239,9.550832,-0.142466,0.174369,1.010661,-0.040469,0.071019,30.188959,0.342200,7.842240,7.252239
14.000000,7.426387,-0.046559,0.089682,0.829302,-0.016360,0.034616,30.157330,0.344776,7.836554,7.242111,9.584231,-0.137917,0.176745,1.010165,-0.040769,0.071548,30.157330,0.344776,7.836554,7.242111
14.033333,7.453957,-0.044613,0.090840,0.828697,-0.016476,0.034877,30.125215,0.347371,7.830761,7.231846,9.617605,-0.133301,0.179139,1.009656,-0.041069,0.072079,30.125215,0.347371,7.830761,7.231846
14.066667,7.481505,-0.042641,0.092007,0.828078,-0.016593,0.035139,30.092618,0.349983,7.824864,7.221445,9.650952,-0.128617,0.181550,1.009134,-0.041371,0.072614,30.092618,0.349983,7.824864,7.221445
14.100000,7.509030,-0.040642,0.093183,0.827443,-0.016710,0.035404,30.059543,0.352614,7.818863,7.210908,9.684272,-0.123866,0.183980,1.008601,-0.041674,0.073152,30.059543,0.352614,7.818863,7.210908
14.133333,7.536532,-0.038617,0.094367,0.826794,-0.016828,0.035671,30.025995,0.355263,7.812760,7.200238,9.717565,-0.119048,0.186427,1.008054,-0.041978,0.073692,30.025995,0.355263,7.812760,7.200238
14.166667,7.564010,-0.036565,0.095561,0.826131,-0.016946,0.035939,29.991978,0.357930,7.806555,7.189434,9.750830,-0.114160,0.188893,1.007496,-0.042284,0.074236,29.991978,0.357930,7.806555,7.189434
14.200000,7.591464,-0.034487,0.096763,0.825453,-0.017065,0.036210,29.957496,0.360615,7.800249,7.178499,9.784066,-0.109204,0.191377,1.006925,-0.042590,0.074784,29.957496,0.360615,7.800249,7.178499
14.233333,7.618893,-0.032381,0.097975,0.824761,-0.017184,0.036482,29.922553,0.363318,7.793844,7.167433,9.817272,-0.104179,0.193879,1.006342,-0.042898,0.075334,29.922553,0.363318,7.793844,7.167433
14.266667,7.646296,-0.030248,0.099195,0.824054,-0.017304,0.036757,29.887154,0.366040,7.787341,7.156237,9.850449,-0.099085,0.196399,1.005746,-0.043207,0.075887,29.887154,0.366040,7.787341,7.156237
14.300000,7.673674,-0.028088,0.100425,0.823333,-0.017424,0.037033,29.851304,0.368780,7.780740,7.144912,9.883595,-0.093920,0.198938,1.005139,-0.043517,0.076444,29.851304,0.368780,7.780740,7.144912
14.333333,7.701025,-0.025901,0.101664,0.822599,-0.017545,0.037312,29.815006,0.371539,7.774043,7.133460,9.916709,-0.088686,0.201495,1.004519,-0.043829,0.077003,29.815006,0.371539,7.774043,7.133460
14.366667,7.728349,-0.023686,0.102912,0.821850,-0.017667,0.037592,29.778266,0.374315,7.767252,7.121881,9.949792,-0.083380,0.204072,1.003888,-0.044141,0.077566,29.778266,0.374315,7.767252,7.121881
14.400000,7.755646,-0.021444,0.104170,0.821087,-0.017789,0.037875,29.741087,0.377110,7.760367,7.110177,9.982842,-0.078004,0.206667,1.003245,-0.044455,0.078132,29.741087,0.377110,7.760367,7.110177
14.433333,7.782914,-0.019174,0.105437,0.820311,-0.017911,0.038159,29.703476,0.379923,7.753389,7.098349,10.015859,-0.072557,0.209280,1.002589,-0.044770,0.078701,29.703476,0.379923,7.753389,7.098349
14.466667,7.810155,-0.016876,0.106714,0.819521,-0.018034,0.038446,29.665435,0.382754,7.746319,7.086399,10.048843,-0.067037,0.211913,1.001923,-0.045086,0.079273,29.665435,0.382754,7.746319,7.086399
14.500000,7.837366,-0.014550,0.108000,0.818718,-0.018157,0.038734,29.626971,0.385603,7.739159,7.074326,10.081792,-0.061446,0.214565,1.001244,-0.045403,0.079849,29.626971,0.385603,7.739159,7.074326
14.533333,7.864548,-0.012196,0.109296,0.817901,-0.018281,0.039025,29.588087,0.388470,7.731910,7.062134,10.114706,-0.055782,0.217237,1.000554,-0.045721,0.080427,29.588087,0.388470,7.731910,7.062134
14.566667,7.891700,-0.009814,0.110602,0.817071,-0.018406,0.039318,29.548789,0.391355,7.724573,7.049822,10.147584,-0.050046,0.219927,0.999852,-0.046040,0.081009,29.548789,0.391355,7.724573,7.049822
14.600000,7.918822,-0.007403,0.111918,0.816227,-0.018531,0.039613,29.509082,0.394259,7.717149,7.037392,10.180426,-0.044236,0.222637,0.999139,-0.046361,0.081593,29.509082,0.394259,7.717149,7.037392
14.633333,7.945913,-0.004964,0.113243,0.815371,-0.018656,0.039909,29.468970,0.397180,7.709639,7.024846,10.213231,-0.038352,0.225367,0.998415,-0.046682,0.082181,29.468970,0.397180,7.709639,7.024846
14.666667,7.972972,-0.002496,0.114578,0.814502,-0.018782,0.040208,29.428458,0.400120,7.702046,7.012183,10.245999,-0.032395,0.228116,0.997679,-0.047005,0.082772,29.428458,0.400120,7.702046,7.012183
14.700000,8.000000,0.000000,0.115924,0.813619,-0.018909,0.040509,29.387551,0.403086,7.694376,6.999400,10.278728,-0.026364,0.230885,0.996932,-0.047328,0.083366,29.387551,0.403086,7.694376,6.999400
14.733333,8.026995,0.002525,0.117279,0.812724,-0.019035,0.040812,29.346255,0.406084,7.686636,6.986492,10.311419,-0.020257,0.233674,0.996174,-0.047653,0.083963,29.346255,0.406084,7.686636,6.986492
14.766667,8.053958,0.005080,0.118644,0.811816,-0.019163,0.041118,29.304573,0.409110,7.678824,6.973462,10.344070,-0.014076,0.236483,0.995405,-0.047979,0.084563,29.304573,0.409110,7.678824,6.973462
14.800000,8.080887,0.007663,0.120020,0.810896,-0.019291,0.041425,29.262510,0.412159,7.670937,6.960318,10.376681,-0.007820,0.239312,0.994625,-0.048306,0.085167,29.262510,0.412159,7.670937,6.960318
14.833333,8.107782,0.010275,0.121406,0.809963,-0.019419,0.041735,29.220070,0.415230,7.662975,6.947060,10.409252,-0.001487,0.242161,0.993834,-0.048634,0.085774,29.220070,0.415230,7.662975,6.947060
14.866667,8.134644,0.012917,0.122802,0.809018,-0.019548,0.042047,29.177258,0.418324,7.654938,6.933691,10.441781,0.004921,0.245030,0.993032,-0.048963,0.086384,29.177258,0.418324,7.654938,6.933691
14.900000,8.161470,0.015589,0.124209,0.808061,-0.019677,0.042361,29.134077,0.421439,7.646829,6.920210,10.474268,0.011406,0.247920,0.992220,-0.049292,0.086998,29.134077,0.421439,7.646829,6.920210
14.933333,8.188262,0.018290,0.125626,0.807092,-0.019807,0.042678,29.090532,0.424577,7.638647,6.906619,10.506712,0.017967,0.250830,0.991397,-0.049623,0.087614,29.090532,0.424577,7.638647,6.906619
14.966667,8.215018,0.021021,0.127054,0.806111,-0.019937,0.042997,29.046628,0.427737,7.630395,6.892918,10.539113,0.024606,0.253761,0.990563,-0.049955,0.088234,29.046628,0.427737,7.630395,6.892918
15.000000,8.241738,0.023781,0.128493,0.805118,-0.020068,0.043318,29.002367,0.430919,7.622074,6.879110,10.571470,0.031322,0.256713,0.989719,-0.050288,0.088858,29.002367,0.430919,7.622074,6.879110
15.033333,8.268421,0.026572,0.129942,0.804113,-0.020199,0.043641,28.957756,0.434125,7.613684,6.865193,10.603783,0.038116,0.259685,0.988864,-0.050622,0.089484,28.957756,0.434125,7.613684,6.865193
15.066667,8.295068,0.029392,0.131402,0.803097,-0.020330,0.043967,28.912797,0.437353,7.605227,6.851171,10.636050,0.044988,0.262678,0.987999,-0.050957,0.090114,28.912797,0.437353,7.605227,6.851171
15.100000,8.321677,0.032243,0.132873,0.802069,-0.020463,0.044295,28.867495,0.440604,7.596705,6.837043,10.668272,0.051939,0.265693,0.987124,-0.051293,0.090748,28.867495,0.440604,7.596705,6.837043
15.133333,8.348248,0.035124,0.134355,0.801030,-0.020595,0.044626,28.821855,0.443878,7.588117,6.822811,10.700447,0.058968,0.268728,0.986238,-0.051630,0.091384,28.821855,0.443878,7.588117,6.822811
15.166667,8.374781,0.038036,0.135848,0.799979,-0.020728,0.044959,28.775881,0.447175,7.579466,6.808475,10.732575,0.066077,0.271785,0.985343,-0.051968,0.092025,28.775881,0.447175,7.579466,6.808475
15.200000,8.401276,0.040978,0.137353,0.798917,-0.020862,0.045294,28.729577,0.450495,7.570752,6.794036,10.764655,0.073265,0.274863,0.984437,-0.052307,0.092668,28.729577,0.450495,7.570752,6.794036
15.233333,8.427731,0.043951,0.138868,0.797845,-0.020996,0.045632,28.682947,0.453839,7.561977,6.779496,10.796686,0.080534,0.277963,0.983522,-0.052647,0.093315,28.682947,0.453839,7.561977,6.779496
15.266667,8.454147,0.046954,0.140395,0.796761,-0.021130,0.045973,28.635995,0.457206,7.553142,6.764855,10.828668,0.087882,0.281085,0.982596,-0.052987,0.093965,28.635995,0.457206,7.553142,6.764855
15.300000,8.480523,0.049989,0.141933,0.795667,-0.021265,0.046315,28.588727,0.460597,7.544248,6.750115,10.860601,0.095311,0.284228,0.981661,-0.053329,0.094618,28.588727,0.460597,7.544248,6.750115
15.333333,8.506858,0.053054,0.143482,0.794561,-0.021401,0.046661,28.541145,0.464011,7.535296,6.735276,10.892483,0.102821,0.287393,0.980716,-0.053672,0.095275,28.541145,0.464011,7.535296,6.735276
15.366667,8.533153,0.056151,0.145044,0.793446,-0.021537,0.047008,28.493255,0.467450,7.526288,6.720340,10.924314,0.110412,0.290579,0.979762,-0.054015,0.095936,28.493255,0.467450,7.526288,6.720340
15.400000,8.559407,0.059279,0.146616,0.792319,-0.021673,0.047358,28.445061,0.470912,7.517224,6.705307,10.956094,0.118085,0.293788,0.978797,-0.054360,0.096599,28.445061,0.470912,7.517224,6.705307
15.433333,8.585619,0.062438,0.148201,0.791183,-0.021810,0.047711,28.396567,0.474398,7.508106,6.690178,10.987821,0.125840,0.297020,0.977824,-0.054705,0.097266,28.396567,0.474398,7.508106,6.690178
15.466667,8.611789,0.065629,0.149797,0.790036,-0.021947,0.048066,28.347777,0.477908,7.498934,6.674954,11.019494,0.133677,0.300273,0.976841,-0.055051,0.097937,28.347777,0.477908,7.498934,6.674954
15.500000,8.637916,0.068852,0.151405,0.788879,-0.022085,0.048424,28.298696,0.481443,7.489711,6.659637,11.051114,0.141596,0.303549,0.975849,-0.055398,0.098611,28.298696,0.481443,7.489711,6.659637
15.533333,8.664001,0.072106,0.153025,0.787712,-0.022224,0.048784,28.249328,0.485002,7.480437,6.644227,11.082680,0.149598,0.306847,0.974847,-0.055747,0.099288,28.249328,0.485002,7.480437,6.644227
15.566667,8.690042,0.075392,0.154657,0.786535,-0.022362,0.049147,28.199677,0.488585,7.471113,6.628725,11.114191,0.157684,0.310168,0.973836,-0.056095,0.099969,28.199677,0.488585,7.471113,6.628725
15.600000,8.716040,0.078710,0.156302,0.785349,-0.022502,0.049513,28.149747,0.492192,7.461741,6.613133,11.145645,0.165852,0.313512,0.972816,-0.056445,0.100653,28.149747,0.492192,7.461741,6.613133
15.633333,8.741994,0.082061,0.157958,0.784153,-0.022641,0.049881,28.099544,0.495825,7.452321,6.597451,11.177044,0.174105,0.316878,0.971787,-0.056796,0.101341,28.099544,0.495825,7.452321,6.597451
15.666667,8.767903,0.085443,0.159627,0.782947,-0.022781,0.050251,28.049070,0.499482,7.442855,6.581680,11.208385,0.182442,0.320268,0.970750,-0.057147,0.102032,28.049070,0.499482,7.442855,6.581680
15.700000,8.793768,0.088858,0.161308,0.781732,-0.022922,0.050624,27.998332,0.503163,7.433344,6.565821,11.239669,0.190863,0.323681,0.969703,-0.057500,0.102727,27.998332,0.503163,7.433344,6.565821
15.733333,8.819588,0.092305,0.163002,0.780507,-0.023063,0.051000,27.947332,0.506870,7.423790,6.549876,11.270894,0.199369,0.327117,0.968647,-0.057853,0.103425,27.947332,0.506870,7.423790,6.549876
15.766667,8.845362,0.095785,0.164708,0.779273,-0.023205,0.051379,27.896075,0.510601,7.414192,6.533845,11.302059,0.207960,0.330576,0.967583,-0.058207,0.104126,27.896075,0.510601,7.414192,6.533845
15.800000,8.871090,0.099297,0.166427,0.778030,-0.023347,0.051760,27.844566,0.514358,7.404553,6.517730,11.333165,0.216636,0.334059,0.966510,-0.058562,0.104831,27.844566,0.514358,7.404553,6.517730
15.833333,8.896771,0.102843,0.168159,0.776779,-0.023489,0.052144,27.792808,0.518139,7.394874,6.501530,11.364211,0.225398,0.337565,0.965429,-0.058917,0.105540,27.792808,0.518139,7.394874,6.501530
15.866667,8.922406,0.106421,0.169904,0.775518,-0.023632,0.052530,27.740807,0.521946,7.385155,6.485248,11.395195,0.234246,0.341095,0.964339,-0.059274,0.106252,27.740807,0.521946,7.385155,6.485248
15.900000,8.947994,0.110032,0.171661,0.774248,-0.023775,0.052919,27.688567,0.525778,7.375398,6.468885,11.426118,0.243180,0.344648,0.963241,-0.059631,0.106967,27.688567,0.525778,7.375398,6.468885
15.933333,8.973535,0.113676,0.173432,0.772970,-0.023919,0.053311,27.636091,0.529635,7.365605,6.452441,11.456978,0.252201,0.348226,0.962134,-0.059989,0.107686,27.636091,0.529635,7.365605,6.452441
15.966667,8.999028,0.117354,0.175215,0.771684,-0.024063,0.053706,27.583385,0.533518,7.355775,6.435917,11.487774,0.261309,0.351828,0.961019,-0.060348,0.108409,27.583385,0.533518,7.355775,6.435917
16.000000,9.024472,0.121064,0.177012,0.770389,-0.024208,0.054103,27.530452,0.537426,7.345911,6.419315,11.518507,0.270503,0.355453,0.959896,-0.060707,0.109135,27.530452,0.537426,7.345911,6.419315
16.033333,9.049869,0.124809,0.178822,0.769086,-0.024353,0.054503,27.477298,0.541359,7.336013,6.402636,11.549175,0.279785,0.359103,0.958765,-0.061068,0.109864,27.477298,0.541359,7.336013,6.402636
16.066667,9.075216,0.128587,0.180646,0.767774,-0.024499,0.054906,27.423925,0.545318,7.326083,6.385880,11.579778,0.289154,0.362778,0.957626,-0.061429,0.110597,27.423925,0.545318,7.326083,6.385880
16.100000,9.100514,0.132398,0.182482,0.766455,-0.024645,0.055312,27.370340,0.549302,7.316122,6.369048,11.610314,0.298612,0.366477,0.956479,-0.061790,0.111334,27.370340,0.549302,7.316122,6.369048
16.133333,9.125762,0.136244,0.184333,0.765128,-0.024791,0.055720,27.316546,0.553313,7.306130,6.352143,11.640784,0.308157,0.370200,0.955324,-0.062153,0.112074,27.316546,0.553313,7.306130,6.352143
16.166667,9.150961,0.140123,0.186197,0.763792,-0.024938,0.056131,27.262547,0.557348,7.296109,6.335164,11.671187,0.317792,0.373949,0.954161,-0.062516,0.112817,27.262547,0.557348,7.296109,6.335164
16.200000,9.176109,0.144036,0.188075,0.762450,-0.025086,0.056545,27.208348,0.561410,7.286061,6.318113,11.701521,0.327514,0.377722,0.952991,-0.062880,0.113564,27.208348,0.561410,7.286061,6.318113
16.233333,9.201207,0.147984,0.189967,0.761099,-0.025233,0.056962,27.153953,0.565497,7.275986,6.300991,11.731786,0.337326,0.381520,0.951813,-0.063245,0.114315,27.153953,0.565497,7.275986,6.300991
16.266667,9.226254,0.151965,0.191873,0.759741,-0.025382,0.057381,27.099368,0.569610,7.265885,6.283799,11.761982,0.347227,0.385343,0.950627,-0.063610,0.115069,27.099368,0.569610,7.265885,6.283799
16.300000,9.251250,0.155981,0.193792,0.758376,-0.025530,0.057804,27.044595,0.573749,7.255760,6.266538,11.792107,0.357218,0.389191,0.949434,-0.063976,0.115826,27.044595,0.573749,7.255760,6.266538
16.333333,9.276194,0.160032,0.195726,0.757003,-0.025679,0.058229,26.989640,0.577913,7.245611,6.249209,11.822162,0.367298,0.393065,0.948233,-0.064342,0.116588,26.989640,0.577913,7.245611,6.249209
16.366667,9.301086,0.164117,0.197674,0.755624,-0.025829,0.058657,26.934507,0.582104,7.235440,6.231813,11.852145,0.377468,0.396964,0.947026,-0.064710,0.117352,26.934507,0.582104,7.235440,6.231813
16.400000,9.325926,0.168237,0.199637,0.754237,-0.025979,0.059088,26.879200,0.586320,7.225248,6.214352,11.882055,0.387728,0.400888,0.945811,-0.065078,0.118120,26.879200,0.586320,7.225248,6.214352
16.433333,9.350713,0.172391,0.201613,0.752844,-0.026129,0.059522,26.823724,0.590562,7.215036,6.196826,11.911892,0.398079,0.404839,0.944588,-0.065446,0.118892,26.823724,0.590562,7.215036,6.196826
16.466667,9.375448,0.176580,0.203605,0.751444,-0.026280,0.059958,26.768084,0.594830,7.204805,6.179237,11.941655,0.408521,0.408815,0.943359,-0.065815,0.119667,26.768084,0.594830,7.204805,6.179237
16.500000,9.400129,0.180805,0.205611,0.750037,-0.026431,0.060398,26.712283,0.599123,7.194556,6.161585,11.971343,0.419054,0.412817,0.942123,-0.066185,0.120446,26.712283,0.599123,7.194556,6.161585
16.533333,9.424756,0.185064,0.207631,0.748623,-0.026582,0.060840,26.656326,0.603443,7.184291,6.143872,12.000956,0.429677,0.416844,0.940880,-0.066555,0.121228,26.656326,0.603443,7.184291,6.143872
16.566667,9.449330,0.189359,0.209667,0.747204,-0.026734,0.061286,26.600218,0.607788,7.174009,6.126100,12.030493,0.440392,0.420899,0.939630,-0.066926,0.122014,26.600218,0.607788,7.174009,6.126100
16.600000,9.473850,0.193689,0.211717,0.745778,-0.026887,0.061734,26.543963,0.612159,7.163714,6.108268,12.059954,0.451199,0.424979,0.938373,-0.067298,0.122803,26.543963,0.612159,7.163714,6.108268
16.633333,9.498315,0.198054,0.213782,0.744345,-0.027039,0.062185,26.487565,0.616555,7.153405,6.090378,12.089336,0.462098,0.429086,0.937109,-0.067670,0.123595,26.487565,0.616555,7.153405,6.090378
16.666667,9.522726,0.202455,0.215863,0.742907,-0.027193,0.062639,26.431030,0.620978,7.143083,6.072432,12.118640,0.473088,0.433219,0.935839,-0.068043,0.124392,26.431030,0.620978,7.143083,6.072432
16.700000,9.547081,0.206892,0.217958,0.741463,-0.027346,0.063096,26.374361,0.625426,7.132750,6.054430,12.147865,0.484171,0.437378,0.934563,-0.068416,0.125191,26.374361,0.625426,7.132750,6.054430
16.733333,9.571381,0.211364,0.220069,0.740013,-0.027500,0.063556,26.317563,0.629899,7.122407,6.036374,12.177011,0.495347,0.441565,0.933280,-0.068789,0.125994,26.317563,0.629899,7.122407,6.036374
16.766667,9.595625,0.215872,0.222195,0.738557,-0.027654,0.064018,26.260640,0.634398,7.112055,6.018265,12.206076,0.506615,0.445778,0.931991,-0.069164,0.126801,26.260640,0.634398,7.112055,6.018265
16.800000,9.619814,0.220416,0.224337,0.737095,-0.027809,0.064484,26.203598,0.638923,7.101695,6.000104,12.235059,0.517975,0.450019,0.930695,-0.069538,0.127611,26.203598,0.638923,7.101695,6.000104
16.833333,9.643946,0.224996,0.226494,0.735629,-0.027964,0.064953,26.146440,0.643472,7.091328,5.981892,12.263960,0.529429,0.454286,0.929393,-0.069914,0.128424,26.146440,0.643472,7.091328,5.981892
16.866667,9.668022,0.229613,0.228667,0.734156,-0.028119,0.065424,26.089170,0.648048,7.080954,5.963631,12.292779,0.540976,0.458580,0.928085,-0.070289,0.129241,26.089170,0.648048,7.080954,5.963631
16.900000,9.692041,0.234265,0.230856,0.732679,-0.028275,0.065899,26.031795,0.652648,7.070576,5.945321,12.321514,0.552617,0.462902,0.926771,-0.070665,0.130062,26.031795,0.652648,7.070576,5.945321
16.933333,9.716003,0.238954,0.233060,0.731197,-0.028431,0.066376,25.974317,0.657274,7.060194,5.926964,12.350165,0.564351,0.467251,0.925452,-0.071042,0.130886,25.974317,0.657274,7.060194,5.926964
16.966667,9.739907,0.243679,0.235281,0.729709,-0.028588,0.066856,25.916742,0.661924,7.049810,5.908561,12.378730,0.576178,0.471628,0.924126,-0.071419,0.131713,25.916742,0.661924,7.049810,5.908561
17.000000,9.763754,0.248441,0.237517,0.728217,-0.028744,0.067340,25.859074,0.666599,7.039423,5.890114,12.407210,0.588100,0.476032,0.922794,-0.071796,0.132544,25.859074,0.666599,7.039423,5.890114
17.033333,9.787543,0.253240,0.239770,0.726720,-0.028902,0.067826,25.801317,0.671300,7.029036,5.871623,12.435603,0.600116,0.480464,0.921457,-0.072174,0.133378,25.801317,0.671300,7.029036,5.871623
17.066667,9.811273,0.258075,0.242039,0.725218,-0.029059,0.068315,25.743477,0.676025,7.018649,5.853089,12.463909,0.612226,0.484924,0.920114,-0.072552,0.134215,25.743477,0.676025,7.018649,5.853089
17.100000,9.834945,0.262947,0.244324,0.723712,-0.029217,0.068807,25.685557,0.680774,7.008263,5.834515,12.492126,0.624430,0.489412,0.918766,-0.072931,0.135056,25.685557,0.680774,7.008263,5.834515
17.133333,9.858559,0.267856,0.246626,0.722201,-0.029375,0.069302,25.627563,0.685548,6.997880,5.815901,12.520254,0.636729,0.493928,0.917412,-0.073310,0.135900,25.627563,0.685548,6.997880,5.815901
17.166667,9.882113,0.272802,0.248945,0.720686,-0.029533,0.069800,25.569498,0.690346,6.987500,5.797249,12.548293,0.649122,0.498472,0.916053,-0.073689,0.136748,25.569498,0.690346,6.987500,5.797249
17.200000,9.905608,0.277786,0.251280,0.719167,-0.029692,0.070301,25.511368,0.695167,6.977124,5.778560,12.576241,0.661611,0.503045,0.914689,-0.074069,0.137599,25.511368,0.695167,6.977124,5.778560
17.233333,9.929044,0.282806,0.253631,0.717644,-0.029851,0.070805,25.453177,0.700013,6.966754,5.759835,12.604098,0.674194,0.507646,0.913320,-0.074449,0.138453,25.453177,0.700013,6.966754,5.759835
17.266667,9.952420,0.287864,0.256000,0.716117,-0.030011,0.071311,25.394930,0.704883,6.956390,5.741075,12.631863,0.686872,0.512275,0.911945,-0.074829,0.139310,25.394930,0.704883,6.956390,5.741075
17.300000,9.975736,0.292959,0.258385,0.714586,-0.030170,0.071821,25.336630,0.709776,6.946033,5.722282,12.659535,0.699645,0.516933,0.910565,-0.075210,0.140171,25.336630,0.709776,6.946033,5.722282
17.333333,9.998992,0.298092,0.260788,0.713052,-0.030330,0.072333,25.278284,0.714692,6.935685,5.703457,12.687113,0.712514,0.521620,0.909181,-0.075590,0.141035,25.278284,0.714692,6.935685,5.703457
17.366667,10.022187,0.303263,0.263208,0.711514,-0.030491,0.072849,25.219895,0.719631,6.925345,5.684602,12.714597,0.725478,0.526336,0.907791,-0.075971,0.141902,25.219895,0.719631,6.925345,5.684602
17.400000,10.045321,0.308471,0.265644,0.709972,-0.030651,0.073367,25.161467,0.724593,6.915016,5.665718,12.741985,0.738538,0.531081,0.906397,-0.076353,0.142773,25.161467,0.724593,6.915016,5.665718
17.433333,10.068394,0.313717,0.268099,0.708428,-0.030812,0.073888,25.103007,0.729578,6.904698,5.646805,12.769277,0.751693,0.535854,0.904999,-0.076734,0.143646,25.103007,0.729578,6.904698,5.646805
17.466667,10.091406,0.319001,0.270570,0.706880,-0.030973,0.074412,25.044517,0.734585,6.894392,5.627867,12.796473,0.764944,0.540657,0.903595,-0.077116,0.144523,25.044517,0.734585,6.894392,5.627867
17.500000,10.114357,0.324323,0.273060,0.705329,-0.031134,0.074939,24.986004,0.739614,6.884099,5.608903,12.823571,0.778290,0.545489,0.902188,-0.077498,0.145403,24.986004,0.739614,6.884099,5.608903
17.533333,10.137246,0.329683,0.275566,0.703775,-0.031296,0.075469,24.927471,0.744665,6.873820,5.589916,12.850570,0.791733,0.550351,0.900775,-0.077880,0.146286,24.927471,0.744665,6.873820,5.589916
17.566667,10.160073,0.335081,0.278091,0.702218,-0.031458,0.076002,24.868923,0.749737,6.863556,5.570906,12.877470,0.805271,0.555242,0.899359,-0.078262,0.147172,24.868923,0.749737,6.863556,5.570906
17.600000,10.182837,0.340518,0.280633,0.700659,-0.031620,0.076537,24.810365,0.754830,6.853307,5.551876,12.904270,0.818905,0.560162,0.897938,-0.078645,0.148061,24.810365,0.754830,6.853307,5.551876
17.633333,10.205540,0.345993,0.283193,0.699097,-0.031782,0.077075,24.751802,0.759945,6.843075,5.532826,12.930969,0.832635,0.565113,0.896513,-0.079027,0.148953,24.751802,0.759945,6.843075,5.532826
17.666667,10.228179,0.351507,0.285771,0.697533,-0.031944,0.077617,24.693237,0.765079,6.832861,5.513758,12.957566,0.846462,0.570093,0.895085,-0.079410,0.149848,24.693237,0.765079,6.832861,5.513758
17.700000,10.250756,0.357059,0.288368,0.695966,-0.032107,0.078160,24.634677,0.770235,6.822665,5.494674,12.984060,0.860384,0.575103,0.893652,-0.079792,0.150747,24.634677,0.770235,6.822665,5.494674
17.733333,10.273270,0.362649,0.290982,0.694397,-0.032270,0.078707,24.576125,0.775409,6.812488,5.475575,13.010452,0.874403,0.580143,0.892215,-0.080175,0.151648,24.576125,0.775409,6.812488,5.475575
17.766667,10.295721,0.368279,0.293615,0.692826,-0.032433,0.079256,24.517586,0.780604,6.802331,5.456462,13.036739,0.888518,0.585213,0.890775,-0.080558,0.152552,24.517586,0.780604,6.802331,5.456462
17.800000,10.318107,0.373947,0.296266,0.691253,-0.032596,0.079808,24.459065,0.785817,6.792195,5.437337,13.062921,0.902729,0.590313,0.889331,-0.080941,0.153458,24.459065,0.785817,6.792195,5.437337
17.833333,10.340431,0.379655,0.298935,0.689678,-0.032760,0.080363,24.400567,0.791050,6.782081,5.418202,13.088997,0.917036,0.595444,0.887884,-0.081324,0.154368,24.400567,0.791050,6.782081,5.418202
17.866667,10.362690,0.385401,0.301623,0.688102,-0.032923,0.080921,24.342095,0.796300,6.771989,5.399058,13.114966,0.931439,0.600604,0.886433,-0.081706,0.155281,24.342095,0.796300,6.771989,5.399058
17.900000,10.384885,0.391187,0.304330,0.686524,-0.033087,0.081481,24.283656,0.801568,6.761921,5.379907,13.140828,0.945939,0.605796,0.884978,-0.082089,0.156196,24.283656,0.801568,6.761921,5.379907
17.933333,10.407016,0.397011,0.307056,0.684944,-0.033251,0.082044,24.225254,0.806854,6.751877,5.360749,13.166581,0.960535,0.611018,0.883521,-0.082472,0.157114,24.225254,0.806854,6.751877,5.360749
17.966667,10.429082,0.402875,0.309800,0.683363,-0.033415,0.082609,24.166893,0.812157,6.741859,5.341588,13.192226,0.975227,0.616270,0.882060,-0.082854,0.158034,24.166893,0.812157,6.741859,5.341588
18.000000,10.451084,0.408779,0.312563,0.681781,-0.033579,0.083177,24.108578,0.817476,6.731865,5.322423,13.217760,0.990016,0.621553,0.880596,-0.083237,0.158957,24.108578,0.817476,6.731865,5.322423
18.033333,10.473020,0.414722,0.315345,0.680198,-0.033743,0.083748,24.050313,0.822812,6.721899,5.303258,13.243183,1.004901,0.626868,0.879129,-0.083619,0.159883,24.050313,0.822812,6.721899,5.303258
18.066667,10.494892,0.420704,0.318146,0.678614,-0.033907,0.084321,23.992105,0.828162,6.711959,5.284093,13.268495,1.019881,0.632213,0.877659,-0.084001,0.160811,23.992105,0.828162,6.711959,5.284093
18.100000,10.516698,0.426726,0.320966,0.677029,-0.034072,0.084896,23.933957,0.833528,6.702048,5.264930,13.293694,1.034958,0.637588,0.876187,-0.084383,0.161742,23.933957,0.833528,6.702048,5.264930
18.133333,10.538439,0.432788,0.323806,0.675443,-0.034236,0.085474,23.875874,0.838909,6.692166,5.245771,13.318779,1.050131,0.642996,0.874712,-0.084765,0.162675,23.875874,0.838909,6.692166,5.245771
