t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r
0.000000,0.000212,0.000000,-0.000000,0.000043,0.000000,0.000000,0.000043,-0.000000,-0.000000,0.000212,0.000000,0.000000,0.100000,-0.000000,-0.019897,3.683546,-0.252445,2.277021,-0.660336,0.008679,0.069286,0.008679,0.069286,-0.000000,0.000000,0.000000,-0.000000,-0.099957,0.000000,0.019897
0.032000,0.000213,0.000000,-0.000000,0.000041,0.000000,0.000000,0.000041,-0.000000,-0.000000,0.003546,-0.000000,-0.000670,0.100021,0.000065,-0.020307,3.713088,-0.251607,3.713095,-0.251608,0.010066,0.070052,0.010066,0.070052,-0.003333,0.000000,0.003333,0.000670,-0.099980,-0.000065,0.020307
0.068000,0.000304,0.000003,0.000045,0.002276,0.000084,-0.001133,0.002276,-0.000084,0.001133,0.006881,-0.000000,-0.001354,0.100085,0.000129,-0.020695,3.743957,-0.248488,3.743960,-0.248486,0.011827,0.070627,0.011827,0.070627,-0.006577,0.000003,0.006577,0.001399,-0.097809,-0.000045,0.019562
0.100000,0.000579,0.000007,0.000141,0.007356,0.000106,-0.002577,0.007356,-0.000106,0.002577,0.010218,-0.000001,-0.002050,0.100191,0.000190,-0.021041,3.776140,-0.243021,3.776140,-0.243018,0.013957,0.071007,0.013957,0.071007,-0.009639,0.000008,0.009639,0.002191,-0.092835,-0.000084,0.018464
0.132000,0.000579,0.000007,0.000141,0.007356,0.000106,-0.002577,0.007356,-0.000106,0.002577,0.013560,-0.000001,-0.002756,0.100338,0.000250,-0.021345,3.809626,-0.237434,3.809633,-0.237433,0.016126,0.071412,0.016126,0.071412,-0.012981,0.000008,0.012981,0.002897,-0.092982,-0.000144,0.018768
0.168000,0.001037,0.000010,0.000286,0.012435,0.000079,-0.003947,0.012435,-0.000079,0.003947,0.016908,-0.000002,-0.003473,0.100527,0.000307,-0.021609,3.844403,-0.231755,3.844397,-0.231756,0.018327,0.071843,0.018327,0.071843,-0.015871,0.000012,0.015871,0.003759,-0.088092,-0.000228,0.017662
0.200000,0.001676,0.000011,0.000478,0.017466,0.000035,-0.005260,0.017466,-0.000035,0.005260,0.020263,-0.000004,-0.004197,0.100757,0.000363,-0.021834,3.880459,-0.226010,3.880461,-0.226011,0.020556,0.072303,0.020556,0.072303,-0.018587,0.000015,0.018587,0.004675,-0.083291,-0.000328,0.016574
0.232000,0.002494,0.000010,0.000713,0.022456,-0.000001,-0.006488,0.022456,0.000001,0.006488,0.023626,-0.000006,-0.004928,0.101027,0.000417,-0.022022,3.917781,-0.220224,3.917780,-0.220225,0.022806,0.072793,0.022806,0.072793,-0.021132,0.000016,0.021132,0.005641,-0.078571,-0.000418,0.015534
0.268000,0.003491,0.000009,0.000989,0.027413,-0.000013,-0.007606,0.027413,0.000013,0.007606,0.026998,-0.000009,-0.005665,0.101338,0.000469,-0.022173,3.956357,-0.214419,3.956357,-0.214419,0.025073,0.073315,0.025073,0.073315,-0.023507,0.000018,0.023507,0.006654,-0.073925,-0.000482,0.014567
0.300000,0.004665,0.000008,0.001301,0.032335,0.000004,-0.008614,0.032335,-0.000004,0.008614,0.030382,-0.000013,-0.006407,0.101689,0.000518,-0.022290,3.996176,-0.208615,3.996167,-0.208615,0.027352,0.073870,0.027352,0.073870,-0.025717,0.000021,0.025717,0.007708,-0.069354,-0.000514,0.013676
0.332000,0.006014,0.000007,0.001646,0.037210,0.000043,-0.009525,0.037210,-0.000043,0.009525,0.033778,-0.000018,-0.007151,0.102080,0.000566,-0.022374,4.037226,-0.202831,4.037223,-0.202833,0.029640,0.074460,0.029640,0.074460,-0.027764,0.000025,0.027764,0.008797,-0.064870,-0.000523,0.012849
0.368000,0.007537,0.000008,0.002021,0.042037,0.000090,-0.010356,0.042037,-0.000090,0.010356,0.037188,-0.000024,-0.007898,0.102509,0.000612,-0.022426,4.079495,-0.197083,4.079502,-0.197085,0.031934,0.075085,0.031934,0.075085,-0.029651,0.000032,0.029651,0.009919,-0.060472,-0.000522,0.012070
0.400000,0.009232,0.000009,0.002423,0.046808,0.000131,-0.011131,0.046808,-0.000131,0.011131,0.040613,-0.000032,-0.008646,0.102978,0.000657,-0.022448,4.122971,-0.191387,4.122965,-0.191385,0.034230,0.075745,0.034230,0.075745,-0.031381,0.000041,0.031381,0.011069,-0.056170,-0.000526,0.011317
0.432000,0.011096,0.000010,0.002851,0.051529,0.000160,-0.011861,0.051529,-0.000160,0.011861,0.044054,-0.000040,-0.009395,0.103485,0.000699,-0.022441,4.167641,-0.185755,4.167635,-0.185753,0.036526,0.076442,0.036526,0.076442,-0.032958,0.000050,0.032958,0.012246,-0.051956,-0.000539,0.010580
0.468000,0.013129,0.000010,0.003304,0.056212,0.000175,-0.012549,0.056212,-0.000175,0.012549,0.047512,-0.000050,-0.010142,0.104031,0.000740,-0.022408,4.213496,-0.180198,4.213497,-0.180197,0.038820,0.077176,0.038820,0.077176,-0.034383,0.000060,0.034383,0.013446,-0.047819,-0.000565,0.009859
0.500000,0.015330,0.000008,0.003781,0.060864,0.000183,-0.013193,0.060864,-0.000183,0.013193,0.050990,-0.000061,-0.010889,0.104615,0.000779,-0.022348,4.260521,-0.174728,4.260535,-0.174729,0.041110,0.077947,0.041110,0.077947,-0.035660,0.000069,0.035660,0.014670,-0.043751,-0.000596,0.009155
0.532000,0.017697,0.000006,0.004278,0.065496,0.000191,-0.013782,0.065496,-0.000191,0.013782,0.054487,-0.000074,-0.011632,0.105236,0.000816,-0.022265,4.308707,-0.169352,4.308715,-0.169352,0.043394,0.078754,0.043394,0.078754,-0.036790,0.000080,0.036790,0.015910,-0.039740,-0.000625,0.008483
0.568000,0.020230,0.000002,0.004794,0.070110,0.000208,-0.014309,0.070110,-0.000208,0.014309,0.058006,-0.000088,-0.012373,0.105895,0.000851,-0.022159,4.358041,-0.164077,4.358033,-0.164075,0.045671,0.079597,0.045671,0.079597,-0.037776,0.000090,0.037776,0.017167,-0.035785,-0.000643,0.007850
0.600000,0.020230,0.000002,0.004794,0.070110,0.000208,-0.014309,0.070110,-0.000208,0.014309,0.061547,-0.000105,-0.013110,0.106590,0.000885,-0.022032,4.408511,-0.158909,4.408504,-0.158909,0.047940,0.080477,0.047940,0.080477,-0.041317,0.000107,0.041317,0.017904,-0.036480,-0.000677,0.007723
0.632000,0.022928,-0.000004,0.005327,0.074696,0.000235,-0.014775,0.074696,-0.000235,0.014775,0.065113,-0.000123,-0.013842,0.107322,0.000917,-0.021885,4.460106,-0.153854,4.460104,-0.153856,0.050200,0.081393,0.050200,0.081393,-0.042185,0.000119,0.042185,0.019169,-0.032626,-0.000682,0.007110
0.668000,0.025790,-0.000010,0.005874,0.079252,0.000271,-0.015180,0.079252,-0.000271,0.015180,0.068703,-0.000142,-0.014569,0.108091,0.000947,-0.021720,4.512815,-0.148915,4.512826,-0.148916,0.052451,0.082344,0.052451,0.082344,-0.042913,0.000132,0.042913,0.020443,-0.028839,-0.000676,0.006540
0.700000,0.028815,-0.000017,0.006434,0.083774,0.000313,-0.015533,0.083774,-0.000313,0.015533,0.072319,-0.000164,-0.015290,0.108895,0.000976,-0.021538,4.566625,-0.144095,4.566630,-0.144095,0.054691,0.083329,0.054691,0.083329,-0.043504,0.000147,0.043504,0.021724,-0.025121,-0.000663,0.006005
0.732000,0.032001,-0.000026,0.007005,0.088254,0.000356,-0.015844,0.088254,-0.000356,0.015844,0.075963,-0.000188,-0.016004,0.109736,0.001003,-0.021340,4.621525,-0.139395,4.621526,-0.139398,0.056920,0.084348,0.056920,0.084348,-0.043962,0.000162,0.043962,0.023009,-0.021482,-0.000647,0.005496
0.768000,0.035348,-0.000036,0.007586,0.092707,0.000397,-0.016118,0.092707,-0.000397,0.016118,0.079635,-0.000215,-0.016712,0.110611,0.001029,-0.021127,4.677504,-0.134818,4.677504,-0.134823,0.059138,0.085400,0.059138,0.085400,-0.044287,0.000179,0.044288,0.024298,-0.017904,-0.000632,0.005009
0.800000,0.038854,-0.000048,0.008175,0.097138,0.000434,-0.016359,0.097138,-0.000434,0.016359,0.083338,-0.000243,-0.017413,0.111522,0.001053,-0.020901,4.734549,-0.130364,4.734536,-0.130364,0.061345,0.086483,0.061345,0.086483,-0.044484,0.000195,0.044485,0.025588,-0.014384,-0.000619,0.004542
0.832000,0.042518,-0.000062,0.008772,0.101554,0.000468,-0.016570,0.101554,-0.000468,0.016570,0.087071,-0.000274,-0.018106,0.112467,0.001076,-0.020664,4.792651,-0.126032,4.792651,-0.126030,0.063541,0.087598,0.063541,0.087598,-0.044553,0.000212,0.044553,0.026878,-0.010913,-0.000608,0.004094
0.868000,0.046342,-0.000079,0.009375,0.105965,0.000501,-0.016747,0.105965,-0.000501,0.016747,0.090836,-0.000307,-0.018790,0.113446,0.001097,-0.020415,4.851796,-0.121821,4.851804,-0.121819,0.065725,0.088743,0.065725,0.088743,-0.044494,0.000228,0.044495,0.028165,-0.007481,-0.000596,0.003668
0.900000,0.050324,-0.000098,0.009983,0.110366,0.000537,-0.016891,0.110366,-0.000537,0.016891,0.094634,-0.000343,-0.019467,0.114460,0.001118,-0.020156,4.911975,-0.117732,4.911982,-0.117731,0.067897,0.089917,0.067897,0.089917,-0.044310,0.000245,0.044311,0.029450,-0.004094,-0.000581,0.003265
0.932000,0.054464,-0.000120,0.010596,0.114751,0.000575,-0.017001,0.114751,-0.000575,0.017001,0.098467,-0.000381,-0.020134,0.115507,0.001136,-0.019888,4.973174,-0.113763,4.973177,-0.113765,0.070057,0.091119,0.070057,0.091119,-0.044003,0.000261,0.044004,0.030730,-0.000756,-0.000561,0.002887
0.968000,0.058761,-0.000145,0.011211,0.119117,0.000618,-0.017077,0.119117,-0.000618,0.017077,0.102335,-0.000422,-0.020793,0.116587,0.001154,-0.019612,5.035384,-0.109910,5.035374,-0.109909,0.072206,0.092347,0.072206,0.092347,-0.043574,0.000277,0.043575,0.032004,0.002530,-0.000536,0.002535
1.000000,0.063214,-0.000172,0.011827,0.123455,0.000662,-0.017125,0.123455,-0.000662,0.017125,0.106240,-0.000466,-0.021442,0.117701,0.001170,-0.019329,5.098593,-0.106174,5.098603,-0.106173,0.074344,0.093602,0.074344,0.093602,-0.043026,0.000294,0.043027,0.033269,0.005754,-0.000508,0.002204
1.032000,0.063214,-0.000172,0.011827,0.123455,0.000662,-0.017125,0.123455,-0.000662,0.017125,0.110182,-0.000513,-0.022081,0.118847,0.001185,-0.019040,5.162789,-0.102550,5.162794,-0.102549,0.076470,0.094881,0.076470,0.094881,-0.046968,0.000341,0.046970,0.033908,0.004608,-0.000523,0.001915
1.068000,0.067822,-0.000203,0.012444,0.127770,0.000708,-0.017146,0.127770,-0.000708,0.017146,0.114163,-0.000562,-0.022711,0.120026,0.001199,-0.018745,5.227962,-0.099037,5.227974,-0.099036,0.078585,0.096184,0.078585,0.096184,-0.046341,0.000359,0.046342,0.035155,0.007744,-0.000491,0.001599
1.100000,0.072585,-0.000237,0.013062,0.132073,0.000753,-0.017144,0.132073,-0.000753,0.017144,0.118184,-0.000614,-0.023331,0.121237,0.001212,-0.018445,5.294100,-0.095632,5.294092,-0.095634,0.080688,0.097509,0.080688,0.097509,-0.045599,0.000377,0.045600,0.036393,0.010836,-0.000459,0.001301
1.132000,0.077503,-0.000274,0.013678,0.136365,0.000796,-0.017123,0.136365,-0.000796,0.017123,0.122245,-0.000670,-0.023941,0.122479,0.001224,-0.018142,5.361191,-0.092332,5.361193,-0.092335,0.082781,0.098856,0.082781,0.098856,-0.044742,0.000396,0.044744,0.037619,0.013886,-0.000428,0.001019
1.168000,0.082575,-0.000315,0.014293,0.140660,0.000838,-0.017083,0.140660,-0.000838,0.017083,0.126349,-0.000728,-0.024540,0.123753,0.001234,-0.017835,5.429226,-0.089134,5.429225,-0.089136,0.084863,0.100223,0.084863,0.100223,-0.043774,0.000413,0.043776,0.038833,0.016907,-0.000396,0.000752
1.200000,0.087802,-0.000360,0.014906,0.144957,0.000879,-0.017025,0.144957,-0.000879,0.017025,0.130495,-0.000790,-0.025130,0.125058,0.001244,-0.017525,5.498192,-0.086034,5.498194,-0.086032,0.086935,0.101609,0.086935,0.101609,-0.042693,0.000430,0.042695,0.040036,0.019899,-0.000365,0.000500
1.232000,0.093183,-0.000408,0.015516,0.149248,0.000920,-0.016950,0.149248,-0.000920,0.016950,0.134686,-0.000855,-0.025709,0.126394,0.001253,-0.017214,5.568080,-0.083031,5.568087,-0.083031,0.088996,0.103014,0.088996,0.103014,-0.041503,0.000447,0.041505,0.041225,0.022854,-0.000333,0.000264
1.268000,0.098719,-0.000461,0.016122,0.153535,0.000961,-0.016857,0.153535,-0.000961,0.016857,0.138921,-0.000923,-0.026277,0.127761,0.001260,-0.016901,5.638876,-0.080120,5.638890,-0.080120,0.091047,0.104436,0.091047,0.104436,-0.040202,0.000462,0.040205,0.042399,0.025774,-0.000299,0.000044
1.300000,0.104408,-0.000519,0.016725,0.157806,0.001003,-0.016748,0.157806,-0.001003,0.016748,0.143203,-0.000995,-0.026835,0.129157,0.001267,-0.016586,5.710572,-0.077299,5.710567,-0.077301,0.093087,0.105874,0.093087,0.105874,-0.038795,0.000476,0.038797,0.043560,0.028649,-0.000264,-0.000162
1.332000,0.110251,-0.000581,0.017323,0.162060,0.001045,-0.016624,0.162060,-0.001045,0.016624,0.147531,-0.001070,-0.027383,0.130584,0.001273,-0.016271,5.783155,-0.074565,5.783143,-0.074562,0.095118,0.107327,0.095118,0.107327,-0.037280,0.000489,0.037283,0.044706,0.031476,-0.000228,-0.000353
1.368000,0.116246,-0.000648,0.017916,0.166306,0.001087,-0.016486,0.166306,-0.001087,0.016486,0.151908,-0.001148,-0.027920,0.132040,0.001278,-0.015956,5.856615,-0.071914,5.856605,-0.071911,0.097139,0.108795,0.097139,0.108795,-0.035662,0.000500,0.035665,0.045836,0.034266,-0.000191,-0.000530
1.400000,0.122394,-0.000719,0.018504,0.170545,0.001128,-0.016337,0.170545,-0.001128,0.016337,0.156333,-0.001230,-0.028447,0.133525,0.001282,-0.015642,5.930941,-0.069343,5.930937,-0.069347,0.099150,0.110277,0.099150,0.110277,-0.033939,0.000511,0.033943,0.046951,0.037020,-0.000154,-0.000695
1.432000,0.128694,-0.000796,0.019086,0.174787,0.001168,-0.016177,0.174787,-0.001168,0.016177,0.160809,-0.001316,-0.028963,0.135039,0.001285,-0.015328,6.006122,-0.066851,6.006120,-0.066853,0.101152,0.111771,0.101152,0.111771,-0.032115,0.000520,0.032119,0.048049,0.039748,-0.000117,-0.000849
1.468000,0.135148,-0.000877,0.019662,0.179042,0.001206,-0.016008,0.179042,-0.001206,0.016008,0.165335,-0.001405,-0.029469,0.136582,0.001288,-0.015015,6.082148,-0.064433,6.082160,-0.064433,0.103145,0.113277,0.103145,0.113277,-0.030187,0.000528,0.030191,0.049131,0.042460,-0.000082,-0.000993
1.500000,0.141755,-0.000965,0.020232,0.183296,0.001243,-0.015830,0.183296,-0.001243,0.015830,0.169913,-0.001499,-0.029964,0.138153,0.001290,-0.014703,6.159007,-0.062086,6.158996,-0.062083,0.105128,0.114793,0.105128,0.114793,-0.028158,0.000534,0.028163,0.050196,0.045143,-0.000047,-0.001127
1.532000,0.141755,-0.000965,0.020232,0.183296,0.001243,-0.015830,0.183296,-0.001243,0.015830,0.174544,-0.001595,-0.030449,0.139752,0.001291,-0.014393,6.236688,-0.059809,6.236676,-0.059808,0.107102,0.116320,0.107102,0.116320,-0.032789,0.000630,0.032795,0.050681,0.043544,-0.000048,-0.001437
1.568000,0.148515,-0.001057,0.020795,0.187556,0.001279,-0.015645,0.187556,-0.001279,0.015645,0.179228,-0.001696,-0.030923,0.141379,0.001291,-0.014084,6.315182,-0.057599,6.315182,-0.057602,0.109067,0.117857,0.109067,0.117857,-0.030713,0.000639,0.030720,0.051718,0.046177,-0.000012,-0.001561
1.600000,0.155428,-0.001156,0.021350,0.191814,0.001315,-0.015451,0.191814,-0.001315,0.015451,0.183968,-0.001801,-0.031388,0.143033,0.001291,-0.013778,6.394477,-0.055452,6.394494,-0.055451,0.111024,0.119402,0.111024,0.119402,-0.028540,0.000645,0.028547,0.052738,0.048781,0.000024,-0.001673
1.632000,0.162494,-0.001260,0.021899,0.196058,0.001349,-0.015250,0.196058,-0.001349,0.015250,0.188762,-0.001909,-0.031842,0.144714,0.001290,-0.013474,6.474563,-0.053366,6.474570,-0.053368,0.112971,0.120955,0.112971,0.120955,-0.026268,0.000649,0.026276,0.053741,0.051344,0.000059,-0.001776
1.668000,0.169713,-0.001371,0.022440,0.200299,0.001383,-0.015042,0.200299,-0.001383,0.015042,0.193613,-0.002022,-0.032286,0.146422,0.001288,-0.013173,6.555430,-0.051339,6.555435,-0.051339,0.114910,0.122515,0.114910,0.122515,-0.023900,0.000651,0.023909,0.054726,0.053877,0.000095,-0.001869
1.700000,0.177084,-0.001487,0.022973,0.204537,0.001416,-0.014828,0.204537,-0.001416,0.014828,0.198522,-0.002139,-0.032720,0.148157,0.001286,-0.012874,6.637066,-0.049369,6.637070,-0.049370,0.116840,0.124082,0.116840,0.124082,-0.021438,0.000652,0.021448,0.055693,0.056380,0.000130,-0.001954
1.732000,0.184607,-0.001610,0.023499,0.208776,0.001447,-0.014611,0.208776,-0.001447,0.014611,0.203488,-0.002260,-0.033144,0.149917,0.001283,-0.012578,6.719461,-0.047453,6.719476,-0.047452,0.118762,0.125655,0.118762,0.125655,-0.018881,0.000650,0.018892,0.056643,0.058859,0.000164,-0.002033
1.768000,0.192284,-0.001739,0.024017,0.213029,0.001478,-0.014388,0.213029,-0.001478,0.014388,0.208514,-0.002384,-0.033559,0.151704,0.001280,-0.012286,6.802605,-0.045589,6.802607,-0.045587,0.120675,0.127233,0.120675,0.127233,-0.016230,0.000645,0.016243,0.057576,0.061325,0.000198,-0.002102
1.800000,0.200114,-0.001875,0.024526,0.217290,0.001507,-0.014162,0.217290,-0.001507,0.014162,0.213599,-0.002514,-0.033963,0.153516,0.001276,-0.011996,6.886487,-0.043774,6.886490,-0.043771,0.122580,0.128816,0.122580,0.128816,-0.013485,0.000639,0.013500,0.058489,0.063774,0.000231,-0.002166
1.832000,0.208098,-0.002018,0.025027,0.221558,0.001534,-0.013932,0.221558,-0.001534,0.013932,0.218745,-0.002647,-0.034358,0.155353,0.001271,-0.011709,6.971096,-0.042008,6.971101,-0.042011,0.124476,0.130404,0.124476,0.130404,-0.010647,0.000629,0.010666,0.059385,0.066205,0.000263,-0.002223
1.868000,0.216235,-0.002168,0.025520,0.225834,0.001560,-0.013699,0.225834,-0.001560,0.013699,0.223953,-0.002785,-0.034744,0.157215,0.001266,-0.011426,7.056424,-0.040288,7.056417,-0.040291,0.126364,0.131995,0.126364,0.131995,-0.007718,0.000617,0.007743,0.060264,0.068619,0.000294,-0.002273
1.900000,0.224526,-0.002325,0.026004,0.230102,0.001585,-0.013464,0.230102,-0.001585,0.013464,0.229223,-0.002927,-0.035120,0.159102,0.001261,-0.011147,7.142458,-0.038612,7.142438,-0.038611,0.128244,0.133589,0.128244,0.133589,-0.004697,0.000602,0.004736,0.061124,0.071000,0.000324,-0.002317
1.932000,0.224526,-0.002325,0.026004,0.230102,0.001585,-0.013464,0.230102,-0.001585,0.013464,0.234557,-0.003073,-0.035487,0.161013,0.001255,-0.010870,7.229189,-0.036978,7.229190,-0.036980,0.130116,0.135187,0.130116,0.135187,-0.010031,0.000748,0.010059,0.061491,0.069089,0.000330,-0.002594
1.968000,0.232970,-0.002489,0.026480,0.234367,0.001609,-0.013227,0.234367,-0.001609,0.013227,0.239954,-0.003224,-0.035845,0.162949,0.001248,-0.010598,7.316607,-0.035385,7.316624,-0.035387,0.131980,0.136787,0.131980,0.136787,-0.006984,0.000735,0.007022,0.062325,0.071418,0.000361,-0.002629
2.000000,0.241568,-0.002660,0.026947,0.238635,0.001631,-0.012988,0.238635,-0.001631,0.012988,0.245416,-0.003379,-0.036194,0.164908,0.001242,-0.010329,7.404701,-0.033830,7.404687,-0.033833,0.133835,0.138388,0.133835,0.138388,-0.003848,0.000719,0.003914,0.063141,0.073727,0.000389,-0.002659
2.032000,0.250319,-0.002838,0.027405,0.242899,0.001652,-0.012747,0.242899,-0.001652,0.012747,0.250944,-0.003539,-0.036533,0.166890,0.001234,-0.010063,7.493462,-0.032314,7.493456,-0.032312,0.135683,0.139991,0.135683,0.139991,-0.000625,0.000701,0.000939,0.063938,0.076009,0.000418,-0.002684
2.068000,0.259225,-0.003024,0.027855,0.247177,0.001672,-0.012505,0.247177,-0.001672,0.012505,0.256538,-0.003703,-0.036864,0.168896,0.001227,-0.009801,7.582878,-0.030833,7.582878,-0.030827,0.137523,0.141595,0.137523,0.141595,0.002687,0.000679,0.002771,0.064719,0.078281,0.000445,-0.002704
2.100000,0.268284,-0.003218,0.028296,0.251468,0.001690,-0.012261,0.251468,-0.001690,0.012261,0.262199,-0.003872,-0.037187,0.170925,0.001219,-0.009543,7.672941,-0.029386,7.672927,-0.029385,0.139354,0.143200,0.139354,0.143200,0.006085,0.000654,0.006120,0.065483,0.080543,0.000471,-0.002718
2.132000,0.277498,-0.003420,0.028728,0.255766,0.001707,-0.012017,0.255766,-0.001707,0.012017,0.267928,-0.004046,-0.037501,0.172976,0.001210,-0.009289,7.763639,-0.027973,7.763655,-0.027974,0.141178,0.144806,0.141178,0.144806,0.009570,0.000626,0.009591,0.066229,0.082790,0.000497,-0.002728
2.168000,0.286868,-0.003629,0.029151,0.260077,0.001722,-0.011773,0.260077,-0.001722,0.011773,0.273726,-0.004224,-0.037806,0.175049,0.001201,-0.009038,7.854963,-0.026592,7.854952,-0.026596,0.142993,0.146411,0.142993,0.146411,0.013142,0.000595,0.013155,0.066957,0.085028,0.000521,-0.002735
2.200000,0.296392,-0.003847,0.029566,0.264388,0.001736,-0.011529,0.264388,-0.001736,0.011529,0.279593,-0.004407,-0.038103,0.177145,0.001192,-0.008791,7.946903,-0.025241,7.946898,-0.025244,0.144801,0.148016,0.144801,0.148016,0.016799,0.000560,0.016808,0.067669,0.087243,0.000544,-0.002738
2.232000,0.306071,-0.004072,0.029972,0.268695,0.001749,-0.011286,0.268695,-0.001749,0.011286,0.285531,-0.004595,-0.038392,0.179262,0.001183,-0.008547,8.039449,-0.023920,8.039435,-0.023919,0.146601,0.149620,0.146601,0.149620,0.020540,0.000523,0.020547,0.068364,0.089433,0.000566,-0.002739
2.268000,0.315905,-0.004306,0.030369,0.273005,0.001760,-0.011041,0.273005,-0.001760,0.011041,0.291539,-0.004787,-0.038673,0.181401,0.001173,-0.008308,8.132591,-0.022626,8.132590,-0.022630,0.148393,0.151224,0.148393,0.151224,0.024366,0.000481,0.024371,0.069042,0.091604,0.000587,-0.002733
2.300000,0.325895,-0.004547,0.030757,0.277312,0.001770,-0.010797,0.277312,-0.001770,0.010797,0.297618,-0.004984,-0.038946,0.183561,0.001162,-0.008071,8.226319,-0.021360,8.226305,-0.021364,0.150177,0.152826,0.150177,0.152826,0.028277,0.000437,0.028280,0.069703,0.093751,0.000608,-0.002726
2.332000,0.336039,-0.004798,0.031136,0.281624,0.001779,-0.010554,0.281624,-0.001779,0.010554,0.303770,-0.005186,-0.039211,0.185742,0.001152,-0.007839,8.320623,-0.020121,8.320632,-0.020121,0.151954,0.154427,0.151954,0.154427,0.032269,0.000388,0.032271,0.070347,0.095882,0.000627,-0.002715
2.368000,0.346339,-0.005056,0.031507,0.285954,0.001786,-0.010311,0.285954,-0.001786,0.010311,0.309995,-0.005393,-0.039469,0.187943,0.001141,-0.007610,8.415494,-0.018906,8.415485,-0.018911,0.153722,0.156026,0.153722,0.156026,0.036344,0.000337,0.036345,0.070976,0.098011,0.000645,-0.002701
2.400000,0.346339,-0.005056,0.031507,0.285954,0.001786,-0.010311,0.285954,-0.001786,0.010311,0.316293,-0.005604,-0.039718,0.190165,0.001130,-0.007385,8.510921,-0.017716,8.510915,-0.017718,0.155483,0.157623,0.155483,0.157623,0.030046,0.000548,0.030051,0.071225,0.095789,0.000656,-0.002926
2.432000,0.356795,-0.005323,0.031869,0.290287,0.001792,-0.010070,0.290287,-0.001792,0.010070,0.322666,-0.005821,-0.039961,0.192406,0.001119,-0.007163,8.606896,-0.016548,8.606892,-0.016552,0.157236,0.159218,0.157236,0.159218,0.034129,0.000498,0.034132,0.071830,0.097881,0.000673,-0.002907
2.468000,0.367407,-0.005599,0.032222,0.294636,0.001796,-0.009829,0.294636,-0.001796,0.009829,0.329113,-0.006042,-0.040196,0.194667,0.001107,-0.006945,8.703408,-0.015404,8.703412,-0.015398,0.158982,0.160810,0.158982,0.160810,0.038294,0.000443,0.038296,0.072418,0.099969,0.000689,-0.002884
2.500000,0.378176,-0.005883,0.032567,0.298993,0.001799,-0.009588,0.298993,-0.001799,0.009588,0.335636,-0.006269,-0.040424,0.196948,0.001095,-0.006730,8.800447,-0.014280,8.800441,-0.014281,0.160719,0.162400,0.160719,0.162400,0.042540,0.000386,0.042541,0.072991,0.102045,0.000704,-0.002858
2.532000,0.389101,-0.006177,0.032903,0.303344,0.001801,-0.009349,0.303344,-0.001801,0.009349,0.342235,-0.006500,-0.040645,0.199248,0.001083,-0.006519,8.898005,-0.013178,8.898005,-0.013177,0.162449,0.163987,0.162449,0.163987,0.046866,0.000323,0.046867,0.073548,0.104096,0.000718,-0.002830
2.568000,0.400183,-0.006478,0.033231,0.307699,0.001801,-0.009112,0.307699,-0.001801,0.009112,0.348911,-0.006736,-0.040858,0.201567,0.001070,-0.006311,8.996071,-0.012096,8.996070,-0.012096,0.164171,0.165571,0.164171,0.165571,0.051272,0.000258,0.051273,0.074089,0.106132,0.000731,-0.002801
2.600000,0.411421,-0.006789,0.033550,0.312052,0.001801,-0.008876,0.312052,-0.001801,0.008876,0.355665,-0.006978,-0.041065,0.203905,0.001057,-0.006107,9.094636,-0.011033,9.094632,-0.011038,0.165885,0.167152,0.165885,0.167152,0.055756,0.000189,0.055757,0.074615,0.108147,0.000744,-0.002769
