t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms,tau_v_applied
0.000000,0.000213,0.000000,0.000000,-0.000016,-0.000000,-0.000000,-0.000016,0.000000,0.000000,0.000215,0.000000,-0.000000,0.100000,0.000000,-0.002019,3.676759,-0.017998,3.345287,-0.051299,0.113994,0.128957,0.113994,0.128957,-0.000002,0.000000,0.000002,0.000000,-0.100016,-0.000000,0.002019,10.163721,0.000000
0.032000,0.000303,0.000000,-0.000006,0.002230,0.000006,-0.000137,0.002230,-0.000006,0.000137,0.003549,-0.000000,-0.000107,0.100021,0.000009,-0.003740,3.704553,-0.360011,3.523689,-0.221645,0.094940,0.157692,0.094940,0.157692,-0.003246,0.000000,0.003246,0.000101,-0.097791,-0.000003,0.003603,6.246283,0.000000
0.064000,0.000727,0.000003,-0.000072,0.011236,0.000060,-0.001696,0.011236,-0.000060,0.001696,0.006884,-0.000000,-0.000264,0.100085,0.000020,-0.005381,3.733686,-0.360356,3.663364,-0.245200,0.097796,0.165236,0.097796,0.165236,-0.006157,0.000003,0.006157,0.000192,-0.088849,0.000040,0.003685,5.457688,0.000000
0.100000,0.001507,0.000007,-0.000233,0.021115,0.000122,-0.004304,0.021115,-0.000122,0.004304,0.010221,-0.000001,-0.000469,0.100191,0.000032,-0.006943,3.764143,-0.360085,3.680433,-0.248939,0.097998,0.166237,0.097998,0.166237,-0.008714,0.000008,0.008714,0.000236,-0.079076,0.000090,0.002639,4.921091,0.000000
0.132000,0.002640,0.000012,-0.000490,0.030935,0.000140,-0.006993,0.030935,-0.000140,0.006993,0.013563,-0.000001,-0.000720,0.100339,0.000045,-0.008427,3.795915,-0.359219,3.667536,-0.236545,0.099436,0.164374,0.099436,0.164374,-0.010923,0.000013,0.010923,0.000230,-0.069404,0.000095,0.001434,4.663161,0.000000
0.164000,0.002640,0.000012,-0.000490,0.030935,0.000140,-0.006993,0.030935,-0.000140,0.006993,0.016911,-0.000002,-0.001016,0.100528,0.000060,-0.009835,3.828988,-0.357780,3.639669,-0.220307,0.100781,0.161532,0.100781,0.161532,-0.014271,0.000014,0.014271,0.000526,-0.069593,0.000080,0.002842,6.012997,0.000000
0.200000,0.004117,0.000015,-0.000838,0.040505,0.000120,-0.009543,0.040505,-0.000120,0.009543,0.020266,-0.000004,-0.001356,0.100758,0.000077,-0.011168,3.863350,-0.355792,3.600434,-0.203234,0.101713,0.158153,0.101713,0.158153,-0.016149,0.000019,0.016149,0.000518,-0.060253,0.000043,0.001625,4.456977,0.000000
0.232000,0.005928,0.000016,-0.001269,0.049788,0.000086,-0.011843,0.049788,-0.000086,0.011843,0.023629,-0.000006,-0.001738,0.101028,0.000094,-0.012427,3.898991,-0.353275,3.550940,-0.187026,0.102016,0.154457,0.102016,0.154457,-0.017701,0.000022,0.017701,0.000469,-0.051240,-0.000008,0.000584,4.394149,0.000000
0.264000,0.008061,0.000015,-0.001771,0.058770,0.000067,-0.013835,0.058770,-0.000067,0.013835,0.027001,-0.000009,-0.002160,0.101339,0.000113,-0.013615,3.935897,-0.350253,3.492017,-0.172772,0.101553,0.150592,0.101553,0.150592,-0.018940,0.000024,0.018940,0.000389,-0.042569,-0.000046,-0.000220,4.646220,0.000000
0.300000,0.010506,0.000013,-0.002332,0.067435,0.000082,-0.015513,0.067435,-0.000082,0.015513,0.030385,-0.000013,-0.002620,0.101690,0.000133,-0.014731,3.974058,-0.346747,3.424533,-0.160871,0.100295,0.146630,0.100295,0.146630,-0.019879,0.000026,0.019879,0.000288,-0.034255,-0.000051,-0.000782,5.500243,0.000000
