t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,roll_unwrapped,pitch_unwrapped,yaw_unwrapped,x_dot_world,y_dot_world,vx_odom_raw,vy_odom_raw,vz_odom_raw,wx_odom_raw,wy_odom_raw,wz_odom_raw,u_left,u_right
0.0,0.00021476717515729618,-2.2876421799412786e-18,-0.049458830330766,-2.8778613453085266e-15,-0.0007419612191582982,-3.420757065398947e-18,1.6950386429942135e-05,1.0215551258586937e-18,-3.851916505835535e-05,-1.321328581869478e-16,-0.0014029277117652845,8.811343981566221e-19,-2.8778613453085266e-15,-0.0007419612191582982,-3.420757065398947e-18,1.6950386429942135e-05,1.0214971427045522e-18,1.6950386429942135e-05,1.0215551258586937e-18,-3.851916505835535e-05,-1.321328581869478e-16,-0.0014029277117652845,8.811343981566221e-19,0.0,0.0
0.036000000000001364,0.00021478299821948096,-2.2334045473239495e-18,-0.04945864015238266,-2.8803608985136866e-15,-0.0007438181748686906,-3.277703762451895e-18,1.3969993267374614e-06,1.4716652390117337e-18,2.8384442325963804e-06,-7.21787339370862e-17,-0.00013021301244707571,3.663223578008593e-18,-2.8803608985136866e-15,-0.0007438181748686906,-3.277703762451895e-18,1.3969993267374614e-06,1.4716606600617842e-18,1.3969993267374614e-06,1.4716652390117337e-18,2.8384442325963804e-06,-7.21787339370862e-17,-0.00013021301244707571,3.663223578008593e-18,0.0,0.0
0.06800000000000139,0.00021423989544116896,-2.1615162221364415e-18,-0.04945713077599313,-2.881023104683687e-15,-0.0006988703652030254,-3.172599405288192e-18,-1.4274437504751034e-05,1.8483980598705852e-18,4.018574727209019e-05,-2.1907707098371988e-17,0.0011823765585046938,6.3698560196008425e-18,-2.881023104683687e-15,-0.0006988703652030254,-3.172599405288192e-18,-1.4274437504751034e-05,1.8484433469425236e-18,-1.4274437504751034e-05,1.8483980598705852e-18,4.018574727209019e-05,-2.1907707098371988e-17,0.0011823765585046938,6.3698560196008425e-18,0.0,0.0
0.10000000000000142,0.00021343751028348452,-2.0759275514775035e-18,-0.04945515868251688,-2.879858071998426e-15,-0.0006310709746526187,-3.0821476828023723e-18,-2.203412454957796e-05,2.2024217747758855e-18,5.4555161391369326e-05,2.9943921447403883e-17,0.0018629460245253554,7.884929627589305e-18,-2.879858071998426e-15,-0.0006310709746526187,-3.0821476828023723e-18,-2.203412454957796e-05,2.2024896872018086e-18,-2.203412454957796e-05,2.2024217747758855e-18,5.4555161391369326e-05,2.9943921447403883e-17,0.0018629460245253554,7.884929627589305e-18,0.0,0.0
0.136000000000001,0.00021279795824654012,-1.986601027687055e-18,-0.049453745852810885,-2.877749890910895e-15,-0.000575320983140971,-2.9736115030026017e-18,-1.8184797024457322e-05,2.3565248008350615e-18,4.0555994202091585e-05,5.708139378550832e-17,0.0015833422959039925,7.51774157998731e-18,-2.877749890910895e-15,-0.000575320983140971,-2.9736115030026017e-18,-1.8184797024457322e-05,2.3565788753566733e-18,-1.8184797024457322e-05,2.3565248008350615e-18,4.0555994202091585e-05,5.708139378550832e-17,0.0015833422959039925,7.51774157998731e-18,0.0,0.0
0.16800000000000104,0.0002126343630781952,-1.9283771216510615e-18,-0.04945347593186514,-2.876144161454381e-15,-0.0005594365291704013,-2.8757817765084106e-18,-5.358377109003113e-06,1.6712704962307809e-18,9.329023092504835e-06,4.6389424778255e-17,0.0005117146756164493,4.260121311501473e-18,-2.876144161454381e-15,-0.0005594365291704013,-2.8757817765084106e-18,-5.358377109003113e-06,1.6712859057540227e-18,-5.358377109003113e-06,1.6712704962307809e-18,9.329023092504835e-06,4.6389424778255e-17,0.0005117146756164493,4.260121311501473e-18,0.0,0.0
0.20000000000000107,0.00021307149931593393,-1.809986679290275e-18,-0.0494546735560193,-2.8718211127370503e-15,-0.0005910570155483654,-2.597683482130014e-18,1.0911182884447227e-05,3.045836617338871e-18,-2.9946898651296275e-05,1.0807814918178648e-16,-0.0007904957246600945,4.6809644007964644e-18,-2.8718211127370503e-15,-0.0005910570155483654,-2.597683482130014e-18,1.0911182884447227e-05,3.0458082735393215e-18,1.0911182884447227e-05,3.045836617338871e-18,-2.9946898651296275e-05,1.0807814918178648e-16,-0.0007904957246600945,4.6809644007964644e-18,0.0,0.0
0.23600000000000065,0.000213841202820898,-1.718254059205904e-18,-0.04945638973213833,-2.8674874942913777e-15,-0.0006526410221740662,-2.333945831661204e-18,2.0965670987273563e-05,2.6893641293659103e-18,-4.713289390763511e-05,1.1985979058066114e-16,-0.0016765165557271402,2.4748231803439098e-18,-2.8674874942913777e-15,-0.0006526410221740662,-2.333945831661204e-18,2.0965670987273563e-05,2.6893151966255016e-18,2.0965670987273563e-05,2.6893641293659103e-18,-4.713289390763511e-05,1.1985979058066114e-16,-0.0016765165557271402,2.4748231803439098e-18,0.0,0.0
0.2680000000000007,0.00021457089890228464,-1.6788657182564906e-18,-0.049457799683682385,-2.8680022892862087e-15,-0.0007123979534422342,-2.1406924158711552e-18,2.049490369215555e-05,1.3116879549088904e-18,-4.007285632381595e-05,-4.203273857298376e-18,-0.0016785653992311938,7.151728469959022e-19,-2.8680022892862087e-15,-0.0007123979534422342,-2.1406924158711552e-18,2.049490369215555e-05,1.3116440816239926e-18,2.049490369215555e-05,1.3116879549088904e-18,-4.007285632381595e-05,-4.203273857298376e-18,-0.0016785653992311938,7.151728469959022e-19,0.0,0.0
0.3000000000000007,0.00021490092337361232,-1.6643132689049499e-18,-0.04945818266673836,-2.8711208836513597e-15,-0.0007400720267544762,-2.021487670129058e-18,9.907120505607e-06,4.643293903187137e-19,-1.2460657043264044e-05,-8.436615664888586e-17,-0.0008294774035195887,1.0485401531698548e-18,-2.8711208836513597e-15,-0.0007400720267544762,-2.021487670129058e-18,9.907120505607e-06,4.6430936319676515e-19,9.907120505607e-06,4.643293903187137e-19,-1.2460657043264044e-05,-8.436615664888586e-17,-0.0008294774035195887,1.0485401531698548e-18,0.0,0.0
