t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,u_left,u_right
0.0,-531.9995163223183,162.00113741380648,-0.04936256754714,0.00015304425290862372,0.0034827717458599363,0.9999993010469832,-9.776028472823721e-06,-6.591383987341527e-05,-1.979779317703676e-05,-0.0002945071255008012,4.439515682725191e-05,7.671133481495088e-07,0.0,0.0
0.036000000000001364,-531.9995153528392,162.00113663865184,-0.04936297243884023,0.0001474107559250706,0.0034833727854648466,0.9999993172017186,-4.7068096597611345e-06,-4.331426628006118e-05,-1.3849860002698537e-05,-0.00019692488345814614,2.2079509591009015e-05,5.531211834855683e-07,0.0,0.0
0.06799999999998363,-531.9995149331086,162.00113632619738,-0.04936319893361925,0.00014495360118274377,0.0034835584407359255,0.9999993251617251,-8.837584271792751e-07,-1.3051097806128647e-05,-5.663590724955288e-06,-6.142607526563162e-05,4.641147389185594e-06,1.983092082601745e-07,0.0,0.0
0.09999999999999432,-531.9995157689701,162.00113721703312,-0.04936363659840496,0.00014940142807439783,0.003482372430072004,0.9999993242946009,7.487904742342544e-06,2.9615247092671563e-05,-1.0919996147833829e-05,0.00011119094513105019,-2.9650296723233138e-05,-1.730455516706337e-08,0.0,0.0
0.13599999999999568,-531.9995175065417,162.00113882323862,-0.04936336876706602,0.00015936403186880133,0.0034806149660873273,0.99999930396375,1.2898083271728792e-05,7.321762035376574e-05,6.597885057746847e-06,0.0003115616102592045,-5.481767364045615e-05,-6.071293234575747e-07,0.0,0.0
0.16800000000000637,-531.9995189887929,162.00114031634385,-0.04936277615045944,0.00016829473477455168,0.00347864662510067,0.9999992834938276,1.3900654000301686e-05,6.51439689975759e-05,1.728128514854263e-05,0.0002827472996185276,-6.023872046376456e-05,-6.304261270727073e-07,0.0,0.0
0.19999999999998863,-531.9995189887929,162.00114031634385,-0.04936277615045944,0.00016829473477455168,0.00347864662510067,0.9999992834938276,1.3900654000301686e-05,6.51439689975759e-05,1.728128514854263e-05,0.0002827472996185276,-6.023872046376456e-05,-6.304261270727073e-07,0.0,0.0
0.23599999999999,-531.9995198976583,162.00114162881727,-0.049361661029287775,0.00017479024161683616,0.003475966028627138,0.9999992666968653,1.5236611197300744e-05,3.685275528464203e-05,2.7924811181632613e-05,0.00016238746944669547,-6.70144717555145e-05,-4.083857410119827e-07,0.0,0.0
0.2680000000000007,-531.9995195092816,162.0011419405599,-0.04936059466739474,0.00017414247675471875,0.003473879578845871,0.9999992662981882,1.782081196622682e-05,5.766527190905446e-06,3.885487592950632e-05,2.699194379699772e-05,-7.913858593989799e-05,-1.1799369938957672e-07,0.0,0.0
0.29999999999998295,-531.9995181648524,162.0011415641386,-0.049359524927028504,0.00016827906204454975,0.0034720474493420564,0.9999992786572235,1.0148362950227268e-05,-3.3362427355688824e-05,2.6784573798767113e-05,-0.00014658317027979308,-4.580257527695848e-05,3.168239313328679e-07,0.0,0.0
0.3359999999999843,-531.9995160693309,162.00114060177918,-0.049358559253727376,0.0001580999701144766,0.0034705741887803604,0.9999993030655044,7.976633550449824e-06,-5.707821918176032e-05,2.417888397425407e-05,-0.00025448305951745814,-3.6831972525722036e-05,6.162412083596492e-07,0.0,0.0
0.367999999999995,-531.9995142302183,162.00113958300537,-0.04935800628633603,0.00014856751112932607,0.0034699038554245895,0.9999993286137057,3.362247526256223e-06,-5.244803490289906e-05,1.384389466791104e-05,-0.00023831372340873638,-1.6758326638757364e-05,6.412819499593159e-07,0.0,0.0
0.4000000000000057,-531.9995137167953,162.001139248492,-0.04935791379320523,0.00014569609197308256,0.003469887953568403,0.9999993374932544,-1.1000359850921422e-07,-1.531888694555406e-05,2.3141924152556235e-06,-7.178365316873111e-05,-3.974993636110091e-07,2.2203784767103516e-07,0.0,0.0
0.4359999999999786,-531.9995143484019,162.0011391616281,-0.04935848976269123,0.0001470026602363976,0.0034715724717597255,0.9999993458984944,-1.03087574968594e-05,1.2111518982919248e-05,-1.4436892242942958e-05,3.266700083450959e-05,4.211752800408655e-05,2.0398852708165696e-07,0.0,0.0
0.4679999999999893,-531.9995158813896,162.00113972114295,-0.0493591296360888,0.00015366222044933372,0.0034730902392788475,0.9999993356750708,-1.9189708780756114e-05,5.191587275032827e-05,-3.0470714686423375e-05,0.00019916152031995024,8.006265830822429e-05,-5.730494873697272e-08,0.0,0.0
0.5,-531.9995182741912,162.00114061412515,-0.049360060048459206,0.0001643573477584035,0.0034754212828357256,0.9999993157023843,-1.3454580807439643e-05,6.239507974273867e-05,-2.3317231800958406e-05,0.00026738851803023435,5.827789091834533e-05,-5.086017205447507e-07,0.0,0.0
0.5360000000000014,-531.9995204142582,162.00114124019655,-0.049361075499133995,0.00017364600709931418,0.003478164508960736,0.9999992970178913,-1.5648222964861594e-05,5.347244226740662e-05,-2.5449953415733576e-05,0.0002322165129548864,6.858018938166397e-05,-4.787237756053571e-07,0.0,0.0
0.5679999999999836,-531.9995209668709,162.0011412417564,-0.04936153639396966,0.0001756825589314494,0.0034794717841469753,0.9999992930302025,-7.391505895782892e-06,1.1644224893429473e-05,-1.1550205146505999e-05,5.091442218046329e-05,3.268204119915363e-05,-1.054005500955071e-07,0.0,0.0
0.5999999999999943,-531.9995201907315,162.0011399521667,-0.049362579192341445,0.00016970254719199187,0.0034824408321461908,0.9999993084822888,-1.6554168005672197e-05,-3.3751210992858794e-05,-2.612196063695882e-05,-0.0001495040064566591,7.422750814322675e-05,3.733932434541741e-07,0.0,0.0
