t,x,y,psi,u,v,r,tau_u,tau_r,T1,T2,cmd1,cmd2,jerk_x,jerk_y
0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,15.188343,-1.048890,5.577075,9.611268,0.234015,0.333057,0.038510,-0.003066
0.033333,0.003334,-0.000000,-0.000068,0.100021,0.000005,-0.002027,15.223742,-1.083753,5.527731,9.696011,0.232669,0.334934,0.038193,-0.003030
0.066667,0.006669,-0.000000,-0.000198,0.100085,0.000013,-0.003918,15.297472,-1.080299,5.571237,9.726235,0.233856,0.335602,0.037876,-0.002993
0.100000,0.010006,-0.000001,-0.000387,0.100191,0.000024,-0.005679,15.377052,-1.075432,5.620388,9.756663,0.235195,0.336273,0.037560,-0.002957
0.133333,0.013348,-0.000001,-0.000631,0.100339,0.000037,-0.007316,15.462430,-1.069195,5.675071,9.787359,0.236679,0.336949,0.037245,-0.002920
0.166667,0.016696,-0.000002,-0.000926,0.100528,0.000051,-0.008834,15.553556,-1.061643,5.735156,9.818400,0.238306,0.337632,0.036931,-0.002884
0.200000,0.020051,-0.000004,-0.001267,0.100758,0.000068,-0.010239,15.650379,-1.052839,5.800500,9.849879,0.240068,0.338323,0.036618,-0.002848
0.233333,0.023414,-0.000006,-0.001652,0.101028,0.000086,-0.011536,15.752849,-1.042849,5.870946,9.881904,0.241960,0.339026,0.036306,-0.002812
0.266667,0.026786,-0.000009,-0.002076,0.101339,0.000105,-0.012729,15.860915,-1.031747,5.946328,9.914587,0.243977,0.339741,0.035995,-0.002776
0.300000,0.030170,-0.000013,-0.002537,0.101690,0.000125,-0.013824,15.974527,-1.019611,6.026474,9.948053,0.246113,0.340473,0.035684,-0.002740
0.333333,0.033566,-0.000018,-0.003031,0.102081,0.000146,-0.014825,16.093634,-1.006519,6.111203,9.982430,0.248360,0.341224,0.035375,-0.002705
0.366667,0.036976,-0.000024,-0.003555,0.102511,0.000167,-0.015735,16.218186,-0.992554,6.200335,10.017850,0.250712,0.341996,0.035066,-0.002669
0.400000,0.040401,-0.000032,-0.004107,0.102980,0.000189,-0.016560,16.348133,-0.977798,6.293685,10.054448,0.253164,0.342792,0.034759,-0.002634
0.433333,0.043842,-0.000040,-0.004684,0.103488,0.000212,-0.017304,16.483424,-0.962335,6.391068,10.092357,0.255708,0.343616,0.034452,-0.002598
0.466667,0.047300,-0.000050,-0.005283,0.104034,0.000234,-0.017971,16.624011,-0.946246,6.492301,10.131710,0.258339,0.344469,0.034146,-0.002563
0.500000,0.050778,-0.000061,-0.005902,0.104617,0.000257,-0.018564,16.769842,-0.929613,6.597205,10.172638,0.261050,0.345355,0.033841,-0.002528
0.533333,0.054275,-0.000074,-0.006538,0.105239,0.000279,-0.019087,16.920870,-0.912512,6.705603,10.215266,0.263836,0.346277,0.033537,-0.002493
0.566667,0.057794,-0.000088,-0.007190,0.105898,0.000302,-0.019544,17.077043,-0.895022,6.817326,10.259717,0.266690,0.347235,0.033234,-0.002458
0.600000,0.061335,-0.000105,-0.007854,0.106593,0.000324,-0.019939,17.238313,-0.877213,6.932209,10.306104,0.269607,0.348234,0.032932,-0.002423
0.633333,0.064901,-0.000123,-0.008530,0.107326,0.000347,-0.020275,17.404630,-0.859156,7.050093,10.354538,0.272582,0.349274,0.032631,-0.002388
0.666667,0.068491,-0.000142,-0.009215,0.108095,0.000368,-0.020555,17.575946,-0.840915,7.170828,10.405118,0.275610,0.350358,0.032331,-0.002353
0.700000,0.072107,-0.000164,-0.009908,0.108899,0.000390,-0.020784,17.752212,-0.822553,7.294273,10.457939,0.278687,0.351487,0.032031,-0.002319
0.733333,0.075751,-0.000188,-0.010607,0.109739,0.000411,-0.020963,17.933378,-0.804126,7.420292,10.513086,0.281807,0.352663,0.031733,-0.002284
0.766667,0.079423,-0.000215,-0.011310,0.110615,0.000431,-0.021097,18.119397,-0.785687,7.548761,10.570636,0.284968,0.353888,0.031435,-0.002250
0.800000,0.083126,-0.000243,-0.012016,0.111526,0.000451,-0.021188,18.310219,-0.767285,7.679561,10.630658,0.288164,0.355162,0.031139,-0.002215
0.833333,0.086859,-0.000274,-0.012724,0.112471,0.000471,-0.021238,18.505797,-0.748964,7.812583,10.693213,0.291394,0.356486,0.030843,-0.002181
0.866667,0.090624,-0.000307,-0.013433,0.113450,0.000490,-0.021252,18.706082,-0.730763,7.947728,10.758354,0.294653,0.357860,0.030548,-0.002147
0.900000,0.094422,-0.000343,-0.014140,0.114464,0.000508,-0.021231,18.911026,-0.712718,8.084902,10.826124,0.297938,0.359287,0.030255,-0.002113
0.933333,0.098255,-0.000381,-0.014846,0.115511,0.000526,-0.021177,19.120581,-0.694861,8.224020,10.896561,0.301247,0.360764,0.029962,-0.002079
0.966667,0.102123,-0.000422,-0.015549,0.116592,0.000543,-0.021095,19.334700,-0.677219,8.365006,10.969695,0.304578,0.362294,0.029669,-0.002045
1.000000,0.106028,-0.000466,-0.016249,0.117705,0.000559,-0.020985,19.553336,-0.659817,8.507789,11.045547,0.307927,0.363875,0.029378,-0.002012
1.033333,0.109970,-0.000513,-0.016944,0.118852,0.000575,-0.020850,19.776439,-0.642675,8.652306,11.124133,0.311294,0.365508,0.029088,-0.001978
1.066667,0.113951,-0.000562,-0.017634,0.120030,0.000590,-0.020692,20.003965,-0.625811,8.798500,11.205464,0.314676,0.367192,0.028799,-0.001945
1.100000,0.117972,-0.000614,-0.018317,0.121241,0.000604,-0.020513,20.235864,-0.609238,8.946320,11.289544,0.318072,0.368927,0.028510,-0.001911
1.133333,0.122033,-0.000670,-0.018995,0.122484,0.000618,-0.020316,20.472090,-0.592969,9.095720,11.376370,0.321480,0.370712,0.028223,-0.001878
1.166667,0.126137,-0.000728,-0.019665,0.123758,0.000631,-0.020101,20.712597,-0.577012,9.246659,11.465937,0.324898,0.372547,0.027936,-0.001845
1.200000,0.130283,-0.000790,-0.020327,0.125063,0.000643,-0.019871,20.957337,-0.561375,9.399102,11.558235,0.328327,0.374430,0.027651,-0.001812
1.233333,0.134474,-0.000855,-0.020981,0.126399,0.000655,-0.019626,21.206264,-0.546061,9.553016,11.653248,0.331763,0.376360,0.027366,-0.001779
1.266667,0.138709,-0.000923,-0.021627,0.127765,0.000666,-0.019370,21.459332,-0.531073,9.708372,11.750960,0.335207,0.378338,0.027082,-0.001746
1.300000,0.142991,-0.000995,-0.022264,0.129162,0.000676,-0.019102,21.716493,-0.516412,9.865146,11.851347,0.338658,0.380361,0.026799,-0.001713
1.333333,0.147319,-0.001070,-0.022891,0.130588,0.000686,-0.018825,21.977703,-0.502079,10.023315,11.954388,0.342115,0.382429,0.026517,-0.001680
1.366667,0.151696,-0.001148,-0.023509,0.132044,0.000695,-0.018540,22.242915,-0.488071,10.182860,12.060055,0.345576,0.384541,0.026236,-0.001648
1.400000,0.156121,-0.001230,-0.024117,0.133529,0.000704,-0.018247,22.512082,-0.474385,10.343763,12.168319,0.349043,0.386695,0.025956,-0.001615
1.433333,0.160597,-0.001316,-0.024716,0.135043,0.000712,-0.017948,22.785160,-0.461017,10.506009,12.279152,0.352513,0.388890,0.025677,-0.001583
1.466667,0.165123,-0.001405,-0.025304,0.136586,0.000719,-0.017643,23.062103,-0.447964,10.669583,12.392520,0.355986,0.391125,0.025399,-0.001551
1.500000,0.169701,-0.001499,-0.025882,0.138157,0.000726,-0.017335,23.342865,-0.435219,10.834473,12.508392,0.359462,0.393398,0.025121,-0.001518
1.533333,0.174332,-0.001595,-0.026449,0.139756,0.000732,-0.017023,23.627401,-0.422777,11.000669,12.626733,0.362940,0.395710,0.024845,-0.001486
1.566667,0.179016,-0.001696,-0.027006,0.141383,0.000737,-0.016708,23.915666,-0.410631,11.168158,12.747508,0.366421,0.398057,0.024569,-0.001454
1.600000,0.183756,-0.001801,-0.027552,0.143037,0.000742,-0.016391,24.207615,-0.398775,11.336932,12.870683,0.369902,0.400439,0.024294,-0.001422
1.633333,0.188550,-0.001909,-0.028088,0.144718,0.000746,-0.016073,24.503202,-0.387202,11.506981,12.996221,0.373385,0.402855,0.024021,-0.001391
1.666667,0.193401,-0.002022,-0.028613,0.146426,0.000750,-0.015755,24.802384,-0.375905,11.678297,13.124086,0.376868,0.405303,0.023748,-0.001359
1.700000,0.198310,-0.002139,-0.029128,0.148160,0.000754,-0.015436,25.105115,-0.364877,11.850871,13.254243,0.380352,0.407782,0.023476,-0.001327
1.733333,0.203276,-0.002260,-0.029632,0.149921,0.000756,-0.015118,25.411351,-0.354110,12.024695,13.386656,0.383835,0.410292,0.023205,-0.001296
1.766667,0.208302,-0.002384,-0.030125,0.151707,0.000759,-0.014800,25.721048,-0.343597,12.199761,13.521287,0.387319,0.412830,0.022935,-0.001264
1.800000,0.213387,-0.002514,-0.030608,0.153519,0.000761,-0.014484,26.034161,-0.333331,12.376060,13.658101,0.390801,0.415395,0.022666,-0.001233
1.833333,0.218533,-0.002647,-0.031080,0.155356,0.000762,-0.014169,26.350647,-0.323304,12.553585,13.797063,0.394282,0.417987,0.022397,-0.001202
1.866667,0.223741,-0.002785,-0.031542,0.157218,0.000763,-0.013856,26.670462,-0.313510,12.732326,13.938136,0.397762,0.420605,0.022130,-0.001171
1.900000,0.229011,-0.002927,-0.031993,0.159105,0.000763,-0.013545,26.993562,-0.303942,12.912277,14.081286,0.401241,0.423246,0.021864,-0.001140
1.933333,0.234345,-0.003073,-0.032435,0.161016,0.000763,-0.013237,27.319904,-0.294593,13.093427,14.226477,0.404717,0.425910,0.021598,-0.001109
1.966667,0.239742,-0.003224,-0.032866,0.162952,0.000763,-0.012932,27.649443,-0.285456,13.275768,14.373675,0.408191,0.428596,0.021334,-0.001078
2.000000,0.245204,-0.003379,-0.033287,0.164911,0.000762,-0.012629,27.982137,-0.276524,13.459291,14.522846,0.411663,0.431303,0.021070,-0.001047
2.033333,0.250732,-0.003539,-0.033698,0.166893,0.000761,-0.012330,28.317943,-0.267792,13.643986,14.673957,0.415131,0.434030,0.020807,-0.001017
2.066667,0.256326,-0.003703,-0.034099,0.168899,0.000760,-0.012034,28.656818,-0.259254,13.829845,14.826974,0.418597,0.436775,0.020545,-0.000986
2.100000,0.261987,-0.003872,-0.034490,0.170927,0.000758,-0.011741,28.998719,-0.250902,14.016856,14.981863,0.422059,0.439539,0.020284,-0.000956
2.133333,0.267716,-0.004046,-0.034872,0.172979,0.000755,-0.011452,29.343603,-0.242732,14.205009,15.138594,0.425517,0.442319,0.020024,-0.000926
2.166667,0.273514,-0.004224,-0.035244,0.175052,0.000753,-0.011167,29.691427,-0.234738,14.394294,15.297133,0.428971,0.445115,0.019765,-0.000896
2.200000,0.279381,-0.004407,-0.035607,0.177147,0.000750,-0.010885,30.042150,-0.226915,14.584701,15.457450,0.432421,0.447926,0.019507,-0.000865
2.233333,0.285319,-0.004595,-0.035961,0.179265,0.000747,-0.010607,30.395730,-0.219257,14.776217,15.619512,0.435866,0.450751,0.019250,-0.000835
2.266667,0.291327,-0.004787,-0.036305,0.181403,0.000743,-0.010333,30.752123,-0.211759,14.968832,15.783291,0.439307,0.453589,0.018993,-0.000806
2.300000,0.297406,-0.004984,-0.036640,0.183563,0.000739,-0.010063,31.111288,-0.204417,15.162534,15.948754,0.442742,0.456440,0.018738,-0.000776
2.333333,0.303558,-0.005186,-0.036967,0.185744,0.000735,-0.009797,31.473184,-0.197226,15.357311,16.115873,0.446172,0.459302,0.018483,-0.000746
2.366667,0.309783,-0.005393,-0.037285,0.187945,0.000731,-0.009534,31.837769,-0.190181,15.553151,16.284618,0.449596,0.462175,0.018230,-0.000717
2.400000,0.316081,-0.005604,-0.037594,0.190166,0.000726,-0.009276,32.205002,-0.183279,15.750041,16.454960,0.453014,0.465058,0.017977,-0.000687
2.433333,0.322454,-0.005821,-0.037895,0.192408,0.000721,-0.009022,32.574840,-0.176514,15.947970,16.626871,0.456426,0.467950,0.017725,-0.000658
2.466667,0.328901,-0.006042,-0.038187,0.194669,0.000716,-0.008772,32.947244,-0.169883,16.146923,16.800321,0.459832,0.470850,0.017474,-0.000628
2.500000,0.335424,-0.006269,-0.038471,0.196950,0.000710,-0.008525,33.322172,-0.163383,16.346888,16.975283,0.463231,0.473758,0.017224,-0.000599
2.533333,0.342023,-0.006500,-0.038747,0.199250,0.000705,-0.008283,33.699583,-0.157008,16.547852,17.151730,0.466622,0.476674,0.016975,-0.000570
2.566667,0.348699,-0.006736,-0.039016,0.201569,0.000699,-0.008044,34.079436,-0.150756,16.749802,17.329634,0.470007,0.479595,0.016727,-0.000541
2.600000,0.355453,-0.006978,-0.039276,0.203906,0.000693,-0.007809,34.461692,-0.144624,16.952723,17.508968,0.473384,0.482523,0.016480,-0.000512
2.633333,0.362285,-0.007224,-0.039528,0.206262,0.000686,-0.007579,34.846309,-0.138607,17.156603,17.689706,0.476754,0.485455,0.016234,-0.000483
2.666667,0.369195,-0.007475,-0.039773,0.208636,0.000680,-0.007351,35.233248,-0.132703,17.361426,17.871821,0.480116,0.488392,0.015988,-0.000455
2.700000,0.376185,-0.007732,-0.040011,0.211027,0.000673,-0.007128,35.622468,-0.126908,17.567180,18.055288,0.483469,0.491333,0.015744,-0.000426
2.733333,0.383254,-0.007993,-0.040241,0.213437,0.000666,-0.006909,36.013930,-0.121220,17.773850,18.240080,0.486815,0.494278,0.015500,-0.000398
2.766667,0.390404,-0.008260,-0.040464,0.215863,0.000659,-0.006693,36.407593,-0.115635,17.981422,18.426171,0.490152,0.497225,0.015258,-0.000369
2.800000,0.397635,-0.008532,-0.040680,0.218306,0.000651,-0.006480,36.803419,-0.110151,18.189881,18.613538,0.493480,0.500174,0.015016,-0.000341
2.833333,0.404948,-0.008808,-0.040890,0.220766,0.000644,-0.006271,37.201368,-0.104765,18.399213,18.802155,0.496799,0.503124,0.014775,-0.000313
2.866667,0.412343,-0.009090,-0.041092,0.223243,0.000636,-0.006066,37.601401,-0.099474,18.609404,18.991997,0.500109,0.506076,0.014535,-0.000285
2.900000,0.419820,-0.009377,-0.041287,0.225736,0.000628,-0.005864,38.003477,-0.094276,18.820438,19.183039,0.503409,0.509029,0.014296,-0.000257
2.933333,0.427381,-0.009670,-0.041476,0.228244,0.000620,-0.005666,38.407560,-0.089169,19.032302,19.375258,0.506701,0.511982,0.014058,-0.000229
2.966667,0.435025,-0.009967,-0.041658,0.230768,0.000612,-0.005471,38.813609,-0.084149,19.244979,19.568630,0.509982,0.514934,0.013821,-0.000201
3.000000,0.442754,-0.010270,-0.041834,0.233308,0.000604,-0.005279,39.221586,-0.079215,19.458456,19.763130,0.513254,0.517885,0.013585,-0.000173
3.033333,0.450567,-0.010577,-0.042004,0.235863,0.000595,-0.005091,39.631453,-0.074365,19.672717,19.958736,0.516516,0.520836,0.013349,-0.000146
3.066667,0.458466,-0.010890,-0.042168,0.238432,0.000587,-0.004905,40.043171,-0.069596,19.887747,20.155423,0.519767,0.523785,0.013115,-0.000118
3.100000,0.466451,-0.011208,-0.042325,0.241016,0.000578,-0.004723,40.456702,-0.064906,20.103532,20.353170,0.523008,0.526731,0.012882,-0.000091
3.133333,0.474521,-0.011532,-0.042476,0.243615,0.000569,-0.004544,40.872008,-0.060293,20.320056,20.551952,0.526239,0.529675,0.012649,-0.000064
3.166667,0.482679,-0.011860,-0.042622,0.246227,0.000560,-0.004367,41.289052,-0.055755,20.537304,20.751748,0.529459,0.532617,0.012417,-0.000037
3.200000,0.490923,-0.012194,-0.042762,0.248853,0.000551,-0.004194,41.707795,-0.051291,20.755261,20.952534,0.532668,0.535555,0.012187,-0.000009
3.233333,0.499255,-0.012533,-0.042896,0.251493,0.000541,-0.004024,42.128200,-0.046898,20.973912,21.154288,0.535867,0.538489,0.011957,0.000018
3.266667,0.507676,-0.012877,-0.043024,0.254146,0.000532,-0.003856,42.550229,-0.042574,21.193241,21.356988,0.539054,0.541420,0.011728,0.000044
3.300000,0.516184,-0.013226,-0.043148,0.256812,0.000522,-0.003691,42.973846,-0.038319,21.413234,21.560613,0.542230,0.544346,0.011500,0.000071
3.333333,0.524782,-0.013580,-0.043265,0.259491,0.000513,-0.003529,43.399013,-0.034129,21.633874,21.765139,0.545395,0.547268,0.011273,0.000098
3.366667,0.533469,-0.013940,-0.043377,0.262182,0.000503,-0.003369,43.825694,-0.030004,21.855147,21.970547,0.548548,0.550185,0.011047,0.000124
3.400000,0.542246,-0.014305,-0.043485,0.264886,0.000493,-0.003212,44.253851,-0.025942,22.077038,22.176814,0.551690,0.553096,0.010821,0.000151
3.433333,0.551113,-0.014675,-0.043586,0.267602,0.000483,-0.003058,44.683448,-0.021941,22.299530,22.383918,0.554820,0.556002,0.010597,0.000177
3.466667,0.560071,-0.015050,-0.043683,0.270329,0.000473,-0.002906,45.114449,-0.018000,22.522610,22.591839,0.557939,0.558902,0.010374,0.000204
3.500000,0.569120,-0.015430,-0.043775,0.273068,0.000463,-0.002756,45.546817,-0.014117,22.746261,22.800556,0.561045,0.561797,0.010151,0.000230
3.533333,0.578260,-0.015816,-0.043862,0.275818,0.000453,-0.002609,45.980516,-0.010291,22.970468,23.010048,0.564140,0.564684,0.009929,0.000256
3.566667,0.587491,-0.016206,-0.043944,0.278580,0.000442,-0.002464,46.415511,-0.006520,23.195216,23.220294,0.567223,0.567565,0.009709,0.000282
3.600000,0.596815,-0.016602,-0.044022,0.281352,0.000432,-0.002321,46.851764,-0.002804,23.420490,23.431274,0.570293,0.570439,0.009489,0.000308
3.633333,0.606231,-0.017003,-0.044094,0.284134,0.000421,-0.002181,47.289242,0.000860,23.646274,23.642967,0.573351,0.573307,0.009270,0.000333
3.666667,0.615740,-0.017409,-0.044162,0.286927,0.000411,-0.002043,47.727907,0.004472,23.872554,23.855354,0.576397,0.576166,0.009052,0.000359
3.700000,0.625342,-0.017820,-0.044226,0.289730,0.000400,-0.001906,48.167725,0.008034,24.099313,24.068413,0.579431,0.579018,0.008835,0.000385
3.733333,0.635038,-0.018236,-0.044285,0.292542,0.000389,-0.001772,48.608661,0.011547,24.326536,24.282125,0.582452,0.581863,0.008619,0.000410
3.766667,0.644827,-0.018658,-0.044340,0.295364,0.000378,-0.001640,49.050680,0.015012,24.554210,24.496470,0.585460,0.584699,0.008404,0.000436
3.800000,0.654711,-0.019084,-0.044390,0.298196,0.000367,-0.001510,49.493746,0.018431,24.782317,24.711429,0.588456,0.587527,0.008190,0.000461
3.833333,0.664689,-0.019515,-0.044436,0.301037,0.000356,-0.001382,49.937825,0.021804,25.010843,24.926982,0.591440,0.590347,0.007976,0.000486
3.866667,0.674761,-0.019952,-0.044478,0.303886,0.000345,-0.001256,50.382883,0.025132,25.239773,25.143110,0.594411,0.593158,0.007764,0.000511
3.900000,0.684929,-0.020393,-0.044516,0.306744,0.000334,-0.001131,50.828885,0.028418,25.469092,25.359793,0.597368,0.595961,0.007552,0.000536
3.933333,0.695192,-0.020840,-0.044549,0.309610,0.000322,-0.001008,51.275796,0.031661,25.698784,25.577012,0.600314,0.598754,0.007342,0.000561
3.966667,0.705550,-0.021291,-0.044579,0.312485,0.000311,-0.000887,51.723583,0.034863,25.928835,25.794748,0.603246,0.601539,0.007132,0.000586
4.000000,0.716004,-0.021747,-0.044604,0.315367,0.000299,-0.000768,52.172212,0.038024,26.159229,26.012983,0.606165,0.604314,0.006923,0.000610
4.033333,0.726555,-0.022208,-0.044626,0.318257,0.000288,-0.000650,52.621649,0.041146,26.389952,26.231697,0.609072,0.607080,0.006715,0.000635
4.066667,0.737201,-0.022675,-0.044644,0.321154,0.000276,-0.000534,53.071860,0.044230,26.620988,26.450872,0.611965,0.609836,0.006508,0.000659
4.100000,0.747944,-0.023146,-0.044658,0.324059,0.000264,-0.000420,53.522812,0.047277,26.852323,26.670489,0.614846,0.612583,0.006302,0.000684
4.133333,0.758784,-0.023621,-0.044668,0.326971,0.000252,-0.000307,53.974471,0.050287,27.083941,26.890530,0.617713,0.615320,0.006097,0.000708
4.166667,0.769722,-0.024102,-0.044675,0.329889,0.000240,-0.000195,54.426805,0.053261,27.315828,27.110977,0.620567,0.618047,0.005893,0.000732
4.200000,0.780756,-0.024588,-0.044678,0.332814,0.000229,-0.000086,54.879780,0.056201,27.547969,27.331811,0.623409,0.620764,0.005690,0.000756
4.233333,0.791888,-0.025078,-0.044677,0.335745,0.000216,0.000023,55.333364,0.059107,27.780349,27.553015,0.626237,0.623470,0.005487,0.000780
4.266667,0.803117,-0.025573,-0.044672,0.338682,0.000204,0.000130,55.787524,0.061979,28.012953,27.774571,0.629052,0.626167,0.005286,0.000804
4.300000,0.814445,-0.026073,-0.044665,0.341625,0.000192,0.000236,56.242227,0.064820,28.245767,27.996460,0.631854,0.628853,0.005085,0.000828
4.333333,0.825870,-0.026577,-0.044653,0.344574,0.000180,0.000340,56.697441,0.067629,28.478775,28.218665,0.634642,0.631528,0.004886,0.000852
4.366667,0.837394,-0.027086,-0.044638,0.347528,0.000167,0.000444,57.153134,0.070407,28.711964,28.441169,0.637418,0.634193,0.004687,0.000875
4.400000,0.849016,-0.027600,-0.044620,0.350487,0.000155,0.000545,57.609273,0.073155,28.945319,28.663954,0.640180,0.636848,0.004489,0.000899
4.433333,0.860737,-0.028118,-0.044599,0.353451,0.000143,0.000646,58.065827,0.075874,29.178825,28.887003,0.642929,0.639491,0.004292,0.000922
4.466667,0.872557,-0.028641,-0.044574,0.356420,0.000130,0.000746,58.522765,0.078564,29.412467,29.110297,0.645665,0.642124,0.004096,0.000945
4.500000,0.884475,-0.029168,-0.044546,0.359393,0.000117,0.000844,58.980053,0.081227,29.646232,29.333822,0.648388,0.644746,0.003901,0.000968
4.533333,0.896493,-0.029700,-0.044514,0.362371,0.000105,0.000941,59.437662,0.083862,29.880104,29.557558,0.651097,0.647357,0.003707,0.000992
4.566667,0.908610,-0.030236,-0.044480,0.365352,0.000092,0.001037,59.895560,0.086471,30.114070,29.781490,0.653793,0.649956,0.003514,0.001014
4.600000,0.920826,-0.030777,-0.044442,0.368338,0.000079,0.001132,60.353715,0.089054,30.348115,30.005600,0.656476,0.652545,0.003321,0.001037
4.633333,0.933141,-0.031322,-0.044401,0.371327,0.000066,0.001226,60.812097,0.091612,30.582225,30.229872,0.659146,0.655123,0.003130,0.001060
4.666667,0.945557,-0.031871,-0.044357,0.374319,0.000053,0.001319,61.270675,0.094145,30.816385,30.454290,0.661803,0.657689,0.002940,0.001083
4.700000,0.958072,-0.032425,-0.044310,0.377315,0.000040,0.001411,61.729418,0.096654,31.050582,30.678836,0.664446,0.660244,0.002750,0.001105
4.733333,0.970687,-0.032983,-0.044260,0.380314,0.000027,0.001502,62.188296,0.099140,31.284802,30.903494,0.667077,0.662788,0.002561,0.001128
4.766667,0.983401,-0.033545,-0.044207,0.383315,0.000013,0.001592,62.647279,0.101603,31.519030,31.128249,0.669694,0.665320,0.002374,0.001150
4.800000,0.996216,-0.034111,-0.044151,0.386320,0.000000,0.001681,63.106335,0.104044,31.753252,31.353083,0.672298,0.667841,0.002187,0.001172
4.833333,1.009131,-0.034682,-0.044092,0.389326,-0.000013,0.001770,63.565436,0.106463,31.987455,31.577981,0.674889,0.670350,0.002001,0.001195
4.866667,1.022146,-0.035256,-0.044030,0.392335,-0.000027,0.001857,64.024552,0.108861,32.221624,31.802927,0.677466,0.672848,0.001816,0.001217
4.900000,1.035261,-0.035835,-0.043965,0.395345,-0.000040,0.001944,64.483652,0.111239,32.455746,32.027905,0.680031,0.675335,0.001632,0.001239
4.933333,1.048477,-0.036417,-0.043898,0.398358,-0.000054,0.002030,64.942707,0.113596,32.689808,32.252899,0.682583,0.677810,0.001449,0.001261
4.966667,1.061793,-0.037004,-0.043827,0.401372,-0.000068,0.002114,65.401688,0.115934,32.923794,32.477894,0.685121,0.680273,0.001266,0.001282
5.000000,1.075209,-0.037594,-0.043754,0.404387,-0.000081,0.002199,65.860565,0.118253,33.157692,32.702873,0.687647,0.682725,0.001085,0.001304
5.033333,1.088726,-0.038188,-0.043678,0.407403,-0.000095,0.002282,66.319310,0.120553,33.391488,32.927822,0.690159,0.685165,0.000905,0.001326
5.066667,1.102343,-0.038786,-0.043599,0.410421,-0.000109,0.002365,66.777894,0.122836,33.625169,33.152725,0.692659,0.687593,0.000725,0.001347
5.100000,1.116061,-0.039388,-0.043517,0.413439,-0.000123,0.002447,67.236287,0.125100,33.858721,33.377566,0.695146,0.690010,0.000546,0.001368
5.133333,1.129879,-0.039993,-0.043433,0.416457,-0.000137,0.002528,67.694461,0.127348,34.092130,33.602331,0.697620,0.692415,0.000369,0.001390
5.166667,1.143798,-0.040603,-0.043346,0.419476,-0.000151,0.002609,68.152388,0.129579,34.325384,33.827004,0.700080,0.694809,0.000192,0.001411
5.200000,1.157817,-0.041215,-0.043257,0.422495,-0.000166,0.002689,68.610040,0.131793,34.558469,34.051571,0.702529,0.697190,0.000016,0.001432
5.233333,1.171937,-0.041832,-0.043164,0.425514,-0.000180,0.002768,69.067387,0.133992,34.791371,34.276016,0.704964,0.699561,-0.000159,0.001453
5.266667,1.186158,-0.042451,-0.043069,0.428533,-0.000194,0.002847,69.524403,0.136176,35.024078,34.500325,0.707386,0.701919,-0.000333,0.001474
5.300000,1.200479,-0.043075,-0.042972,0.431552,-0.000209,0.002925,69.981060,0.138344,35.256577,34.724483,0.709796,0.704266,-0.000506,0.001494
5.333333,1.214901,-0.043701,-0.042872,0.434569,-0.000223,0.003003,70.437329,0.140499,35.488854,34.948475,0.712193,0.706601,-0.000678,0.001515
5.366667,1.229423,-0.044331,-0.042769,0.437586,-0.000238,0.003080,70.893184,0.142639,35.720897,35.172287,0.714578,0.708924,-0.000849,0.001536
5.400000,1.244046,-0.044964,-0.042664,0.440602,-0.000252,0.003157,71.348597,0.144765,35.952692,35.395905,0.716950,0.711235,-0.001020,0.001556
5.433333,1.258769,-0.045601,-0.042556,0.443617,-0.000267,0.003233,71.803540,0.146878,36.184227,35.619313,0.719309,0.713535,-0.001189,0.001577
5.466667,1.273593,-0.046240,-0.042446,0.446630,-0.000282,0.003308,72.257988,0.148978,36.415489,35.842498,0.721656,0.715823,-0.001358,0.001597
5.500000,1.288517,-0.046883,-0.042333,0.449642,-0.000297,0.003383,72.711912,0.151065,36.646466,36.065446,0.723990,0.718100,-0.001525,0.001617
5.533333,1.303541,-0.047529,-0.042218,0.452652,-0.000312,0.003458,73.165286,0.153140,36.877144,36.288142,0.726312,0.720365,-0.001692,0.001637
5.566667,1.318666,-0.048177,-0.042100,0.455660,-0.000327,0.003532,73.618084,0.155204,37.107511,36.510573,0.728622,0.722618,-0.001858,0.001657
5.600000,1.333891,-0.048829,-0.041980,0.458666,-0.000342,0.003606,74.070279,0.157256,37.337554,36.732725,0.730919,0.724860,-0.002023,0.001677
5.633333,1.349216,-0.049483,-0.041857,0.461669,-0.000358,0.003679,74.521845,0.159296,37.567262,36.954583,0.733204,0.727089,-0.002187,0.001697
5.666667,1.364641,-0.050141,-0.041732,0.464670,-0.000373,0.003752,74.972755,0.161326,37.796621,37.176135,0.735476,0.729308,-0.002350,0.001716
5.700000,1.380166,-0.050801,-0.041605,0.467668,-0.000388,0.003824,75.422985,0.163346,38.025619,37.397366,0.737737,0.731515,-0.002512,0.001736
5.733333,1.395791,-0.051463,-0.041475,0.470664,-0.000404,0.003896,75.872508,0.165355,38.254245,37.618263,0.739985,0.733710,-0.002673,0.001755
5.766667,1.411515,-0.052128,-0.041343,0.473656,-0.000419,0.003968,76.321298,0.167355,38.482485,37.838813,0.742221,0.735893,-0.002833,0.001775
5.800000,1.427340,-0.052796,-0.041208,0.476646,-0.000435,0.004040,76.769331,0.169345,38.710329,38.059002,0.744446,0.738066,-0.002993,0.001794
5.833333,1.443263,-0.053466,-0.041071,0.479631,-0.000451,0.004111,77.216580,0.171326,38.937763,38.278817,0.746658,0.740226,-0.003151,0.001813
