t,x,y,psi,u,v,r,tau_u,tau_r,T1,T2
0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,15.188343,-1.048890,5.577075,9.611268
0.033333,0.003334,-0.000000,-0.000068,0.100021,0.000005,-0.002027,15.223742,-1.083753,5.527731,9.696011
0.066667,0.006669,-0.000000,-0.000198,0.100085,0.000013,-0.003918,15.297472,-1.080299,5.571237,9.726235
0.100000,0.010006,-0.000001,-0.000387,0.100191,0.000024,-0.005679,15.377052,-1.075432,5.620388,9.756663
0.133333,0.013348,-0.000001,-0.000631,0.100339,0.000037,-0.007316,15.462430,-1.069195,5.675071,9.787359
0.166667,0.016696,-0.000002,-0.000926,0.100528,0.000051,-0.008834,15.553556,-1.061643,5.735156,9.818400
0.200000,0.020051,-0.000004,-0.001267,0.100758,0.000068,-0.010239,15.650379,-1.052839,5.800500,9.849879
0.233333,0.023414,-0.000006,-0.001652,0.101028,0.000086,-0.011536,15.752849,-1.042849,5.870946,9.881904
0.266667,0.026786,-0.000009,-0.002076,0.101339,0.000105,-0.012729,15.860915,-1.031747,5.946328,9.914587
0.300000,0.030170,-0.000013,-0.002537,0.101690,0.000125,-0.013824,15.974527,-1.019611,6.026474,9.948053
0.333333,0.033566,-0.000018,-0.003031,0.102081,0.000146,-0.014825,16.093634,-1.006519,6.111203,9.982430
0.366667,0.036976,-0.000024,-0.003555,0.102511,0.000167,-0.015735,16.218186,-0.992554,6.200335,10.017850
0.400000,0.040401,-0.000032,-0.004107,0.102980,0.000189,-0.016560,16.348133,-0.977798,6.293685,10.054448
0.433333,0.043842,-0.000040,-0.004684,0.103488,0.000212,-0.017304,16.483424,-0.962335,6.391068,10.092357
0.466667,0.047300,-0.000050,-0.005283,0.104034,0.000234,-0.017971,16.624011,-0.946246,6.492301,10.131710
0.500000,0.050778,-0.000061,-0.005902,0.104617,0.000257,-0.018564,16.769842,-0.929613,6.597205,10.172638
0.533333,0.054275,-0.000074,-0.006538,0.105239,0.000279,-0.019087,16.920870,-0.912512,6.705603,10.215266
0.566667,0.057794,-0.000088,-0.007190,0.105898,0.000302,-0.019544,17.077043,-0.895022,6.817326,10.259717
0.600000,0.061335,-0.000105,-0.007854,0.106593,0.000324,-0.019939,17.238313,-0.877213,6.932209,10.306104
0.633333,0.064901,-0.000123,-0.008530,0.107326,0.000347,-0.020275,17.404630,-0.859156,7.050093,10.354538
0.666667,0.068491,-0.000142,-0.009215,0.108095,0.000368,-0.020555,17.575946,-0.840915,7.170828,10.405118
0.700000,0.072107,-0.000164,-0.009908,0.108899,0.000390,-0.020784,17.752212,-0.822553,7.294273,10.457939
0.733333,0.075751,-0.000188,-0.010607,0.109739,0.000411,-0.020963,17.933378,-0.804126,7.420292,10.513086
0.766667,0.079423,-0.000215,-0.011310,0.110615,0.000431,-0.021097,18.119397,-0.785687,7.548761,10.570636
0.800000,0.083126,-0.000243,-0.012016,0.111526,0.000451,-0.021188,18.310219,-0.767285,7.679561,10.630658
0.833333,0.086859,-0.000274,-0.012724,0.112471,0.000471,-0.021238,18.505797,-0.748964,7.812583,10.693213
0.866667,0.090624,-0.000307,-0.013433,0.113450,0.000490,-0.021252,18.706082,-0.730763,7.947728,10.758354
0.900000,0.094422,-0.000343,-0.014140,0.114464,0.000508,-0.021231,18.911026,-0.712718,8.084902,10.826124
0.933333,0.098255,-0.000381,-0.014846,0.115511,0.000526,-0.021177,19.120581,-0.694861,8.224020,10.896561
0.966667,0.102123,-0.000422,-0.015549,0.116592,0.000543,-0.021095,19.334700,-0.677219,8.365006,10.969695
1.000000,0.106028,-0.000466,-0.016249,0.117705,0.000559,-0.020985,19.553336,-0.659817,8.507789,11.045547
1.033333,0.109970,-0.000513,-0.016944,0.118852,0.000575,-0.020850,19.776439,-0.642675,8.652306,11.124133
1.066667,0.113951,-0.000562,-0.017634,0.120030,0.000590,-0.020692,20.003965,-0.625811,8.798500,11.205464
1.100000,0.117972,-0.000614,-0.018317,0.121241,0.000604,-0.020513,20.235864,-0.609238,8.946320,11.289544
1.133333,0.122033,-0.000670,-0.018995,0.122484,0.000618,-0.020316,20.472090,-0.592969,9.095720,11.376370
1.166667,0.126137,-0.000728,-0.019665,0.123758,0.000631,-0.020101,20.712597,-0.577012,9.246659,11.465937
1.200000,0.130283,-0.000790,-0.020327,0.125063,0.000643,-0.019871,20.957337,-0.561375,9.399102,11.558235
1.233333,0.134474,-0.000855,-0.020981,0.126399,0.000655,-0.019626,21.206264,-0.546061,9.553016,11.653248
1.266667,0.138709,-0.000923,-0.021627,0.127765,0.000666,-0.019370,21.459332,-0.531073,9.708372,11.750960
1.300000,0.142991,-0.000995,-0.022264,0.129162,0.000676,-0.019102,21.716493,-0.516412,9.865146,11.851347
1.333333,0.147319,-0.001070,-0.022891,0.130588,0.000686,-0.018825,21.977703,-0.502079,10.023315,11.954388
1.366667,0.151696,-0.001148,-0.023509,0.132044,0.000695,-0.018540,22.242915,-0.488071,10.182860,12.060055
1.400000,0.156121,-0.001230,-0.024117,0.133529,0.000704,-0.018247,22.512082,-0.474385,10.343763,12.168319
1.433333,0.160597,-0.001316,-0.024716,0.135043,0.000712,-0.017948,22.785160,-0.461017,10.506009,12.279152
1.466667,0.165123,-0.001405,-0.025304,0.136586,0.000719,-0.017643,23.062103,-0.447964,10.669583,12.392520
1.500000,0.169701,-0.001499,-0.025882,0.138157,0.000726,-0.017335,23.342865,-0.435219,10.834473,12.508392
1.533333,0.174332,-0.001595,-0.026449,0.139756,0.000732,-0.017023,23.627401,-0.422777,11.000669,12.626733
1.566667,0.179016,-0.001696,-0.027006,0.141383,0.000737,-0.016708,23.915666,-0.410631,11.168158,12.747508
1.600000,0.183756,-0.001801,-0.027552,0.143037,0.000742,-0.016391,24.207615,-0.398775,11.336932,12.870683
1.633333,0.188550,-0.001909,-0.028088,0.144718,0.000746,-0.016073,24.503202,-0.387202,11.506981,12.996221
1.666667,0.193401,-0.002022,-0.028613,0.146426,0.000750,-0.015755,24.802384,-0.375905,11.678297,13.124086
1.700000,0.198310,-0.002139,-0.029128,0.148160,0.000754,-0.015436,25.105115,-0.364877,11.850871,13.254243
1.733333,0.203276,-0.002260,-0.029632,0.149921,0.000756,-0.015118,25.411351,-0.354110,12.024695,13.386656
1.766667,0.208302,-0.002384,-0.030125,0.151707,0.000759,-0.014800,25.721048,-0.343597,12.199761,13.521287
1.800000,0.213387,-0.002514,-0.030608,0.153519,0.000761,-0.014484,26.034161,-0.333331,12.376060,13.658101
1.833333,0.218533,-0.002647,-0.031080,0.155356,0.000762,-0.014169,26.350647,-0.323304,12.553585,13.797063
1.866667,0.223741,-0.002785,-0.031542,0.157218,0.000763,-0.013856,26.670462,-0.313510,12.732326,13.938136
1.900000,0.229011,-0.002927,-0.031993,0.159105,0.000763,-0.013545,26.993562,-0.303942,12.912277,14.081286
1.933333,0.234345,-0.003073,-0.032435,0.161016,0.000763,-0.013237,27.319904,-0.294593,13.093427,14.226477
1.966667,0.239742,-0.003224,-0.032866,0.162952,0.000763,-0.012932,27.649443,-0.285456,13.275768,14.373675
2.000000,0.245204,-0.003379,-0.033287,0.164911,0.000762,-0.012629,27.982137,-0.276524,13.459291,14.522846
2.033333,0.250732,-0.003539,-0.033698,0.166893,0.000761,-0.012330,28.317943,-0.267792,13.643986,14.673957
2.066667,0.256326,-0.003703,-0.034099,0.168899,0.000760,-0.012034,28.656818,-0.259254,13.829845,14.826974
2.100000,0.261987,-0.003872,-0.034490,0.170927,0.000758,-0.011741,28.998719,-0.250902,14.016856,14.981863
2.133333,0.267716,-0.004046,-0.034872,0.172979,0.000755,-0.011452,29.343603,-0.242732,14.205009,15.138594
2.166667,0.273514,-0.004224,-0.035244,0.175052,0.000753,-0.011167,29.691427,-0.234738,14.394294,15.297133
2.200000,0.279381,-0.004407,-0.035607,0.177147,0.000750,-0.010885,30.042150,-0.226915,14.584701,15.457450
2.233333,0.285319,-0.004595,-0.035961,0.179265,0.000747,-0.010607,30.395730,-0.219257,14.776217,15.619512
2.266667,0.291327,-0.004787,-0.036305,0.181403,0.000743,-0.010333,30.752123,-0.211759,14.968832,15.783291
2.300000,0.297406,-0.004984,-0.036640,0.183563,0.000739,-0.010063,31.111288,-0.204417,15.162534,15.948754
2.333333,0.303558,-0.005186,-0.036967,0.185744,0.000735,-0.009797,31.473184,-0.197226,15.357311,16.115873
2.366667,0.309783,-0.005393,-0.037285,0.187945,0.000731,-0.009534,31.837769,-0.190181,15.553151,16.284618
2.400000,0.316081,-0.005604,-0.037594,0.190166,0.000726,-0.009276,32.205002,-0.183279,15.750041,16.454960
2.433333,0.322454,-0.005821,-0.037895,0.192408,0.000721,-0.009022,32.574840,-0.176514,15.947970,16.626871
2.466667,0.328901,-0.006042,-0.038187,0.194669,0.000716,-0.008772,32.947244,-0.169883,16.146923,16.800321
2.500000,0.335424,-0.006269,-0.038471,0.196950,0.000710,-0.008525,33.322172,-0.163383,16.346888,16.975283
2.533333,0.342023,-0.006500,-0.038747,0.199250,0.000705,-0.008283,33.699583,-0.157008,16.547852,17.151730
2.566667,0.348699,-0.006736,-0.039016,0.201569,0.000699,-0.008044,34.079436,-0.150756,16.749802,17.329634
2.600000,0.355453,-0.006978,-0.039276,0.203906,0.000693,-0.007809,34.461692,-0.144624,16.952723,17.508968
2.633333,0.362285,-0.007224,-0.039528,0.206262,0.000686,-0.007579,34.846309,-0.138607,17.156603,17.689706
2.666667,0.369195,-0.007475,-0.039773,0.208636,0.000680,-0.007351,35.233248,-0.132703,17.361426,17.871821
2.700000,0.376185,-0.007732,-0.040011,0.211027,0.000673,-0.007128,35.622468,-0.126908,17.567180,18.055288
2.733333,0.383254,-0.007993,-0.040241,0.213437,0.000666,-0.006909,36.013930,-0.121220,17.773850,18.240080
2.766667,0.390404,-0.008260,-0.040464,0.215863,0.000659,-0.006693,36.407593,-0.115635,17.981422,18.426171
2.800000,0.397635,-0.008532,-0.040680,0.218306,0.000651,-0.006480,36.803419,-0.110151,18.189881,18.613538
2.833333,0.404948,-0.008808,-0.040890,0.220766,0.000644,-0.006271,37.201368,-0.104765,18.399213,18.802155
2.866667,0.412343,-0.009090,-0.041092,0.223243,0.000636,-0.006066,37.601401,-0.099474,18.609404,18.991997
2.900000,0.419820,-0.009377,-0.041287,0.225736,0.000628,-0.005864,38.003477,-0.094276,18.820438,19.183039
2.933333,0.427381,-0.009670,-0.041476,0.228244,0.000620,-0.005666,38.407560,-0.089169,19.032302,19.375258
2.966667,0.435025,-0.009967,-0.041658,0.230768,0.000612,-0.005471,38.813609,-0.084149,19.244979,19.568630
3.000000,0.442754,-0.010270,-0.041834,0.233308,0.000604,-0.005279,39.221586,-0.079215,19.458456,19.763130
3.033333,0.450567,-0.010577,-0.042004,0.235863,0.000595,-0.005091,39.631453,-0.074365,19.672717,19.958736
3.066667,0.458466,-0.010890,-0.042168,0.238432,0.000587,-0.004905,40.043171,-0.069596,19.887747,20.155423
3.100000,0.466451,-0.011208,-0.042325,0.241016,0.000578,-0.004723,40.456702,-0.064906,20.103532,20.353170
3.133333,0.474521,-0.011532,-0.042476,0.243615,0.000569,-0.004544,40.872008,-0.060293,20.320056,20.551952
3.166667,0.482679,-0.011860,-0.042622,0.246227,0.000560,-0.004367,41.289052,-0.055755,20.537304,20.751748
3.200000,0.490923,-0.012194,-0.042762,0.248853,0.000551,-0.004194,41.707795,-0.051291,20.755261,20.952534
3.233333,0.499255,-0.012533,-0.042896,0.251493,0.000541,-0.004024,42.128200,-0.046898,20.973912,21.154288
3.266667,0.507676,-0.012877,-0.043024,0.254146,0.000532,-0.003856,42.550229,-0.042574,21.193241,21.356988
3.300000,0.516184,-0.013226,-0.043148,0.256812,0.000522,-0.003691,42.973846,-0.038319,21.413234,21.560613
3.333333,0.524782,-0.013580,-0.043265,0.259491,0.000513,-0.003529,43.399013,-0.034129,21.633874,21.765139
3.366667,0.533469,-0.013940,-0.043377,0.262182,0.000503,-0.003369,43.825694,-0.030004,21.855147,21.970547
3.400000,0.542246,-0.014305,-0.043485,0.264886,0.000493,-0.003212,44.253851,-0.025942,22.077038,22.176814
3.433333,0.551113,-0.014675,-0.043586,0.267602,0.000483,-0.003058,44.683448,-0.021941,22.299530,22.383918
3.466667,0.560071,-0.015050,-0.043683,0.270329,0.000473,-0.002906,45.114449,-0.018000,22.522610,22.591839
3.500000,0.569120,-0.015430,-0.043775,0.273068,0.000463,-0.002756,45.546817,-0.014117,22.746261,22.800556
3.533333,0.578260,-0.015816,-0.043862,0.275818,0.000453,-0.002609,45.980516,-0.010291,22.970468,23.010048
3.566667,0.587491,-0.016206,-0.043944,0.278580,0.000442,-0.002464,46.415511,-0.006520,23.195216,23.220294
3.600000,0.596815,-0.016602,-0.044022,0.281352,0.000432,-0.002321,46.851764,-0.002804,23.420490,23.431274
3.633333,0.606231,-0.017003,-0.044094,0.284134,0.000421,-0.002181,47.289242,0.000860,23.646274,23.642967
3.666667,0.615740,-0.017409,-0.044162,0.286927,0.000411,-0.002043,47.727907,0.004472,23.872554,23.855354
3.700000,0.625342,-0.017820,-0.044226,0.289730,0.000400,-0.001906,48.167725,0.008034,24.099313,24.068413
3.733333,0.635038,-0.018236,-0.044285,0.292542,0.000389,-0.001772,48.608661,0.011547,24.326536,24.282125
3.766667,0.644827,-0.018658,-0.044340,0.295364,0.000378,-0.001640,49.050680,0.015012,24.554210,24.496470
3.800000,0.654711,-0.019084,-0.044390,0.298196,0.000367,-0.001510,49.493746,0.018431,24.782317,24.711429
3.833333,0.664689,-0.019515,-0.044436,0.301037,0.000356,-0.001382,49.937825,0.021804,25.010843,24.926982
3.866667,0.674761,-0.019952,-0.044478,0.303886,0.000345,-0.001256,50.382883,0.025132,25.239773,25.143110
3.900000,0.684929,-0.020393,-0.044516,0.306744,0.000334,-0.001131,50.828885,0.028418,25.469092,25.359793
3.933333,0.695192,-0.020840,-0.044549,0.309610,0.000322,-0.001008,51.275796,0.031661,25.698784,25.577012
3.966667,0.705550,-0.021291,-0.044579,0.312485,0.000311,-0.000887,51.723583,0.034863,25.928835,25.794748
4.000000,0.716004,-0.021747,-0.044604,0.315367,0.000299,-0.000768,52.172212,0.038024,26.159229,26.012983
4.033333,0.726555,-0.022208,-0.044626,0.318257,0.000288,-0.000650,52.621649,0.041146,26.389952,26.231697
4.066667,0.737201,-0.022675,-0.044644,0.321154,0.000276,-0.000534,53.071860,0.044230,26.620988,26.450872
4.100000,0.747944,-0.023146,-0.044658,0.324059,0.000264,-0.000420,53.522812,0.047277,26.852323,26.670489
4.133333,0.758784,-0.023621,-0.044668,0.326971,0.000252,-0.000307,53.974471,0.050287,27.083941,26.890530
4.166667,0.769722,-0.024102,-0.044675,0.329889,0.000240,-0.000195,54.426805,0.053261,27.315828,27.110977
4.200000,0.780756,-0.024588,-0.044678,0.332814,0.000229,-0.000086,54.879780,0.056201,27.547969,27.331811
4.233333,0.791888,-0.025078,-0.044677,0.335745,0.000216,0.000023,55.333364,0.059107,27.780349,27.553015
4.266667,0.803117,-0.025573,-0.044672,0.338682,0.000204,0.000130,55.787524,0.061979,28.012953,27.774571
4.300000,0.814445,-0.026073,-0.044665,0.341625,0.000192,0.000236,56.242227,0.064820,28.245767,27.996460
4.333333,0.825870,-0.026577,-0.044653,0.344574,0.000180,0.000340,56.697441,0.067629,28.478775,28.218665
4.366667,0.837394,-0.027086,-0.044638,0.347528,0.000167,0.000444,57.153134,0.070407,28.711964,28.441169
4.400000,0.849016,-0.027600,-0.044620,0.350487,0.000155,0.000545,57.609273,0.073155,28.945319,28.663954
4.433333,0.860737,-0.028118,-0.044599,0.353451,0.000143,0.000646,58.065827,0.075874,29.178825,28.887003
4.466667,0.872557,-0.028641,-0.044574,0.356420,0.000130,0.000746,58.522765,0.078564,29.412467,29.110297
4.500000,0.884475,-0.029168,-0.044546,0.359393,0.000117,0.000844,58.980053,0.081227,29.646232,29.333822
4.533333,0.896493,-0.029700,-0.044514,0.362371,0.000105,0.000941,59.437662,0.083862,29.880104,29.557558
4.566667,0.908610,-0.030236,-0.044480,0.365352,0.000092,0.001037,59.895560,0.086471,30.114070,29.781490
4.600000,0.920826,-0.030777,-0.044442,0.368338,0.000079,0.001132,60.353715,0.089054,30.348115,30.005600
4.633333,0.933141,-0.031322,-0.044401,0.371327,0.000066,0.001226,60.812097,0.091612,30.582225,30.229872
4.666667,0.945557,-0.031871,-0.044357,0.374319,0.000053,0.001319,61.270675,0.094145,30.816385,30.454290
4.700000,0.958072,-0.032425,-0.044310,0.377315,0.000040,0.001411,61.729418,0.096654,31.050582,30.678836
4.733333,0.970687,-0.032983,-0.044260,0.380314,0.000027,0.001502,62.188296,0.099140,31.284802,30.903494
4.766667,0.983401,-0.033545,-0.044207,0.383315,0.000013,0.001592,62.647279,0.101603,31.519030,31.128249
4.800000,0.996216,-0.034111,-0.044151,0.386320,0.000000,0.001681,63.106335,0.104044,31.753252,31.353083
4.833333,1.009131,-0.034682,-0.044092,0.389326,-0.000013,0.001770,63.565436,0.106463,31.987455,31.577981
4.866667,1.022146,-0.035256,-0.044030,0.392335,-0.000027,0.001857,64.024552,0.108861,32.221624,31.802927
4.900000,1.035261,-0.035835,-0.043965,0.395345,-0.000040,0.001944,64.483652,0.111239,32.455746,32.027905
4.933333,1.048477,-0.036417,-0.043898,0.398358,-0.000054,0.002030,64.942707,0.113596,32.689808,32.252899
4.966667,1.061793,-0.037004,-0.043827,0.401372,-0.000068,0.002114,65.401688,0.115934,32.923794,32.477894
5.000000,1.075209,-0.037594,-0.043754,0.404387,-0.000081,0.002199,65.860565,0.118253,33.157692,32.702873
5.033333,1.088726,-0.038188,-0.043678,0.407403,-0.000095,0.002282,66.319310,0.120553,33.391488,32.927822
5.066667,1.102343,-0.038786,-0.043599,0.410421,-0.000109,0.002365,66.777894,0.122836,33.625169,33.152725
5.100000,1.116061,-0.039388,-0.043517,0.413439,-0.000123,0.002447,67.236287,0.125100,33.858721,33.377566
5.133333,1.129879,-0.039993,-0.043433,0.416457,-0.000137,0.002528,67.694461,0.127348,34.092130,33.602331
5.166667,1.143798,-0.040603,-0.043346,0.419476,-0.000151,0.002609,68.152388,0.129579,34.325384,33.827004
5.200000,1.157817,-0.041215,-0.043257,0.422495,-0.000166,0.002689,68.610040,0.131793,34.558469,34.051571
5.233333,1.171937,-0.041832,-0.043164,0.425514,-0.000180,0.002768,69.067387,0.133992,34.791371,34.276016
5.266667,1.186158,-0.042451,-0.043069,0.428533,-0.000194,0.002847,69.524403,0.136176,35.024078,34.500325
5.300000,1.200479,-0.043075,-0.042972,0.431552,-0.000209,0.002925,69.981060,0.138344,35.256577,34.724483
5.333333,1.214901,-0.043701,-0.042872,0.434569,-0.000223,0.003003,70.437329,0.140499,35.488854,34.948475
5.366667,1.229423,-0.044331,-0.042769,0.437586,-0.000238,0.003080,70.893184,0.142639,35.720897,35.172287
5.400000,1.244046,-0.044964,-0.042664,0.440602,-0.000252,0.003157,71.348597,0.144765,35.952692,35.395905
5.433333,1.258769,-0.045601,-0.042556,0.443617,-0.000267,0.003233,71.803540,0.146878,36.184227,35.619313
5.466667,1.273593,-0.046240,-0.042446,0.446630,-0.000282,0.003308,72.257988,0.148978,36.415489,35.842498
5.500000,1.288517,-0.046883,-0.042333,0.449642,-0.000297,0.003383,72.711912,0.151065,36.646466,36.065446
5.533333,1.303541,-0.047529,-0.042218,0.452652,-0.000312,0.003458,73.165286,0.153140,36.877144,36.288142
5.566667,1.318666,-0.048177,-0.042100,0.455660,-0.000327,0.003532,73.618084,0.155204,37.107511,36.510573
5.600000,1.333891,-0.048829,-0.041980,0.458666,-0.000342,0.003606,74.070279,0.157256,37.337554,36.732725
5.633333,1.349216,-0.049483,-0.041857,0.461669,-0.000358,0.003679,74.521845,0.159296,37.567262,36.954583
5.666667,1.364641,-0.050141,-0.041732,0.464670,-0.000373,0.003752,74.972755,0.161326,37.796621,37.176135
5.700000,1.380166,-0.050801,-0.041605,0.467668,-0.000388,0.003824,75.422985,0.163346,38.025619,37.397366
5.733333,1.395791,-0.051463,-0.041475,0.470664,-0.000404,0.003896,75.872508,0.165355,38.254245,37.618263
5.766667,1.411515,-0.052128,-0.041343,0.473656,-0.000419,0.003968,76.321298,0.167355,38.482485,37.838813
5.800000,1.427340,-0.052796,-0.041208,0.476646,-0.000435,0.004040,76.769331,0.169345,38.710329,38.059002
5.833333,1.443263,-0.053466,-0.041071,0.479631,-0.000451,0.004111,77.216580,0.171326,38.937763,38.278817
5.866667,1.459287,-0.054139,-0.040931,0.482614,-0.000467,0.004181,77.663020,0.173298,39.164776,38.498244
5.900000,1.475409,-0.054814,-0.040790,0.485592,-0.000483,0.004252,78.108627,0.175262,39.391356,38.717272
5.933333,1.491631,-0.055491,-0.040646,0.488567,-0.000499,0.004322,78.553376,0.177217,39.617490,38.935886
5.966667,1.507952,-0.056171,-0.040499,0.491537,-0.000515,0.004392,78.997242,0.179165,39.843169,39.154074
6.000000,1.524372,-0.056852,-0.040351,0.494503,-0.000531,0.004461,79.440201,0.181105,40.068378,39.371822
6.033333,1.540891,-0.057536,-0.040200,0.497465,-0.000547,0.004531,79.882227,0.183037,40.293108,39.589119
6.066667,1.557508,-0.058222,-0.040046,0.500422,-0.000564,0.004600,80.323298,0.184962,40.517346,39.805952
6.100000,1.574224,-0.058909,-0.039891,0.503375,-0.000580,0.004669,80.763389,0.186881,40.741081,40.022308
6.133333,1.591038,-0.059599,-0.039733,0.506322,-0.000597,0.004737,81.202475,0.188793,40.964302,40.238174
6.166667,1.607950,-0.060290,-0.039573,0.509264,-0.000613,0.004806,81.640534,0.190699,41.186996,40.453538
6.200000,1.624961,-0.060983,-0.039410,0.512201,-0.000630,0.004874,82.077542,0.192599,41.409154,40.668388
6.233333,1.642069,-0.061677,-0.039245,0.515133,-0.000647,0.004942,82.513475,0.194493,41.630763,40.882712
6.266667,1.659275,-0.062373,-0.039078,0.518059,-0.000664,0.005010,82.948310,0.196382,41.851813,41.096497
6.300000,1.676578,-0.063071,-0.038909,0.520979,-0.000681,0.005078,83.382024,0.198266,42.072293,41.309731
6.333333,1.693979,-0.063769,-0.038738,0.523893,-0.000698,0.005145,83.814594,0.200145,42.292190,41.522403
6.366667,1.711476,-0.064470,-0.038564,0.526801,-0.000715,0.005213,84.245997,0.202019,42.511496,41.734501
6.400000,1.729071,-0.065171,-0.038388,0.529703,-0.000733,0.005280,84.676210,0.203888,42.730198,41.946012
6.433333,1.746762,-0.065874,-0.038210,0.532599,-0.000750,0.005347,85.105212,0.205754,42.948287,42.156925
6.466667,1.764549,-0.066577,-0.038029,0.535487,-0.000768,0.005414,85.532979,0.207616,43.165750,42.367229
6.500000,1.782433,-0.067282,-0.037846,0.538370,-0.000785,0.005481,85.959490,0.209473,43.382579,42.576911
6.533333,1.800413,-0.067988,-0.037662,0.541245,-0.000803,0.005548,86.384723,0.211328,43.598761,42.785961
6.566667,1.818488,-0.068694,-0.037474,0.544113,-0.000821,0.005614,86.808655,0.213179,43.814288,42.994368
6.600000,1.836660,-0.069401,-0.037285,0.546974,-0.000839,0.005681,87.231266,0.215028,44.029147,43.202118
6.633333,1.854926,-0.070109,-0.037093,0.549828,-0.000857,0.005748,87.652533,0.216873,44.243330,43.409203
6.666667,1.873287,-0.070818,-0.036900,0.552674,-0.000875,0.005814,88.072435,0.218716,44.456825,43.615609
6.700000,1.891744,-0.071527,-0.036704,0.555512,-0.000893,0.005881,88.490951,0.220557,44.669623,43.821327
6.733333,1.910294,-0.072236,-0.036505,0.558343,-0.000911,0.005947,88.908060,0.222396,44.881714,44.026346
6.766667,1.928939,-0.072946,-0.036305,0.561166,-0.000930,0.006014,89.323740,0.224233,45.093087,44.230654
6.800000,1.947678,-0.073656,-0.036102,0.563981,-0.000948,0.006080,89.737972,0.226068,45.303732,44.434240
6.833333,1.966511,-0.074366,-0.035897,0.566787,-0.000967,0.006146,90.150735,0.227902,45.513640,44.637095
6.866667,1.985437,-0.075077,-0.035690,0.569585,-0.000986,0.006213,90.562008,0.229735,45.722801,44.839207
6.900000,2.004457,-0.075787,-0.035481,0.572375,-0.001005,0.006279,90.971771,0.231566,45.931205,45.040566
6.933333,2.023569,-0.076497,-0.035269,0.575156,-0.001024,0.006346,91.380004,0.233397,46.138843,45.241161
6.966667,2.042774,-0.077207,-0.035056,0.577928,-0.001043,0.006412,91.786686,0.235228,46.345705,45.440982
7.000000,2.062072,-0.077917,-0.034840,0.580691,-0.001062,0.006479,92.191799,0.237058,46.551781,45.640019
7.033333,2.081461,-0.078626,-0.034622,0.583445,-0.001081,0.006545,92.595322,0.238888,46.757062,45.838261
7.066667,2.100942,-0.079335,-0.034401,0.586190,-0.001101,0.006612,92.997237,0.240718,46.961538,46.035698
7.100000,2.120514,-0.080044,-0.034179,0.588925,-0.001120,0.006678,93.397522,0.242549,47.165202,46.232321
7.133333,2.140178,-0.080752,-0.033954,0.591651,-0.001140,0.006745,93.796161,0.244380,47.368042,46.428119
7.166667,2.159932,-0.081459,-0.033727,0.594367,-0.001160,0.006812,94.193132,0.246212,47.570050,46.623082
7.200000,2.179777,-0.082165,-0.033497,0.597074,-0.001180,0.006878,94.588419,0.248045,47.771218,46.817201
7.233333,2.199712,-0.082870,-0.033266,0.599770,-0.001200,0.006945,94.982001,0.249878,47.971536,47.010465
7.266667,2.219737,-0.083575,-0.033032,0.602457,-0.001220,0.007012,95.373861,0.251714,48.170995,47.202866
7.300000,2.239851,-0.084278,-0.032796,0.605133,-0.001240,0.007079,95.763979,0.253550,48.369587,47.394393
7.333333,2.260055,-0.084980,-0.032558,0.607799,-0.001260,0.007146,96.152339,0.255389,48.567302,47.585037
7.366667,2.280347,-0.085681,-0.032318,0.610455,-0.001281,0.007214,96.538921,0.257229,48.764132,47.774789
7.400000,2.300728,-0.086381,-0.032075,0.613100,-0.001301,0.007281,96.923709,0.259072,48.960069,47.963639
7.433333,2.321196,-0.087079,-0.031830,0.615734,-0.001322,0.007349,97.306683,0.260917,49.155105,48.151578
7.466667,2.341753,-0.087775,-0.031583,0.618358,-0.001343,0.007416,97.687827,0.262764,49.349229,48.338597
7.500000,2.362397,-0.088470,-0.031333,0.620970,-0.001364,0.007484,98.067123,0.264614,49.542435,48.524687
7.533333,2.383128,-0.089163,-0.031081,0.623572,-0.001385,0.007552,98.444553,0.266468,49.734714,48.709839
7.566667,2.403945,-0.089854,-0.030827,0.626162,-0.001406,0.007620,98.820102,0.268324,49.926058,48.894044
7.600000,2.424849,-0.090543,-0.030571,0.628741,-0.001427,0.007689,99.193751,0.270183,50.116459,49.077292
7.633333,2.445839,-0.091230,-0.030313,0.631309,-0.001449,0.007757,99.565485,0.272047,50.305909,49.259576
7.666667,2.466914,-0.091915,-0.030052,0.633865,-0.001470,0.007826,99.935285,0.273914,50.494399,49.440886
7.700000,2.488074,-0.092598,-0.029789,0.636409,-0.001492,0.007895,100.303137,0.275784,50.681923,49.621214
7.733333,2.509319,-0.093278,-0.029523,0.638941,-0.001514,0.007964,100.669023,0.277659,50.868472,49.800551
7.766667,2.530648,-0.093956,-0.029255,0.641462,-0.001536,0.008033,101.032928,0.279538,51.054038,49.978890
7.800000,2.552062,-0.094631,-0.028985,0.643971,-0.001558,0.008102,101.394835,0.281422,51.238614,50.156221
7.833333,2.573559,-0.095304,-0.028713,0.646467,-0.001580,0.008172,101.754728,0.283311,51.422192,50.332536
7.866667,2.595139,-0.095974,-0.028438,0.648951,-0.001603,0.008242,102.112593,0.285204,51.604766,50.507827
7.900000,2.616801,-0.096641,-0.028161,0.651423,-0.001625,0.008312,102.468413,0.287102,51.786326,50.682086
7.933333,2.638546,-0.097305,-0.027882,0.653882,-0.001648,0.008382,102.822172,0.289006,51.966867,50.855305
