t,x,y,psi,u,v,r,jerk_x,jerk_y,tau_u,tau_r,T1,T2
0.000000,0.000000,0.000000,0.000000,0.100000,-0.000000,-0.019897,0.038510,-0.003066,3.683546,-0.252445,0.703261,1.138511
0.033333,0.003334,-0.000000,-0.000670,0.100021,0.000065,-0.020307,0.038193,-0.003030,3.713088,-0.251607,0.711370,1.145174
0.066667,0.006669,-0.000000,-0.001354,0.100085,0.000129,-0.020695,0.037876,-0.002993,3.743957,-0.248488,0.721775,1.150203
0.100000,0.010006,-0.000001,-0.002050,0.100191,0.000190,-0.021041,0.037560,-0.002957,3.776140,-0.243021,0.734534,1.153536
0.133333,0.013348,-0.000001,-0.002756,0.100338,0.000250,-0.021345,0.037245,-0.002920,3.809626,-0.237434,0.747722,1.157091
0.166667,0.016696,-0.000002,-0.003473,0.100527,0.000307,-0.021609,0.036931,-0.002884,3.844403,-0.231755,0.761312,1.160889
0.200000,0.020051,-0.000004,-0.004197,0.100757,0.000363,-0.021834,0.036618,-0.002848,3.880459,-0.226010,0.775278,1.164951
0.233333,0.023414,-0.000006,-0.004928,0.101027,0.000417,-0.022022,0.036306,-0.002812,3.917781,-0.220224,0.789597,1.169293
0.266667,0.026786,-0.000009,-0.005665,0.101338,0.000469,-0.022173,0.035995,-0.002776,3.956357,-0.214419,0.804246,1.173933
0.300000,0.030170,-0.000013,-0.006407,0.101689,0.000518,-0.022290,0.035684,-0.002740,3.996176,-0.208615,0.819204,1.178884
0.333333,0.033566,-0.000018,-0.007151,0.102080,0.000566,-0.022374,0.035375,-0.002705,4.037226,-0.202831,0.834452,1.184161
0.366667,0.036976,-0.000024,-0.007898,0.102509,0.000612,-0.022426,0.035066,-0.002669,4.079495,-0.197083,0.849974,1.189773
0.400000,0.040401,-0.000032,-0.008646,0.102978,0.000657,-0.022448,0.034759,-0.002634,4.122971,-0.191387,0.865754,1.195731
0.433333,0.043842,-0.000040,-0.009395,0.103485,0.000699,-0.022441,0.034452,-0.002598,4.167641,-0.185755,0.881777,1.202044
0.466667,0.047300,-0.000050,-0.010142,0.104031,0.000740,-0.022408,0.034146,-0.002563,4.213496,-0.180198,0.898030,1.208717
0.500000,0.050778,-0.000061,-0.010889,0.104615,0.000779,-0.022348,0.033841,-0.002528,4.260521,-0.174728,0.914503,1.215758
0.533333,0.054275,-0.000074,-0.011632,0.105236,0.000816,-0.022265,0.033537,-0.002493,4.308707,-0.169352,0.931184,1.223169
0.566667,0.057794,-0.000088,-0.012373,0.105895,0.000851,-0.022159,0.033234,-0.002458,4.358041,-0.164077,0.948065,1.230956
0.600000,0.061335,-0.000105,-0.013110,0.106590,0.000885,-0.022032,0.032932,-0.002423,4.408511,-0.158909,0.965137,1.239119
0.633333,0.064901,-0.000123,-0.013842,0.107322,0.000917,-0.021885,0.032631,-0.002388,4.460106,-0.153854,0.982394,1.247659
0.666667,0.068491,-0.000142,-0.014569,0.108091,0.000947,-0.021720,0.032331,-0.002353,4.512815,-0.148915,0.999829,1.256579
0.700000,0.072107,-0.000164,-0.015290,0.108895,0.000976,-0.021538,0.032031,-0.002319,4.566625,-0.144095,1.017437,1.265876
0.733333,0.075751,-0.000188,-0.016004,0.109736,0.001003,-0.021340,0.031733,-0.002284,4.621525,-0.139395,1.035213,1.275550
0.766667,0.079423,-0.000215,-0.016712,0.110611,0.001029,-0.021127,0.031435,-0.002250,4.677504,-0.134818,1.053153,1.285598
0.800000,0.083126,-0.000243,-0.017413,0.111522,0.001053,-0.020901,0.031139,-0.002215,4.734549,-0.130364,1.071255,1.296020
0.833333,0.086859,-0.000274,-0.018106,0.112467,0.001076,-0.020664,0.030843,-0.002181,4.792651,-0.126032,1.089515,1.306810
0.866667,0.090624,-0.000307,-0.018790,0.113446,0.001097,-0.020415,0.030548,-0.002147,4.851796,-0.121821,1.107931,1.317968
0.900000,0.094422,-0.000343,-0.019467,0.114460,0.001118,-0.020156,0.030255,-0.002113,4.911975,-0.117732,1.126500,1.329487
0.933333,0.098255,-0.000381,-0.020134,0.115507,0.001136,-0.019888,0.029962,-0.002079,4.973174,-0.113763,1.145222,1.341365
0.966667,0.102123,-0.000422,-0.020793,0.116587,0.001154,-0.019612,0.029669,-0.002045,5.035384,-0.109910,1.164096,1.353596
1.000000,0.106028,-0.000466,-0.021442,0.117701,0.001170,-0.019329,0.029378,-0.002012,5.098593,-0.106174,1.183119,1.366177
1.033333,0.109970,-0.000513,-0.022081,0.118847,0.001185,-0.019040,0.029088,-0.001978,5.162789,-0.102550,1.202292,1.379103
1.066667,0.113951,-0.000562,-0.022711,0.120026,0.001199,-0.018745,0.028799,-0.001945,5.227962,-0.099037,1.221614,1.392367
1.100000,0.117972,-0.000614,-0.023331,0.121237,0.001212,-0.018445,0.028510,-0.001911,5.294100,-0.095632,1.241083,1.405966
1.133333,0.122033,-0.000670,-0.023941,0.122479,0.001224,-0.018142,0.028223,-0.001878,5.361191,-0.092332,1.260701,1.419894
1.166667,0.126137,-0.000728,-0.024540,0.123753,0.001234,-0.017835,0.027936,-0.001845,5.429226,-0.089134,1.280467,1.434146
1.200000,0.130283,-0.000790,-0.025130,0.125058,0.001244,-0.017525,0.027651,-0.001812,5.498192,-0.086034,1.300381,1.448716
1.233333,0.134474,-0.000855,-0.025709,0.126394,0.001253,-0.017214,0.027366,-0.001779,5.568080,-0.083031,1.320442,1.463598
1.266667,0.138709,-0.000923,-0.026277,0.127761,0.001260,-0.016901,0.027082,-0.001746,5.638876,-0.080120,1.340650,1.478788
1.300000,0.142991,-0.000995,-0.026835,0.129157,0.001267,-0.016586,0.026799,-0.001713,5.710572,-0.077299,1.361006,1.494280
1.333333,0.147319,-0.001070,-0.027383,0.130584,0.001273,-0.016271,0.026517,-0.001680,5.783155,-0.074565,1.381509,1.510069
1.366667,0.151696,-0.001148,-0.027920,0.132040,0.001278,-0.015956,0.026236,-0.001648,5.856615,-0.071914,1.402159,1.526148
1.400000,0.156121,-0.001230,-0.028447,0.133525,0.001282,-0.015642,0.025956,-0.001615,5.930941,-0.069343,1.422956,1.542514
1.433333,0.160597,-0.001316,-0.028963,0.135039,0.001285,-0.015328,0.025677,-0.001583,6.006122,-0.066851,1.443901,1.559160
1.466667,0.165123,-0.001405,-0.029469,0.136582,0.001288,-0.015015,0.025399,-0.001551,6.082148,-0.064433,1.464991,1.576082
1.500000,0.169701,-0.001499,-0.029964,0.138153,0.001290,-0.014703,0.025121,-0.001518,6.159007,-0.062086,1.486229,1.593274
1.533333,0.174332,-0.001595,-0.030449,0.139752,0.001291,-0.014393,0.024845,-0.001486,6.236688,-0.059809,1.507612,1.610732
1.566667,0.179016,-0.001696,-0.030923,0.141379,0.001291,-0.014084,0.024569,-0.001454,6.315182,-0.057599,1.529142,1.628450
1.600000,0.183756,-0.001801,-0.031388,0.143033,0.001291,-0.013778,0.024294,-0.001422,6.394477,-0.055452,1.550816,1.646423
1.633333,0.188550,-0.001909,-0.031842,0.144714,0.001290,-0.013474,0.024021,-0.001391,6.474563,-0.053366,1.572636,1.664646
1.666667,0.193401,-0.002022,-0.032286,0.146422,0.001288,-0.013173,0.023748,-0.001359,6.555430,-0.051339,1.594599,1.683115
1.700000,0.198310,-0.002139,-0.032720,0.148157,0.001286,-0.012874,0.023476,-0.001327,6.637066,-0.049369,1.616707,1.701826
1.733333,0.203276,-0.002260,-0.033144,0.149917,0.001283,-0.012578,0.023205,-0.001296,6.719461,-0.047453,1.638958,1.720773
1.766667,0.208302,-0.002384,-0.033559,0.151704,0.001280,-0.012286,0.022935,-0.001264,6.802605,-0.045589,1.661351,1.739952
1.800000,0.213387,-0.002514,-0.033963,0.153516,0.001276,-0.011996,0.022666,-0.001233,6.886487,-0.043774,1.683885,1.759358
1.833333,0.218533,-0.002647,-0.034358,0.155353,0.001271,-0.011709,0.022397,-0.001202,6.971096,-0.042008,1.706560,1.778988
1.866667,0.223741,-0.002785,-0.034744,0.157215,0.001266,-0.011426,0.022130,-0.001171,7.056424,-0.040288,1.729375,1.798837
1.900000,0.229011,-0.002927,-0.035120,0.159102,0.001261,-0.011147,0.021864,-0.001140,7.142458,-0.038612,1.752329,1.818900
1.933333,0.234345,-0.003073,-0.035487,0.161013,0.001255,-0.010870,0.021598,-0.001109,7.229189,-0.036978,1.775420,1.839175
1.966667,0.239742,-0.003224,-0.035845,0.162949,0.001248,-0.010598,0.021334,-0.001078,7.316607,-0.035385,1.798648,1.859656
2.000000,0.245204,-0.003379,-0.036194,0.164908,0.001242,-0.010329,0.021070,-0.001047,7.404701,-0.033830,1.822011,1.880339
2.033333,0.250732,-0.003539,-0.036533,0.166890,0.001234,-0.010063,0.020807,-0.001017,7.493462,-0.032314,1.845509,1.901222
2.066667,0.256326,-0.003703,-0.036864,0.168896,0.001227,-0.009801,0.020545,-0.000986,7.582878,-0.030833,1.869140,1.922299
2.100000,0.261987,-0.003872,-0.037187,0.170925,0.001219,-0.009543,0.020284,-0.000956,7.672941,-0.029386,1.892902,1.943568
2.133333,0.267716,-0.004046,-0.037501,0.172976,0.001210,-0.009289,0.020024,-0.000926,7.763639,-0.027973,1.916795,1.965024
2.166667,0.273514,-0.004224,-0.037806,0.175049,0.001201,-0.009038,0.019765,-0.000896,7.854963,-0.026592,1.940817,1.986665
2.200000,0.279381,-0.004407,-0.038103,0.177145,0.001192,-0.008791,0.019507,-0.000865,7.946903,-0.025241,1.964966,2.008485
2.233333,0.285319,-0.004595,-0.038392,0.179262,0.001183,-0.008547,0.019250,-0.000835,8.039449,-0.023920,1.989242,2.030483
2.266667,0.291327,-0.004787,-0.038673,0.181401,0.001173,-0.008308,0.018993,-0.000806,8.132591,-0.022626,2.013642,2.052653
2.300000,0.297406,-0.004984,-0.038946,0.183561,0.001162,-0.008071,0.018738,-0.000776,8.226319,-0.021360,2.038165,2.074994
2.333333,0.303558,-0.005186,-0.039211,0.185742,0.001152,-0.007839,0.018483,-0.000746,8.320623,-0.020121,2.062810,2.097501
2.366667,0.309783,-0.005393,-0.039469,0.187943,0.001141,-0.007610,0.018230,-0.000717,8.415494,-0.018906,2.087575,2.120172
2.400000,0.316081,-0.005604,-0.039718,0.190165,0.001130,-0.007385,0.017977,-0.000687,8.510921,-0.017716,2.112458,2.143002
2.433333,0.322454,-0.005821,-0.039961,0.192406,0.001119,-0.007163,0.017725,-0.000658,8.606896,-0.016548,2.137458,2.165990
2.466667,0.328901,-0.006042,-0.040196,0.194667,0.001107,-0.006945,0.017474,-0.000628,8.703408,-0.015404,2.162573,2.189131
2.500000,0.335424,-0.006269,-0.040424,0.196948,0.001095,-0.006730,0.017224,-0.000599,8.800447,-0.014280,2.187801,2.212423
2.533333,0.342023,-0.006500,-0.040645,0.199248,0.001083,-0.006519,0.016975,-0.000570,8.898005,-0.013178,2.213141,2.235862
2.566667,0.348699,-0.006736,-0.040858,0.201567,0.001070,-0.006311,0.016727,-0.000541,8.996071,-0.012096,2.238590,2.259445
2.600000,0.355453,-0.006978,-0.041065,0.203905,0.001057,-0.006107,0.016480,-0.000512,9.094636,-0.011033,2.264148,2.283170
2.633333,0.362285,-0.007224,-0.041266,0.206260,0.001044,-0.005906,0.016234,-0.000483,9.193690,-0.009989,2.289812,2.307033
2.666667,0.369195,-0.007475,-0.041459,0.208634,0.001031,-0.005708,0.015988,-0.000455,9.293224,-0.008962,2.315580,2.331032
2.700000,0.376185,-0.007732,-0.041646,0.211026,0.001018,-0.005513,0.015744,-0.000426,9.393229,-0.007953,2.341451,2.355164
2.733333,0.383254,-0.007993,-0.041827,0.213435,0.001004,-0.005321,0.015500,-0.000398,9.493695,-0.006961,2.367423,2.379425
2.766667,0.390404,-0.008260,-0.042001,0.215862,0.000990,-0.005133,0.015258,-0.000369,9.594613,-0.005985,2.393494,2.403813
2.800000,0.397635,-0.008532,-0.042169,0.218305,0.000976,-0.004948,0.015016,-0.000341,9.695974,-0.005025,2.419662,2.428325
2.833333,0.404948,-0.008808,-0.042331,0.220765,0.000962,-0.004765,0.014775,-0.000313,9.797768,-0.004079,2.445925,2.452959
2.866667,0.412343,-0.009090,-0.042487,0.223242,0.000947,-0.004586,0.014535,-0.000285,9.899986,-0.003149,2.472282,2.477711
2.900000,0.419820,-0.009377,-0.042636,0.225735,0.000933,-0.004409,0.014296,-0.000257,10.002618,-0.002232,2.498730,2.502579
2.933333,0.427381,-0.009670,-0.042780,0.228243,0.000918,-0.004236,0.014058,-0.000229,10.105657,-0.001329,2.525269,2.527560
2.966667,0.435025,-0.009967,-0.042919,0.230767,0.000903,-0.004065,0.013821,-0.000201,10.209092,-0.000439,2.551895,2.552651
3.000000,0.442754,-0.010270,-0.043051,0.233307,0.000888,-0.003897,0.013585,-0.000173,10.312914,0.000438,2.578606,2.577851
3.033333,0.450567,-0.010577,-0.043179,0.235862,0.000872,-0.003731,0.013349,-0.000146,10.417115,0.001303,2.605402,2.603156
3.066667,0.458466,-0.010890,-0.043300,0.238431,0.000857,-0.003568,0.013115,-0.000118,10.521686,0.002156,2.632280,2.628563
3.100000,0.466451,-0.011208,-0.043416,0.241015,0.000841,-0.003408,0.012882,-0.000091,10.626617,0.002998,2.659238,2.654070
3.133333,0.474521,-0.011532,-0.043527,0.243614,0.000825,-0.003251,0.012649,-0.000064,10.731900,0.003828,2.686275,2.679675
3.166667,0.482679,-0.011860,-0.043633,0.246226,0.000809,-0.003095,0.012417,-0.000037,10.837525,0.004647,2.713388,2.705375
3.200000,0.490923,-0.012194,-0.043734,0.248853,0.000793,-0.002943,0.012187,-0.000009,10.943484,0.005456,2.740575,2.731167
3.233333,0.499255,-0.012533,-0.043829,0.251492,0.000776,-0.002792,0.011957,0.000018,11.049768,0.006255,2.767835,2.757049
3.266667,0.507676,-0.012877,-0.043920,0.254146,0.000760,-0.002644,0.011728,0.000044,11.156369,0.007045,2.795165,2.783019
3.300000,0.516184,-0.013226,-0.044006,0.256812,0.000743,-0.002499,0.011500,0.000071,11.263277,0.007824,2.822564,2.809074
3.333333,0.524782,-0.013580,-0.044086,0.259491,0.000726,-0.002355,0.011273,0.000098,11.370484,0.008595,2.850030,2.835212
3.366667,0.533469,-0.013940,-0.044163,0.262182,0.000709,-0.002214,0.011047,0.000124,11.477981,0.009356,2.877561,2.861429
3.400000,0.542246,-0.014305,-0.044234,0.264886,0.000692,-0.002075,0.010821,0.000151,11.585760,0.010109,2.905155,2.887725
3.433333,0.551113,-0.014675,-0.044301,0.267601,0.000674,-0.001937,0.010597,0.000177,11.693811,0.010854,2.932810,2.914096
3.466667,0.560071,-0.015050,-0.044363,0.270329,0.000657,-0.001802,0.010374,0.000204,11.802128,0.011590,2.960524,2.940540
3.500000,0.569120,-0.015430,-0.044421,0.273068,0.000639,-0.001669,0.010151,0.000230,11.910700,0.012319,2.988295,2.967055
3.533333,0.578260,-0.015816,-0.044475,0.275818,0.000622,-0.001538,0.009929,0.000256,12.019519,0.013040,3.016121,2.993638
3.566667,0.587491,-0.016206,-0.044524,0.278579,0.000604,-0.001409,0.009709,0.000282,12.128578,0.013754,3.044001,3.020288
3.600000,0.596815,-0.016602,-0.044568,0.281351,0.000586,-0.001282,0.009489,0.000308,12.237867,0.014460,3.071933,3.047001
3.633333,0.606231,-0.017003,-0.044609,0.284134,0.000568,-0.001157,0.009270,0.000333,12.347379,0.015160,3.099914,3.073776
3.666667,0.615740,-0.017409,-0.044646,0.286927,0.000549,-0.001033,0.009052,0.000359,12.457105,0.015853,3.127943,3.100610
3.700000,0.625342,-0.017820,-0.044678,0.289729,0.000531,-0.000911,0.008835,0.000385,12.567036,0.016539,3.156017,3.127501
3.733333,0.635038,-0.018236,-0.044706,0.292542,0.000512,-0.000791,0.008619,0.000410,12.677165,0.017220,3.184136,3.154447
3.766667,0.644827,-0.018658,-0.044731,0.295364,0.000494,-0.000672,0.008404,0.000436,12.787483,0.017894,3.212296,3.181445
3.800000,0.654711,-0.019084,-0.044751,0.298196,0.000475,-0.000555,0.008190,0.000461,12.897983,0.018562,3.240497,3.208494
3.833333,0.664689,-0.019515,-0.044768,0.301036,0.000456,-0.000440,0.007976,0.000486,13.008655,0.019224,3.268736,3.235591
3.866667,0.674761,-0.019952,-0.044780,0.303886,0.000437,-0.000326,0.007764,0.000511,13.119492,0.019881,3.297012,3.262734
3.900000,0.684929,-0.020393,-0.044789,0.306744,0.000418,-0.000214,0.007552,0.000536,13.230487,0.020533,3.325322,3.289921
3.933333,0.695192,-0.020840,-0.044795,0.309610,0.000398,-0.000103,0.007342,0.000561,13.341630,0.021179,3.353665,3.317150
3.966667,0.705550,-0.021291,-0.044796,0.312485,0.000379,0.000007,0.007132,0.000586,13.452914,0.021820,3.382039,3.344418
4.000000,0.716004,-0.021747,-0.044794,0.315367,0.000359,0.000115,0.006923,0.000610,13.564331,0.022457,3.410442,3.371724
4.033333,0.726555,-0.022208,-0.044789,0.318257,0.000339,0.000221,0.006715,0.000635,13.675873,0.023088,3.438872,3.399064
4.066667,0.737201,-0.022675,-0.044780,0.321154,0.000320,0.000326,0.006508,0.000659,13.787532,0.023715,3.467327,3.426439
4.100000,0.747944,-0.023146,-0.044767,0.324059,0.000300,0.000430,0.006302,0.000684,13.899301,0.024338,3.495806,3.453844
4.133333,0.758784,-0.023621,-0.044751,0.326971,0.000279,0.000533,0.006097,0.000708,14.011171,0.024957,3.524307,3.481278
4.166667,0.769722,-0.024102,-0.044731,0.329889,0.000259,0.000635,0.005893,0.000732,14.123135,0.025571,3.552828,3.508740
4.200000,0.780756,-0.024588,-0.044708,0.332814,0.000239,0.000735,0.005690,0.000756,14.235186,0.026181,3.581366,3.536226
4.233333,0.791888,-0.025078,-0.044682,0.335745,0.000218,0.000834,0.005487,0.000780,14.347315,0.026788,3.609922,3.563736
4.266667,0.803117,-0.025573,-0.044653,0.338682,0.000198,0.000932,0.005286,0.000804,14.459514,0.027391,3.638491,3.591266
4.300000,0.814445,-0.026073,-0.044620,0.341625,0.000177,0.001029,0.005085,0.000828,14.571778,0.027990,3.667074,3.618815
4.333333,0.825870,-0.026577,-0.044584,0.344574,0.000156,0.001125,0.004886,0.000852,14.684096,0.028586,3.695667,3.646381
4.366667,0.837394,-0.027086,-0.044545,0.347528,0.000135,0.001219,0.004687,0.000875,14.796464,0.029178,3.724269,3.673962
4.400000,0.849016,-0.027600,-0.044503,0.350487,0.000114,0.001313,0.004489,0.000899,14.908871,0.029767,3.752879,3.701557
4.433333,0.860737,-0.028118,-0.044458,0.353451,0.000093,0.001406,0.004292,0.000922,15.021313,0.030353,3.781495,3.729162
4.466667,0.872557,-0.028641,-0.044409,0.356420,0.000071,0.001498,0.004096,0.000945,15.133780,0.030936,3.810114,3.756776
4.500000,0.884475,-0.029168,-0.044358,0.359393,0.000050,0.001588,0.003901,0.000968,15.246266,0.031517,3.838736,3.784397
4.533333,0.896493,-0.029700,-0.044303,0.362371,0.000028,0.001678,0.003707,0.000992,15.358763,0.032094,3.867358,3.812023
4.566667,0.908610,-0.030236,-0.044246,0.365352,0.000006,0.001767,0.003514,0.001014,15.471264,0.032669,3.895979,3.839653
4.600000,0.920826,-0.030777,-0.044186,0.368338,-0.000016,0.001855,0.003321,0.001037,15.583762,0.033241,3.924597,3.867284
4.633333,0.933141,-0.031322,-0.044122,0.371327,-0.000038,0.001942,0.003130,0.001060,15.696249,0.033811,3.953210,3.894915
4.666667,0.945557,-0.031871,-0.044056,0.374319,-0.000060,0.002029,0.002940,0.001083,15.808718,0.034379,3.981816,3.922543
4.700000,0.958072,-0.032425,-0.043987,0.377315,-0.000082,0.002114,0.002750,0.001105,15.921163,0.034944,4.010415,3.950167
4.733333,0.970687,-0.032983,-0.043915,0.380314,-0.000105,0.002199,0.002561,0.001128,16.033576,0.035507,4.039004,3.977784
4.766667,0.983401,-0.033545,-0.043840,0.383315,-0.000127,0.002283,0.002374,0.001150,16.145950,0.036068,4.067581,4.005394
4.800000,0.996216,-0.034111,-0.043763,0.386320,-0.000150,0.002367,0.002187,0.001172,16.258278,0.036628,4.096145,4.032994
4.833333,1.009131,-0.034682,-0.043683,0.389326,-0.000173,0.002449,0.002001,0.001195,16.370553,0.037185,4.124694,4.060582
4.866667,1.022146,-0.035256,-0.043600,0.392335,-0.000196,0.002531,0.001816,0.001217,16.482769,0.037741,4.153227,4.088157
4.900000,1.035261,-0.035835,-0.043514,0.395345,-0.000219,0.002612,0.001632,0.001239,16.594917,0.038295,4.181742,4.115717
4.933333,1.048477,-0.036417,-0.043425,0.398358,-0.000242,0.002693,0.001449,0.001261,16.706992,0.038847,4.210237,4.143259
4.966667,1.061793,-0.037004,-0.043334,0.401371,-0.000265,0.002773,0.001266,0.001282,16.818987,0.039398,4.238710,4.170783
5.000000,1.075209,-0.037594,-0.043241,0.404387,-0.000289,0.002852,0.001085,0.001304,16.930894,0.039947,4.267161,4.198286
5.033333,1.088726,-0.038188,-0.043144,0.407403,-0.000313,0.002931,0.000905,0.001326,17.042707,0.040495,4.295587,4.225767
5.066667,1.102343,-0.038786,-0.043045,0.410420,-0.000336,0.003009,0.000725,0.001347,17.154420,0.041042,4.323986,4.253224
5.100000,1.116061,-0.039388,-0.042944,0.413438,-0.000360,0.003087,0.000546,0.001368,17.266025,0.041588,4.352358,4.280654
5.133333,1.129879,-0.039993,-0.042839,0.416457,-0.000384,0.003164,0.000369,0.001390,17.377516,0.042133,4.380700,4.308058
5.166667,1.143798,-0.040603,-0.042733,0.419476,-0.000409,0.003240,0.000192,0.001411,17.488886,0.042676,4.409012,4.335432
5.200000,1.157817,-0.041215,-0.042623,0.422495,-0.000433,0.003316,0.000016,0.001432,17.600130,0.043219,4.437290,4.362774
5.233333,1.171937,-0.041832,-0.042512,0.425514,-0.000458,0.003392,-0.000159,0.001453,17.711240,0.043761,4.465535,4.390085
5.266667,1.186158,-0.042451,-0.042397,0.428533,-0.000482,0.003467,-0.000333,0.001474,17.822209,0.044302,4.493744,4.417361
5.300000,1.200479,-0.043075,-0.042280,0.431551,-0.000507,0.003541,-0.000506,0.001494,17.933032,0.044843,4.521916,4.444600
5.333333,1.214901,-0.043701,-0.042161,0.434569,-0.000532,0.003616,-0.000678,0.001515,18.043702,0.045383,4.550048,4.471802
5.366667,1.229423,-0.044331,-0.042039,0.437586,-0.000557,0.003689,-0.000849,0.001536,18.154212,0.045922,4.578141,4.498965
5.400000,1.244046,-0.044964,-0.041915,0.440602,-0.000582,0.003763,-0.001020,0.001556,18.264557,0.046461,4.606192,4.526087
5.433333,1.258769,-0.045601,-0.041789,0.443616,-0.000608,0.003835,-0.001189,0.001577,18.374730,0.046999,4.634199,4.553166
5.466667,1.273593,-0.046240,-0.041660,0.446630,-0.000633,0.003908,-0.001358,0.001597,18.484724,0.047538,4.662162,4.580200
5.500000,1.288517,-0.046883,-0.041528,0.449641,-0.000659,0.003980,-0.001525,0.001617,18.594534,0.048075,4.690078,4.607189
5.533333,1.303541,-0.047529,-0.041394,0.452651,-0.000685,0.004052,-0.001692,0.001637,18.704154,0.048613,4.717946,4.634131
5.566667,1.318666,-0.048177,-0.041258,0.455659,-0.000711,0.004123,-0.001858,0.001657,18.813576,0.049151,4.745765,4.661023
5.600000,1.333891,-0.048829,-0.041119,0.458665,-0.000737,0.004195,-0.002023,0.001677,18.922796,0.049688,4.773534,4.687864
5.633333,1.349216,-0.049483,-0.040978,0.461669,-0.000763,0.004265,-0.002187,0.001697,19.031807,0.050226,4.801250,4.714654
5.666667,1.364641,-0.050141,-0.040835,0.464670,-0.000790,0.004336,-0.002350,0.001716,19.140602,0.050763,4.828912,4.741389
5.700000,1.380166,-0.050801,-0.040689,0.467668,-0.000816,0.004406,-0.002512,0.001736,19.249177,0.051301,4.856519,4.768069
5.733333,1.395791,-0.051463,-0.040541,0.470663,-0.000843,0.004476,-0.002673,0.001755,19.357525,0.051839,4.884070,4.794693
5.766667,1.411515,-0.052128,-0.040391,0.473656,-0.000870,0.004546,-0.002833,0.001775,19.465640,0.052377,4.911563,4.821257
5.800000,1.427340,-0.052796,-0.040238,0.476645,-0.000897,0.004615,-0.002993,0.001794,19.573516,0.052916,4.938996,4.847762
5.833333,1.443263,-0.053466,-0.040083,0.479631,-0.000925,0.004684,-0.003151,0.001813,19.681148,0.053454,4.966368,4.874206
5.866667,1.459287,-0.054139,-0.039926,0.482613,-0.000952,0.004753,-0.003309,0.001832,19.788529,0.053994,4.993679,4.900586
5.900000,1.475409,-0.054814,-0.039766,0.485591,-0.000980,0.004822,-0.003465,0.001851,19.895655,0.054534,5.020925,4.926902
5.933333,1.491631,-0.055491,-0.039604,0.488566,-0.001007,0.004891,-0.003621,0.001870,20.002518,0.055074,5.048107,4.953152
5.966667,1.507952,-0.056171,-0.039440,0.491536,-0.001035,0.004959,-0.003776,0.001889,20.109114,0.055615,5.075223,4.979334
6.000000,1.524372,-0.056852,-0.039274,0.494502,-0.001064,0.005027,-0.003930,0.001907,20.215437,0.056157,5.102270,5.005448
6.033333,1.540891,-0.057536,-0.039105,0.497464,-0.001092,0.005095,-0.004083,0.001926,20.321481,0.056699,5.129249,5.031491
6.066667,1.557508,-0.058222,-0.038934,0.500421,-0.001120,0.005163,-0.004235,0.001944,20.427241,0.057243,5.156158,5.057463
6.100000,1.574224,-0.058909,-0.038761,0.503374,-0.001149,0.005231,-0.004386,0.001963,20.532711,0.057787,5.182994,5.083361
6.133333,1.591038,-0.059599,-0.038585,0.506321,-0.001178,0.005298,-0.004536,0.001981,20.637886,0.058332,5.209758,5.109185
6.166667,1.607950,-0.060290,-0.038408,0.509263,-0.001207,0.005366,-0.004685,0.001999,20.742760,0.058878,5.236447,5.134933
6.200000,1.624961,-0.060983,-0.038228,0.512200,-0.001236,0.005433,-0.004834,0.002017,20.847328,0.059425,5.263061,5.160603
6.233333,1.642069,-0.061677,-0.038045,0.515132,-0.001265,0.005500,-0.004981,0.002035,20.951584,0.059973,5.289597,5.186195
6.266667,1.659275,-0.062373,-0.037861,0.518058,-0.001295,0.005568,-0.005128,0.002053,21.055523,0.060523,5.316056,5.211706
6.300000,1.676578,-0.063071,-0.037674,0.520978,-0.001324,0.005635,-0.005274,0.002071,21.159141,0.061073,5.342435,5.237136
6.333333,1.693979,-0.063769,-0.037485,0.523892,-0.001354,0.005702,-0.005418,0.002088,21.262430,0.061625,5.368733,5.262482
6.366667,1.711476,-0.064470,-0.037294,0.526800,-0.001384,0.005769,-0.005562,0.002106,21.365387,0.062178,5.394949,5.287745
6.400000,1.729071,-0.065171,-0.037101,0.529702,-0.001414,0.005835,-0.005705,0.002123,21.468007,0.062733,5.421082,5.312922
6.433333,1.746762,-0.065874,-0.036905,0.532597,-0.001445,0.005902,-0.005847,0.002141,21.570283,0.063289,5.447130,5.338012
6.466667,1.764549,-0.066577,-0.036707,0.535486,-0.001475,0.005969,-0.005988,0.002158,21.672211,0.063846,5.473092,5.363013
6.500000,1.782433,-0.067282,-0.036507,0.538368,-0.001506,0.006036,-0.006128,0.002175,21.773786,0.064405,5.498968,5.387925
6.533333,1.800413,-0.067988,-0.036305,0.541243,-0.001537,0.006102,-0.006268,0.002192,21.875003,0.064965,5.524755,5.412746
6.566667,1.818488,-0.068694,-0.036100,0.544111,-0.001568,0.006169,-0.006406,0.002209,21.975856,0.065528,5.550453,5.437475
6.600000,1.836660,-0.069401,-0.035894,0.546972,-0.001600,0.006236,-0.006543,0.002226,22.076342,0.066091,5.576061,5.462110
6.633333,1.854926,-0.070109,-0.035685,0.549826,-0.001631,0.006302,-0.006680,0.002243,22.176454,0.066657,5.601576,5.486651
6.666667,1.873287,-0.070818,-0.035473,0.552672,-0.001663,0.006369,-0.006815,0.002260,22.276188,0.067224,5.626999,5.511095
6.700000,1.891744,-0.071527,-0.035260,0.555511,-0.001695,0.006436,-0.006950,0.002276,22.375540,0.067793,5.652328,5.535442
