t,x,y,psi,u,v,r,jerk_x,jerk_y,tau_u,tau_r,tau_v,T1,T2
0.000000,0.000000,0.000000,-0.030696,0.099953,0.003069,0.000000,0.036340,-0.002283,3.675027,0.000471,0.100000,1.838419,1.836608
0.033333,0.003334,-0.000000,-0.030696,0.099973,0.003068,-0.000000,0.036101,-0.002263,3.701315,0.000357,0.099103,1.851343,1.849972
0.066667,0.006668,-0.000000,-0.030696,0.100033,0.003067,-0.000001,0.035861,-0.002244,3.728911,0.000239,0.098173,1.864916,1.863995
0.100000,0.010006,-0.000000,-0.030696,0.100134,0.003063,-0.000003,0.035622,-0.002224,3.757805,0.000119,0.097210,1.879132,1.878673
0.133333,0.013348,-0.000001,-0.030696,0.100274,0.003059,-0.000004,0.035383,-0.002205,3.787988,-0.000004,0.096217,1.893987,1.894001
0.166667,0.016694,-0.000002,-0.030696,0.100453,0.003053,-0.000007,0.035143,-0.002186,3.819449,-0.000129,0.095192,1.909476,1.909973
0.200000,0.020048,-0.000003,-0.030696,0.100671,0.003046,-0.000010,0.034904,-0.002166,3.852179,-0.000257,0.094137,1.925594,1.926585
0.233333,0.023409,-0.000005,-0.030697,0.100928,0.003038,-0.000013,0.034664,-0.002147,3.886168,-0.000388,0.093052,1.942337,1.943831
0.266667,0.026780,-0.000007,-0.030697,0.101224,0.003029,-0.000017,0.034425,-0.002127,3.921406,-0.000521,0.091937,1.959700,1.961706
0.300000,0.030161,-0.000010,-0.030698,0.101558,0.003018,-0.000022,0.034185,-0.002108,3.957883,-0.000657,0.090793,1.977678,1.980205
0.333333,0.033554,-0.000014,-0.030699,0.101930,0.003007,-0.000027,0.033946,-0.002089,3.995590,-0.000795,0.089621,1.996266,1.999324
0.366667,0.036960,-0.000018,-0.030700,0.102340,0.002994,-0.000032,0.033706,-0.002069,4.034517,-0.000935,0.088421,2.015460,2.019056
0.400000,0.040380,-0.000024,-0.030701,0.102788,0.002980,-0.000038,0.033467,-0.002050,4.074653,-0.001077,0.087193,2.035255,2.039398
0.433333,0.043816,-0.000030,-0.030702,0.103272,0.002965,-0.000045,0.033227,-0.002030,4.115990,-0.001221,0.085939,2.055646,2.060343
0.466667,0.047268,-0.000038,-0.030704,0.103794,0.002949,-0.000051,0.032988,-0.002011,4.158517,-0.001367,0.084657,2.076629,2.081888
0.500000,0.050738,-0.000046,-0.030706,0.104352,0.002932,-0.000059,0.032748,-0.001992,4.202224,-0.001515,0.083350,2.098198,2.104026
0.533333,0.054228,-0.000056,-0.030708,0.104947,0.002914,-0.000066,0.032509,-0.001972,4.247102,-0.001665,0.082018,2.120350,2.126752
0.566667,0.057738,-0.000067,-0.030710,0.105578,0.002894,-0.000074,0.032269,-0.001953,4.293141,-0.001816,0.080661,2.143078,2.150063
0.600000,0.061269,-0.000079,-0.030713,0.106244,0.002874,-0.000083,0.032030,-0.001933,4.340331,-0.001969,0.079279,2.166380,2.173952
0.633333,0.064824,-0.000093,-0.030716,0.106947,0.002853,-0.000092,0.031790,-0.001914,4.388663,-0.002123,0.077874,2.190249,2.198414
0.666667,0.068402,-0.000108,-0.030719,0.107685,0.002830,-0.000101,0.031551,-0.001895,4.438126,-0.002279,0.076445,2.214681,2.223445
0.700000,0.072006,-0.000125,-0.030723,0.108458,0.002807,-0.000110,0.031311,-0.001875,4.488710,-0.002436,0.074994,2.239671,2.249039
0.733333,0.075635,-0.000143,-0.030726,0.109265,0.002783,-0.000120,0.031072,-0.001856,4.540407,-0.002594,0.073520,2.265215,2.275192
0.766667,0.079293,-0.000163,-0.030731,0.110108,0.002757,-0.000131,0.030832,-0.001836,4.593205,-0.002753,0.072025,2.291308,2.301897
0.800000,0.082978,-0.000185,-0.030735,0.110984,0.002731,-0.000141,0.030593,-0.001817,4.647096,-0.002914,0.070509,2.317945,2.329151
0.833333,0.086694,-0.000208,-0.030740,0.111895,0.002704,-0.000152,0.030353,-0.001798,4.702069,-0.003075,0.068972,2.345121,2.356948
0.866667,0.090440,-0.000234,-0.030745,0.112839,0.002676,-0.000164,0.030114,-0.001778,4.758115,-0.003237,0.067416,2.372832,2.385283
0.900000,0.094219,-0.000261,-0.030751,0.113817,0.002647,-0.000175,0.029874,-0.001759,4.815224,-0.003400,0.065840,2.401073,2.414151
0.933333,0.098031,-0.000291,-0.030757,0.114829,0.002617,-0.000187,0.029635,-0.001739,4.873386,-0.003564,0.064245,2.429839,2.443547
0.966667,0.101876,-0.000322,-0.030763,0.115873,0.002586,-0.000199,0.029395,-0.001720,4.932591,-0.003728,0.062631,2.459126,2.473465
1.000000,0.105757,-0.000356,-0.030770,0.116950,0.002555,-0.000212,0.029156,-0.001701,4.992829,-0.003893,0.061000,2.488928,2.503901
1.033333,0.109675,-0.000392,-0.030777,0.118059,0.002523,-0.000224,0.028916,-0.001681,5.054092,-0.004058,0.059352,2.519241,2.534850
1.066667,0.113630,-0.000430,-0.030785,0.119200,0.002489,-0.000237,0.028677,-0.001662,5.116368,-0.004224,0.057687,2.550061,2.566307
1.100000,0.117623,-0.000471,-0.030793,0.120374,0.002455,-0.000250,0.028437,-0.001642,5.179648,-0.004390,0.056007,2.581382,2.598266
1.133333,0.121656,-0.000514,-0.030802,0.121579,0.002421,-0.000264,0.028198,-0.001623,5.243922,-0.004556,0.054310,2.613199,2.630723
1.166667,0.125730,-0.000559,-0.030811,0.122815,0.002385,-0.000277,0.027958,-0.001604,5.309181,-0.004722,0.052599,2.645509,2.663672
1.200000,0.129845,-0.000607,-0.030820,0.124082,0.002349,-0.000291,0.027719,-0.001584,5.375415,-0.004889,0.050874,2.678306,2.697108
1.233333,0.134003,-0.000658,-0.030830,0.125381,0.002312,-0.000305,0.027479,-0.001565,5.442613,-0.005055,0.049135,2.711586,2.731027
1.266667,0.138205,-0.000711,-0.030841,0.126710,0.002274,-0.000319,0.027240,-0.001545,5.510766,-0.005221,0.047382,2.745343,2.765423
1.300000,0.142452,-0.000767,-0.030852,0.128069,0.002236,-0.000334,0.027000,-0.001526,5.579865,-0.005387,0.045618,2.779574,2.800291
1.333333,0.146744,-0.000825,-0.030863,0.129458,0.002197,-0.000348,0.026761,-0.001507,5.649899,-0.005552,0.043841,2.814272,2.835627
1.366667,0.151083,-0.000887,-0.030875,0.130877,0.002157,-0.000363,0.026521,-0.001487,5.720859,-0.005717,0.042053,2.849435,2.871424
1.400000,0.155470,-0.000951,-0.030887,0.132326,0.002117,-0.000378,0.026282,-0.001468,5.792734,-0.005882,0.040254,2.885056,2.907678
1.433333,0.159905,-0.001018,-0.030900,0.133803,0.002076,-0.000393,0.026042,-0.001448,5.865516,-0.006046,0.038444,2.921131,2.944385
1.466667,0.164390,-0.001088,-0.030913,0.135310,0.002034,-0.000408,0.025803,-0.001429,5.939194,-0.006209,0.036626,2.957656,2.981538
1.500000,0.168926,-0.001161,-0.030927,0.136845,0.001992,-0.000424,0.025563,-0.001410,6.013758,-0.006372,0.034798,2.994625,3.019133
1.533333,0.173513,-0.001237,-0.030942,0.138409,0.001949,-0.000439,0.025324,-0.001390,6.089199,-0.006534,0.032962,3.032035,3.057164
1.566667,0.178153,-0.001317,-0.030956,0.140001,0.001906,-0.000454,0.025084,-0.001371,6.165507,-0.006695,0.031117,3.069879,3.095628
1.600000,0.182847,-0.001399,-0.030972,0.141621,0.001862,-0.000470,0.024845,-0.001351,6.242672,-0.006855,0.029266,3.108154,3.134518
1.633333,0.187594,-0.001485,-0.030988,0.143269,0.001818,-0.000486,0.024605,-0.001332,6.320684,-0.007013,0.027408,3.146855,3.173829
1.666667,0.192397,-0.001574,-0.031004,0.144944,0.001773,-0.000501,0.024366,-0.001313,6.399533,-0.007171,0.025544,3.185976,3.213557
1.700000,0.197256,-0.001667,-0.031021,0.146646,0.001727,-0.000517,0.024126,-0.001293,6.479211,-0.007327,0.023674,3.225514,3.253696
1.733333,0.202173,-0.001762,-0.031039,0.148375,0.001682,-0.000533,0.023887,-0.001274,6.559706,-0.007482,0.021800,3.265464,3.294242
1.766667,0.207147,-0.001862,-0.031057,0.150130,0.001635,-0.000549,0.023648,-0.001254,6.641009,-0.007636,0.019921,3.305820,3.335189
1.800000,0.212180,-0.001964,-0.031075,0.151912,0.001589,-0.000565,0.023408,-0.001235,6.723110,-0.007788,0.018039,3.346578,3.376532
1.833333,0.217273,-0.002070,-0.031094,0.153720,0.001541,-0.000581,0.023169,-0.001216,6.806000,-0.007939,0.016154,3.387733,3.418267
1.866667,0.222427,-0.002180,-0.031114,0.155553,0.001494,-0.000597,0.022929,-0.001196,6.889668,-0.008087,0.014266,3.429281,3.460387
1.900000,0.227642,-0.002293,-0.031134,0.157413,0.001446,-0.000613,0.022690,-0.001177,6.974105,-0.008235,0.012376,3.471217,3.502888
1.933333,0.232919,-0.002410,-0.031155,0.159297,0.001398,-0.000628,0.022450,-0.001157,7.059302,-0.008380,0.010485,3.513536,3.545766
1.966667,0.238260,-0.002531,-0.031176,0.161206,0.001349,-0.000644,0.022211,-0.001138,7.145247,-0.008523,0.008593,3.556233,3.589014
2.000000,0.243664,-0.002656,-0.031198,0.163140,0.001300,-0.000660,0.021971,-0.001119,7.231932,-0.008664,0.006701,3.599304,3.632628
2.033333,0.249133,-0.002784,-0.031220,0.165099,0.001251,-0.000676,0.021732,-0.001099,7.319347,-0.008803,0.004809,3.642744,3.676603
2.066667,0.254668,-0.002916,-0.031243,0.167081,0.001201,-0.000692,0.021492,-0.001080,7.407481,-0.008940,0.002919,3.686548,3.720933
2.100000,0.260269,-0.003052,-0.031266,0.169088,0.001151,-0.000707,0.021253,-0.001060,7.496326,-0.009075,0.001030,3.730712,3.765614
2.133333,0.265938,-0.003191,-0.031290,0.171118,0.001101,-0.000723,0.021013,-0.001041,7.585871,-0.009207,-0.000856,3.775230,3.810641
2.166667,0.271674,-0.003335,-0.031314,0.173172,0.001051,-0.000738,0.020774,-0.001022,7.676106,-0.009337,-0.002740,3.820098,3.856008
2.200000,0.277479,-0.003483,-0.031339,0.175248,0.001001,-0.000754,0.020534,-0.001002,7.767022,-0.009464,-0.004621,3.865311,3.901710
2.233333,0.283354,-0.003635,-0.031365,0.177348,0.000950,-0.000769,0.020295,-0.000983,7.858609,-0.009588,-0.006497,3.910865,3.947743
2.266667,0.289299,-0.003790,-0.031391,0.179470,0.000899,-0.000784,0.020055,-0.000963,7.950856,-0.009710,-0.008369,3.956755,3.994101
2.300000,0.295315,-0.003950,-0.031417,0.181614,0.000848,-0.000799,0.019816,-0.000944,8.043755,-0.009829,-0.010236,4.002976,4.040780
2.333333,0.301403,-0.004114,-0.031444,0.183781,0.000797,-0.000814,0.019576,-0.000925,8.137296,-0.009945,-0.012097,4.049523,4.087773
2.366667,0.307563,-0.004282,-0.031471,0.185969,0.000745,-0.000829,0.019337,-0.000905,8.231468,-0.010058,-0.013952,4.096392,4.135076
2.400000,0.313796,-0.004455,-0.031499,0.188179,0.000694,-0.000843,0.019097,-0.000886,8.326262,-0.010168,-0.015801,4.143577,4.182684
2.433333,0.320104,-0.004631,-0.031527,0.190409,0.000642,-0.000858,0.018858,-0.000866,8.421668,-0.010275,-0.017642,4.191075,4.230593
2.466667,0.326486,-0.004812,-0.031556,0.192661,0.000590,-0.000872,0.018618,-0.000847,8.517676,-0.010378,-0.019475,4.238880,4.278796
2.500000,0.332943,-0.004997,-0.031586,0.194934,0.000539,-0.000886,0.018379,-0.000828,8.614277,-0.010478,-0.021299,4.286988,4.327288
2.533333,0.339476,-0.005187,-0.031615,0.197227,0.000487,-0.000900,0.018139,-0.000808,8.711460,-0.010575,-0.023115,4.335394,4.376066
2.566667,0.346086,-0.005380,-0.031646,0.199540,0.000435,-0.000914,0.017900,-0.000789,8.809216,-0.010668,-0.024921,4.384093,4.425123
2.600000,0.352773,-0.005579,-0.031676,0.201874,0.000383,-0.000927,0.017660,-0.000769,8.907535,-0.010757,-0.026717,4.433081,4.474454
2.633333,0.359538,-0.005781,-0.031707,0.204226,0.000331,-0.000940,0.017421,-0.000750,9.006407,-0.010843,-0.028503,4.482352,4.524055
2.666667,0.366382,-0.005988,-0.031739,0.206599,0.000280,-0.000953,0.017181,-0.000731,9.105823,-0.010924,-0.030278,4.531903,4.573920
2.700000,0.373306,-0.006200,-0.031771,0.208990,0.000228,-0.000966,0.016942,-0.000711,9.205773,-0.011002,-0.032041,4.581728,4.624045
2.733333,0.380309,-0.006416,-0.031803,0.211400,0.000176,-0.000978,0.016702,-0.000692,9.306246,-0.011076,-0.033792,4.631823,4.674423
2.766667,0.387392,-0.006636,-0.031836,0.213829,0.000124,-0.000990,0.016463,-0.000672,9.407233,-0.011146,-0.035530,4.682182,4.725051
2.800000,0.394557,-0.006861,-0.031869,0.216276,0.000073,-0.001002,0.016223,-0.000653,9.508725,-0.011212,-0.037256,4.732802,4.775923
2.833333,0.401804,-0.007091,-0.031903,0.218741,0.000021,-0.001014,0.015984,-0.000634,9.610711,-0.011273,-0.038967,4.783677,4.827034
2.866667,0.409133,-0.007325,-0.031937,0.221224,-0.000030,-0.001025,0.015744,-0.000614,9.713181,-0.011330,-0.040665,4.834803,4.878378
2.900000,0.416545,-0.007564,-0.031971,0.223724,-0.000081,-0.001036,0.015505,-0.000595,9.816127,-0.011382,-0.042348,4.886175,4.929952
2.933333,0.424040,-0.007807,-0.032006,0.226242,-0.000133,-0.001047,0.015265,-0.000575,9.919537,-0.011430,-0.044017,4.937788,4.981749
2.966667,0.431620,-0.008055,-0.032041,0.228776,-0.000183,-0.001057,0.015026,-0.000556,10.023403,-0.011473,-0.045669,4.989638,5.033764
3.000000,0.439284,-0.008308,-0.032076,0.231327,-0.000234,-0.001067,0.014786,-0.000537,10.127714,-0.011511,-0.047306,5.041720,5.085994
3.033333,0.447033,-0.008565,-0.032112,0.233895,-0.000285,-0.001076,0.014547,-0.000517,10.232460,-0.011545,-0.048927,5.094029,5.138431
3.066667,0.454868,-0.008827,-0.032148,0.236479,-0.000335,-0.001086,0.014307,-0.000498,10.337632,-0.011573,-0.050531,5.146560,5.191072
3.100000,0.462790,-0.009094,-0.032185,0.239079,-0.000385,-0.001094,0.014068,-0.000478,10.443221,-0.011597,-0.052118,5.199309,5.243911
3.133333,0.470798,-0.009366,-0.032221,0.241694,-0.000435,-0.001103,0.013828,-0.000459,10.549215,-0.011615,-0.053687,5.252271,5.296944
3.166667,0.478894,-0.009642,-0.032258,0.244325,-0.000485,-0.001111,0.013589,-0.000440,10.655606,-0.011628,-0.055238,5.305442,5.350164
3.200000,0.487077,-0.009924,-0.032295,0.246971,-0.000534,-0.001119,0.013349,-0.000420,10.762384,-0.011636,-0.056771,5.358816,5.403568
3.233333,0.495349,-0.010210,-0.032333,0.249632,-0.000584,-0.001126,0.013110,-0.000401,10.869538,-0.011638,-0.058285,5.412389,5.457149
3.266667,0.503709,-0.010501,-0.032370,0.252307,-0.000633,-0.001133,0.012870,-0.000381,10.977059,-0.011634,-0.059780,5.466156,5.510904
3.300000,0.512159,-0.010796,-0.032408,0.254997,-0.000681,-0.001139,0.012631,-0.000362,11.084938,-0.011625,-0.061255,5.520112,5.564826
3.333333,0.520699,-0.011097,-0.032446,0.257701,-0.000729,-0.001145,0.012391,-0.000343,11.193164,-0.011611,-0.062711,5.574253,5.618910
3.366667,0.529329,-0.011402,-0.032484,0.260418,-0.000777,-0.001150,0.012152,-0.000323,11.301727,-0.011590,-0.064146,5.628575,5.673152
3.400000,0.538049,-0.011712,-0.032523,0.263149,-0.000825,-0.001155,0.011913,-0.000304,11.410618,-0.011564,-0.065560,5.683071,5.727547
3.433333,0.546861,-0.012028,-0.032561,0.265894,-0.000872,-0.001160,0.011673,-0.000284,11.519827,-0.011531,-0.066954,5.737738,5.782089
3.466667,0.555765,-0.012348,-0.032600,0.268651,-0.000919,-0.001164,0.011434,-0.000265,11.629344,-0.011493,-0.068327,5.792571,5.836773
3.500000,0.564760,-0.012673,-0.032639,0.271421,-0.000966,-0.001167,0.011194,-0.000246,11.739160,-0.011448,-0.069678,5.847565,5.891594
3.533333,0.573848,-0.013002,-0.032678,0.274203,-0.001012,-0.001170,0.010955,-0.000226,11.849264,-0.011396,-0.071008,5.902716,5.946548
3.566667,0.583028,-0.013337,-0.032717,0.276998,-0.001058,-0.001173,0.010715,-0.000207,11.959646,-0.011339,-0.072315,5.958018,6.001628
3.600000,0.592302,-0.013677,-0.032756,0.279804,-0.001103,-0.001175,0.010476,-0.000187,12.070298,-0.011275,-0.073600,6.013467,6.056831
3.633333,0.601670,-0.014022,-0.032795,0.282622,-0.001148,-0.001176,0.010263,-0.000165,12.181216,-0.011204,-0.074861,6.069062,6.112154
3.666667,0.611131,-0.014371,-0.032835,0.285452,-0.001193,-0.001177,0.010062,-0.000142,12.292409,-0.011128,-0.076096,6.124805,6.167604
3.700000,0.620687,-0.014726,-0.032874,0.288293,-0.001237,-0.001177,0.009860,-0.000119,12.403871,-0.011046,-0.077303,6.180694,6.223178
3.733333,0.630338,-0.015085,-0.032913,0.291144,-0.001280,-0.001177,0.009659,-0.000095,12.515594,-0.010958,-0.078483,6.236724,6.278870
3.766667,0.640083,-0.015450,-0.032952,0.294007,-0.001323,-0.001176,0.009457,-0.000072,12.627569,-0.010865,-0.079635,6.292891,6.334678
3.800000,0.649925,-0.015819,-0.032991,0.296880,-0.001366,-0.001175,0.009255,-0.000049,12.739788,-0.010765,-0.080758,6.349192,6.390596
3.833333,0.659862,-0.016194,-0.033031,0.299763,-0.001408,-0.001173,0.009054,-0.000026,12.852243,-0.010660,-0.081853,6.405622,6.446621
3.866667,0.669895,-0.016573,-0.033070,0.302656,-0.001450,-0.001170,0.008852,-0.000002,12.964924,-0.010548,-0.082918,6.462177,6.502748
3.900000,0.680025,-0.016957,-0.033109,0.305559,-0.001491,-0.001167,0.008651,0.000021,13.077825,-0.010431,-0.083954,6.518853,6.558972
3.933333,0.690251,-0.017347,-0.033147,0.308472,-0.001532,-0.001164,0.008449,0.000044,13.190937,-0.010308,-0.084960,6.575646,6.615291
3.966667,0.700575,-0.017741,-0.033186,0.311394,-0.001572,-0.001159,0.008247,0.000068,13.304252,-0.010178,-0.085935,6.632553,6.671699
4.000000,0.710996,-0.018140,-0.033225,0.314325,-0.001612,-0.001154,0.008046,0.000091,13.417761,-0.010042,-0.086880,6.689569,6.728192
4.033333,0.721515,-0.018545,-0.033263,0.317266,-0.001651,-0.001149,0.007844,0.000114,13.531455,-0.009900,-0.087794,6.746690,6.784766
4.066667,0.732132,-0.018954,-0.033301,0.320214,-0.001689,-0.001143,0.007643,0.000138,13.645328,-0.009751,-0.088677,6.803911,6.841417
4.100000,0.742847,-0.019368,-0.033339,0.323172,-0.001727,-0.001136,0.007441,0.000161,13.759370,-0.009596,-0.089529,6.861230,6.898140
4.133333,0.753661,-0.019787,-0.033377,0.326137,-0.001764,-0.001129,0.007240,0.000184,13.873573,-0.009435,-0.090349,6.918642,6.954931
4.166667,0.764574,-0.020211,-0.033415,0.329111,-0.001801,-0.001121,0.007038,0.000207,13.987930,-0.009267,-0.091136,6.976143,7.011787
4.200000,0.775585,-0.020640,-0.033452,0.332093,-0.001837,-0.001112,0.006836,0.000231,14.102431,-0.009093,-0.091892,7.033729,7.068702
4.233333,0.786697,-0.021074,-0.033489,0.335082,-0.001872,-0.001103,0.006635,0.000254,14.217068,-0.008912,-0.092615,7.091396,7.125672
4.266667,0.797908,-0.021513,-0.033525,0.338078,-0.001907,-0.001093,0.006433,0.000277,14.331834,-0.008724,-0.093305,7.149140,7.182694
4.300000,0.809218,-0.021956,-0.033562,0.341082,-0.001941,-0.001082,0.006232,0.000301,14.446719,-0.008530,-0.093962,7.206956,7.239763
4.333333,0.820629,-0.022405,-0.033597,0.344092,-0.001974,-0.001071,0.006030,0.000324,14.561716,-0.008328,-0.094587,7.264842,7.296874
4.366667,0.832141,-0.022858,-0.033633,0.347109,-0.002007,-0.001059,0.005828,0.000347,14.676817,-0.008120,-0.095177,7.322792,7.354025
4.400000,0.843752,-0.023317,-0.033668,0.350133,-0.002039,-0.001047,0.005627,0.000371,14.792012,-0.007905,-0.095735,7.380804,7.411209
4.433333,0.855465,-0.023780,-0.033703,0.353163,-0.002070,-0.001034,0.005425,0.000394,14.907295,-0.007683,-0.096258,7.438872,7.468423
4.466667,0.867279,-0.024248,-0.033737,0.356199,-0.002101,-0.001020,0.005224,0.000417,15.022656,-0.007454,-0.096748,7.496993,7.525663
4.500000,0.879193,-0.024721,-0.033771,0.359240,-0.002131,-0.001005,0.005022,0.000440,15.138087,-0.007218,-0.097204,7.555162,7.582925
4.533333,0.891210,-0.025199,-0.033804,0.362288,-0.002160,-0.000990,0.004820,0.000464,15.253580,-0.006975,-0.097626,7.613377,7.640204
4.566667,0.903327,-0.025681,-0.033837,0.365340,-0.002189,-0.000974,0.004619,0.000487,15.369127,-0.006725,-0.098013,7.671632,7.697496
4.600000,0.915547,-0.026169,-0.033869,0.368398,-0.002217,-0.000958,0.004417,0.000510,15.484719,-0.006467,-0.098367,7.729923,7.754796
4.633333,0.927868,-0.026661,-0.033900,0.371460,-0.002244,-0.000940,0.004216,0.000534,15.600349,-0.006202,-0.098685,7.788248,7.812101
4.666667,0.940292,-0.027157,-0.033932,0.374528,-0.002270,-0.000922,0.004014,0.000557,15.716008,-0.005930,-0.098970,7.846601,7.869407
4.700000,0.952817,-0.027659,-0.033962,0.377599,-0.002296,-0.000904,0.003813,0.000580,15.831687,-0.005650,-0.099220,7.904979,7.926708
4.733333,0.965445,-0.028165,-0.033992,0.380675,-0.002321,-0.000884,0.003611,0.000603,15.947378,-0.005362,-0.099435,7.963377,7.984001
4.766667,0.978176,-0.028676,-0.034021,0.383755,-0.002345,-0.000864,0.003409,0.000627,16.063074,-0.005068,-0.099615,8.021792,8.041282
4.800000,0.991009,-0.029192,-0.034049,0.386839,-0.002368,-0.000843,0.003208,0.000650,16.178765,-0.004765,-0.099761,8.080219,8.098546
4.833333,1.003945,-0.029712,-0.034077,0.389926,-0.002391,-0.000822,0.003006,0.000673,16.294445,-0.004455,-0.099873,8.138655,8.155789
4.866667,1.016983,-0.030237,-0.034104,0.393016,-0.002413,-0.000800,0.002805,0.000697,16.410103,-0.004137,-0.099949,8.197096,8.213007
4.900000,1.030125,-0.030766,-0.034130,0.396110,-0.002434,-0.000777,0.002603,0.000720,16.525732,-0.003811,-0.099991,8.255537,8.270196
4.933333,1.043370,-0.031300,-0.034156,0.399206,-0.002455,-0.000753,0.002401,0.000743,16.641325,-0.003478,-0.099998,8.313974,8.327351
4.966667,1.056718,-0.031838,-0.034181,0.402305,-0.002475,-0.000728,0.002200,0.000767,16.756871,-0.003137,-0.099971,8.372404,8.384467
5.000000,1.070169,-0.032381,-0.034205,0.405407,-0.002493,-0.000703,0.001998,0.000790,16.872364,-0.002787,-0.099909,8.430822,8.441542
5.033333,1.083723,-0.032929,-0.034228,0.408510,-0.002512,-0.000677,0.001797,0.000813,16.987795,-0.002430,-0.099813,8.489225,8.498570
5.066667,1.097381,-0.033481,-0.034250,0.411616,-0.002529,-0.000650,0.001595,0.000836,17.103155,-0.002064,-0.099683,8.547608,8.555548
5.100000,1.111143,-0.034037,-0.034271,0.414723,-0.002546,-0.000623,0.001393,0.000860,17.218437,-0.001691,-0.099518,8.605967,8.612470
5.133333,1.125007,-0.034597,-0.034291,0.417832,-0.002562,-0.000595,0.001192,0.000883,17.333633,-0.001309,-0.099319,8.664299,8.669334
5.166667,1.138976,-0.035163,-0.034311,0.420942,-0.002577,-0.000566,0.000990,0.000906,17.448732,-0.000919,-0.099086,8.722598,8.726134
5.200000,1.153048,-0.035732,-0.034329,0.424054,-0.002592,-0.000536,0.000789,0.000930,17.563729,-0.000521,-0.098819,8.780863,8.782867
5.233333,1.167224,-0.036305,-0.034346,0.427166,-0.002605,-0.000505,0.000587,0.000953,17.678614,-0.000114,-0.098518,8.839087,8.839527
5.266667,1.181503,-0.036883,-0.034363,0.430278,-0.002618,-0.000474,0.000386,0.000976,17.793379,0.000300,-0.098184,8.897267,8.896112
5.300000,1.195886,-0.037465,-0.034378,0.433392,-0.002630,-0.000442,0.000184,0.001000,17.908016,0.000724,-0.097816,8.955400,8.952616
5.333333,1.210373,-0.038052,-0.034392,0.436505,-0.002642,-0.000409,-0.000018,0.001023,18.022516,0.001156,-0.097415,9.013481,9.009035
5.366667,1.224963,-0.038642,-0.034405,0.439618,-0.002653,-0.000375,-0.000219,0.001046,18.136872,0.001596,-0.096981,9.071506,9.065366
5.400000,1.239657,-0.039237,-0.034417,0.442731,-0.002663,-0.000340,-0.000421,0.001069,18.251074,0.002045,-0.096514,9.129471,9.121604
5.433333,1.254455,-0.039835,-0.034428,0.445843,-0.002672,-0.000305,-0.000622,0.001093,18.365116,0.002503,-0.096015,9.187372,9.177744
5.466667,1.269356,-0.040438,-0.034437,0.448955,-0.002681,-0.000268,-0.000824,0.001116,18.478987,0.002970,-0.095483,9.245205,9.233783
5.500000,1.284361,-0.041044,-0.034446,0.452065,-0.002688,-0.000231,-0.001026,0.001139,18.592681,0.003445,-0.094919,9.302966,9.289716
5.533333,1.299470,-0.041655,-0.034453,0.455175,-0.002696,-0.000193,-0.001227,0.001163,18.706189,0.003929,-0.094323,9.360650,9.345539
5.566667,1.314682,-0.042269,-0.034458,0.458283,-0.002702,-0.000155,-0.001429,0.001186,18.819503,0.004422,-0.093696,9.418255,9.401248
5.600000,1.329998,-0.042887,-0.034463,0.461390,-0.002708,-0.000115,-0.001630,0.001209,18.932614,0.004924,-0.093037,9.475776,9.456838
5.633333,1.345417,-0.043509,-0.034466,0.464494,-0.002713,-0.000074,-0.001832,0.001232,19.045514,0.005435,-0.092348,9.533208,9.512306
5.666667,1.360939,-0.044135,-0.034468,0.467597,-0.002717,-0.000033,-0.002034,0.001256,19.158195,0.005955,-0.091628,9.590549,9.567646
5.700000,1.376565,-0.044765,-0.034468,0.470697,-0.002721,0.000009,-0.002235,0.001279,19.270649,0.006484,-0.090877,9.647793,9.622856
5.733333,1.392294,-0.045398,-0.034467,0.473794,-0.002724,0.000052,-0.002437,0.001302,19.382867,0.007022,-0.090097,9.704937,9.677930
5.766667,1.408126,-0.046035,-0.034465,0.476889,-0.002727,0.000096,-0.002638,0.001326,19.494841,0.007569,-0.089287,9.761976,9.732865
5.800000,1.424062,-0.046675,-0.034461,0.479981,-0.002728,0.000141,-0.002840,0.001349,19.606563,0.008125,-0.088447,9.818907,9.787655
5.833333,1.440100,-0.047319,-0.034455,0.483070,-0.002729,0.000186,-0.003041,0.001372,19.718024,0.008691,-0.087579,9.875726,9.842298
5.866667,1.456241,-0.047966,-0.034448,0.486155,-0.002730,0.000233,-0.003243,0.001396,19.829217,0.009266,-0.086682,9.932428,9.896789
5.900000,1.472485,-0.048617,-0.034440,0.489237,-0.002730,0.000280,-0.003445,0.001419,19.940133,0.009851,-0.085757,9.989010,9.951123
5.933333,1.488831,-0.049271,-0.034430,0.492315,-0.002729,0.000329,-0.003646,0.001442,20.050763,0.010445,-0.084805,10.045467,10.005296
5.966667,1.505280,-0.049929,-0.034418,0.495388,-0.002728,0.000378,-0.003848,0.001465,20.161100,0.011048,-0.083825,10.101796,10.059304
6.000000,1.521831,-0.050589,-0.034405,0.498457,-0.002726,0.000428,-0.004049,0.001489,20.271136,0.011661,-0.082819,10.157992,10.113143
6.033333,1.538484,-0.051253,-0.034389,0.501522,-0.002723,0.000479,-0.004251,0.001512,20.380861,0.012283,-0.081786,10.214052,10.166809
6.066667,1.555240,-0.051920,-0.034373,0.504582,-0.002720,0.000531,-0.004453,0.001535,20.490268,0.012915,-0.080727,10.269971,10.220297
6.100000,1.572097,-0.052590,-0.034354,0.507637,-0.002717,0.000584,-0.004654,0.001559,20.599349,0.013557,-0.079643,10.325745,10.273603
