t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_plan,tau_r_plan,tau_u_applied,tau_r_applied,T1_plan,T2_plan,T1_applied,T2_applied
20.800000,11.901880,1.176028,0.650731,0.552363,-0.042047,0.111244,14.498474,3.062479,1.272605,0.754245,-0.102598,0.209949,19.776700,0.993842,19.776700,0.993842,11.799585,7.977115,11.799585,7.977115
20.833333,11.917346,1.186085,0.654442,0.551360,-0.042031,0.111435,14.509045,3.085527,1.279608,0.753205,-0.102642,0.210249,19.745343,0.995113,19.745343,0.995113,11.786351,7.958992,11.786351,7.958992
20.866667,11.932748,1.196180,0.658160,0.550366,-0.042014,0.111624,14.519445,3.108614,1.286621,0.752172,-0.102684,0.210543,19.714325,0.996357,19.714325,0.996357,11.773234,7.941091,11.773234,7.941091
20.900000,11.948087,1.206312,0.661884,0.549380,-0.041996,0.111810,14.529675,3.131741,1.293644,0.751146,-0.102725,0.210834,19.683651,0.997574,19.683651,0.997574,11.760237,7.923414,11.760237,7.923414
20.933333,11.963361,1.216482,0.665614,0.548403,-0.041977,0.111993,14.539734,3.154905,1.300677,0.750129,-0.102763,0.211120,19.653319,0.998763,19.653319,0.998763,11.747358,7.905962,11.747358,7.905962
20.966667,11.978571,1.226688,0.669350,0.547434,-0.041958,0.112174,14.549622,3.178107,1.307719,0.749118,-0.102800,0.211402,19.623334,0.999924,19.623334,0.999924,11.734598,7.888735,11.734598,7.888735
21.000000,11.993717,1.236933,0.673092,0.546474,-0.041937,0.112352,14.559338,3.201345,1.314770,0.748116,-0.102835,0.211680,19.593694,1.001058,19.593694,1.001058,11.721959,7.871736,11.721959,7.871736
21.033333,12.008800,1.247214,0.676840,0.545523,-0.041916,0.112528,14.568884,3.224619,1.321831,0.747121,-0.102869,0.211953,19.564403,1.002163,19.564403,1.002163,11.709439,7.854964,11.709439,7.854964
21.066667,12.023818,1.257533,0.680594,0.544581,-0.041893,0.112700,14.578258,3.247927,1.328900,0.746134,-0.102901,0.212222,19.535461,1.003240,19.535461,1.003240,11.697039,7.838422,11.697039,7.838422
21.100000,12.038774,1.267889,0.684353,0.543648,-0.041870,0.112870,14.587459,3.271269,1.335979,0.745155,-0.102930,0.212487,19.506870,1.004289,19.506870,1.004289,11.684760,7.822110,11.684760,7.822110
21.133333,12.053665,1.278282,0.688119,0.542723,-0.041846,0.113037,14.596489,3.294644,1.343066,0.744183,-0.102959,0.212747,19.478630,1.005309,19.478630,1.005309,11.672601,7.806029,11.672601,7.806029
21.166667,12.068493,1.288712,0.691889,0.541807,-0.041822,0.113202,14.605347,3.318051,1.350162,0.743220,-0.102985,0.213003,19.450744,1.006299,19.450744,1.006299,11.660563,7.790181,11.660563,7.790181
21.200000,12.083258,1.299180,0.695665,0.540901,-0.041797,0.113363,14.614032,3.341488,1.357266,0.742265,-0.103010,0.213255,19.423213,1.007261,19.423213,1.007261,11.648647,7.774566,11.648647,7.774566
21.233333,12.097960,1.309684,0.699447,0.540003,-0.041771,0.113522,14.622544,3.364955,1.364379,0.741318,-0.103034,0.213502,19.396037,1.008193,19.396037,1.008193,11.636851,7.759186,11.636851,7.759186
21.266667,12.112598,1.320225,0.703233,0.539115,-0.041744,0.113677,14.630884,3.388452,1.371500,0.740379,-0.103055,0.213744,19.369218,1.009095,19.369218,1.009095,11.625177,7.744041,11.625177,7.744041
21.300000,12.127174,1.330804,0.707025,0.538235,-0.041717,0.113830,14.639051,3.411976,1.378629,0.739448,-0.103075,0.213982,19.342757,1.009968,19.342757,1.009968,11.613624,7.729132,11.613624,7.729132
21.333333,12.141686,1.341419,0.710822,0.537365,-0.041689,0.113980,14.647044,3.435528,1.385765,0.738526,-0.103094,0.214216,19.316655,1.010810,19.316655,1.010810,11.602193,7.714461,11.602193,7.714461
21.366667,12.156136,1.352071,0.714624,0.536504,-0.041661,0.114127,14.654864,3.459106,1.392910,0.737612,-0.103111,0.214445,19.290913,1.011623,19.290913,1.011623,11.590884,7.700028,11.590884,7.700028
21.400000,12.170523,1.362761,0.718430,0.535652,-0.041633,0.114271,14.662511,3.482709,1.400062,0.736706,-0.103126,0.214670,19.265532,1.012404,19.265532,1.012404,11.579697,7.685835,11.579697,7.685835
21.433333,12.184847,1.373486,0.722242,0.534810,-0.041604,0.114412,14.669984,3.506337,1.407221,0.735809,-0.103140,0.214890,19.240513,1.013155,19.240513,1.013155,11.568632,7.671882,11.568632,7.671882
21.466667,12.199108,1.384249,0.726058,0.533977,-0.041574,0.114551,14.677283,3.529988,1.414388,0.734920,-0.103152,0.215105,19.215858,1.013875,19.215858,1.013875,11.557688,7.658169,11.557688,7.658169
21.500000,12.213307,1.395049,0.729879,0.533153,-0.041545,0.114686,14.684409,3.553662,1.421561,0.734040,-0.103163,0.215316,19.191566,1.014564,19.191566,1.014564,11.546867,7.644699,11.546867,7.644699
21.533333,12.227444,1.405885,0.733704,0.532339,-0.041515,0.114818,14.691360,3.577357,1.428742,0.733169,-0.103172,0.215523,19.167639,1.015221,19.167639,1.015221,11.536168,7.631471,11.536168,7.631471
21.566667,12.241519,1.416758,0.737533,0.531534,-0.041485,0.114947,14.698138,3.601073,1.435929,0.732306,-0.103180,0.215725,19.144078,1.015847,19.144078,1.015847,11.525591,7.618487,11.525591,7.618487
21.600000,12.255531,1.427667,0.741367,0.530738,-0.041455,0.115073,14.704741,3.624809,1.443124,0.731452,-0.103186,0.215922,19.120883,1.016441,19.120883,1.016441,11.515135,7.605748,11.515135,7.605748
21.633333,12.269481,1.438613,0.745204,0.529952,-0.041424,0.115196,14.711170,3.648563,1.450324,0.730607,-0.103191,0.216114,19.098056,1.017003,19.098056,1.017003,11.504802,7.593254,11.504802,7.593254
21.666667,12.283370,1.449595,0.749046,0.529176,-0.041394,0.115316,14.717424,3.672336,1.457531,0.729771,-0.103194,0.216302,19.075596,1.017532,19.075596,1.017532,11.494591,7.581005,11.494591,7.581005
21.700000,12.297196,1.460614,0.752892,0.528409,-0.041363,0.115432,14.723504,3.696125,1.464744,0.728944,-0.103196,0.216485,19.053490,1.018033,19.053490,1.018033,11.484500,7.568990,11.484500,7.568990
21.733333,12.310961,1.471670,0.756742,0.527652,-0.041333,0.115546,14.729409,3.719930,1.471963,0.728126,-0.103196,0.216664,19.031735,1.018505,19.031735,1.018505,11.474530,7.557204,11.474530,7.557204
21.766667,12.324664,1.482762,0.760595,0.526904,-0.041302,0.115656,14.735140,3.743751,1.479188,0.727317,-0.103195,0.216837,19.010330,1.018948,19.010330,1.018948,11.464681,7.545649,11.464681,7.545649
21.800000,12.338306,1.493890,0.764452,0.526166,-0.041271,0.115764,14.740695,3.767585,1.486419,0.726517,-0.103192,0.217007,18.989276,1.019364,18.989276,1.019364,11.454953,7.534323,11.454953,7.534323
21.833333,12.351886,1.505055,0.768313,0.525437,-0.041240,0.115868,14.746076,3.791433,1.493656,0.725726,-0.103189,0.217171,18.968573,1.019751,18.968573,1.019751,11.445346,7.523227,11.445346,7.523227
21.866667,12.365405,1.516256,0.772177,0.524718,-0.041209,0.115969,14.751283,3.815292,1.500897,0.724944,-0.103183,0.217331,18.948220,1.020110,18.948220,1.020110,11.435860,7.512361,11.435860,7.512361
21.900000,12.378863,1.527493,0.776044,0.524009,-0.041178,0.116067,14.756314,3.839163,1.508144,0.724171,-0.103177,0.217486,18.928219,1.020440,18.928219,1.020440,11.426495,7.501725,11.426495,7.501725
21.933333,12.392260,1.538766,0.779914,0.523309,-0.041147,0.116162,14.761170,3.863044,1.515396,0.723407,-0.103169,0.217637,18.908569,1.020742,18.908569,1.020742,11.417251,7.491318,11.417251,7.491318
21.966667,12.405596,1.550076,0.783788,0.522619,-0.041115,0.116253,14.765852,3.886935,1.522653,0.722653,-0.103159,0.217782,18.889270,1.021016,18.889270,1.021016,11.408128,7.481142,11.408128,7.481142
22.000000,12.418872,1.561422,0.787665,0.521938,-0.041083,0.116342,14.770358,3.910834,1.529915,0.721908,-0.103149,0.217924,18.870323,1.021262,18.870323,1.021262,11.399127,7.471196,11.399127,7.471196
22.033333,12.432086,1.572804,0.791544,0.521267,-0.041051,0.116428,14.774690,3.934741,1.537181,0.721172,-0.103137,0.218060,18.851727,1.021480,18.851727,1.021480,11.390247,7.461479,11.390247,7.461479
22.066667,12.445240,1.584222,0.795426,0.520605,-0.041019,0.116510,14.778846,3.958654,1.544452,0.720445,-0.103124,0.218192,18.833483,1.021669,18.833483,1.021669,11.381490,7.451993,11.381490,7.451993
22.100000,12.458333,1.595676,0.799311,0.519954,-0.040987,0.116589,14.782827,3.982572,1.551728,0.719728,-0.103109,0.218319,18.815590,1.021830,18.815590,1.021830,11.372853,7.442737,11.372853,7.442737
22.133333,12.471366,1.607166,0.803199,0.519311,-0.040954,0.116665,14.786633,4.006495,1.559007,0.719019,-0.103093,0.218442,18.798050,1.021963,18.798050,1.021963,11.364339,7.433711,11.364339,7.433711
22.166667,12.484339,1.618692,0.807089,0.518679,-0.040921,0.116738,14.790265,4.030422,1.566290,0.718321,-0.103076,0.218560,18.780862,1.022068,18.780862,1.022068,11.355946,7.424916,11.355946,7.424916
22.200000,12.497251,1.630255,0.810982,0.518056,-0.040888,0.116808,14.793721,4.054351,1.573578,0.717631,-0.103058,0.218673,18.764026,1.022145,18.764026,1.022145,11.347676,7.416350,11.347676,7.416350
22.233333,12.510104,1.641853,0.814876,0.517442,-0.040854,0.116875,14.797002,4.078282,1.580868,0.716951,-0.103038,0.218782,18.747543,1.022193,18.747543,1.022193,11.339528,7.408015,11.339528,7.408015
22.266667,12.522896,1.653487,0.818773,0.516838,-0.040820,0.116939,14.800108,4.102214,1.588163,0.716281,-0.103017,0.218886,18.731412,1.022214,18.731412,1.022214,11.331501,7.399910,11.331501,7.399910
22.300000,12.535629,1.665157,0.822672,0.516244,-0.040786,0.116999,14.803040,4.126146,1.595461,0.715620,-0.102996,0.218986,18.715634,1.022206,18.715634,1.022206,11.323598,7.392036,11.323598,7.392036
22.333333,12.548301,1.676864,0.826573,0.515660,-0.040752,0.117057,14.805796,4.150077,1.602762,0.714968,-0.102972,0.219081,18.700208,1.022170,18.700208,1.022170,11.315816,7.384392,11.315816,7.384392
22.366667,12.560914,1.688605,0.830476,0.515085,-0.040717,0.117111,14.808378,4.174005,1.610066,0.714326,-0.102948,0.219172,18.685136,1.022106,18.685136,1.022106,11.308157,7.376979,11.308157,7.376979
22.400000,12.573468,1.700383,0.834380,0.514519,-0.040682,0.117162,14.810784,4.197931,1.617373,0.713693,-0.102923,0.219258,18.670417,1.022014,18.670417,1.022014,11.300621,7.369796,11.300621,7.369796
22.433333,12.585962,1.712197,0.838287,0.513964,-0.040646,0.117210,14.813016,4.221852,1.624683,0.713070,-0.102896,0.219339,18.656051,1.021894,18.656051,1.021894,11.293207,7.362844,11.293207,7.362844
22.466667,12.598396,1.724047,0.842194,0.513418,-0.040610,0.117255,14.815074,4.245769,1.631996,0.712457,-0.102868,0.219416,18.642039,1.021746,18.642039,1.021746,11.285916,7.356122,11.285916,7.356122
22.500000,12.610772,1.735932,0.846104,0.512882,-0.040574,0.117297,14.816957,4.269680,1.639311,0.711853,-0.102839,0.219488,18.628380,1.021570,18.628380,1.021570,11.278748,7.349631,11.278748,7.349631
22.533333,12.623088,1.747853,0.850014,0.512355,-0.040537,0.117336,14.818665,4.293583,1.646628,0.711259,-0.102810,0.219556,18.615075,1.021366,18.615075,1.021366,11.271704,7.343372,11.271704,7.343372
22.566667,12.635345,1.759810,0.853926,0.511838,-0.040500,0.117372,14.820199,4.317479,1.653948,0.710674,-0.102778,0.219619,18.602124,1.021134,18.602124,1.021134,11.264782,7.337342,11.264782,7.337342
22.600000,12.647543,1.771803,0.857839,0.511330,-0.040463,0.117404,14.821558,4.341367,1.661270,0.710099,-0.102746,0.219677,18.589527,1.020874,18.589527,1.020874,11.257983,7.331544,11.257983,7.331544
22.633333,12.659682,1.783832,0.861753,0.510833,-0.040425,0.117434,14.822743,4.365244,1.668593,0.709534,-0.102713,0.219731,18.577285,1.020586,18.577285,1.020586,11.251308,7.325977,11.251308,7.325977
22.666667,12.671762,1.795896,0.865668,0.510345,-0.040386,0.117460,14.823754,4.389111,1.675918,0.708978,-0.102679,0.219781,18.565397,1.020270,18.565397,1.020270,11.244756,7.320641,11.244756,7.320641
22.700000,12.683784,1.807996,0.869584,0.509866,-0.040347,0.117483,14.824591,4.412966,1.683245,0.708432,-0.102644,0.219826,18.553863,1.019926,18.553863,1.019926,11.238328,7.315536,11.238328,7.315536
22.733333,12.695746,1.820132,0.873500,0.509398,-0.040308,0.117504,14.825254,4.436809,1.690573,0.707896,-0.102608,0.219867,18.542685,1.019554,18.542685,1.019554,11.232023,7.310662,11.232023,7.310662
22.766667,12.707651,1.832304,0.877417,0.508939,-0.040268,0.117521,14.825744,4.460638,1.697903,0.707369,-0.102570,0.219903,18.531861,1.019154,18.531861,1.019154,11.225842,7.306019,11.225842,7.306019
22.800000,12.719497,1.844511,0.881335,0.508490,-0.040228,0.117534,14.826059,4.484453,1.705233,0.706853,-0.102532,0.219934,18.521392,1.018726,18.521392,1.018726,11.219785,7.301608,11.219785,7.301608
22.833333,12.731284,1.856754,0.885253,0.508050,-0.040188,0.117545,14.826201,4.508252,1.712565,0.706346,-0.102493,0.219961,18.511279,1.018270,18.511279,1.018270,11.213851,7.297428,11.213851,7.297428
22.866667,12.743013,1.869033,0.889171,0.507620,-0.040147,0.117553,14.826170,4.532035,1.719897,0.705849,-0.102453,0.219984,18.501521,1.017786,18.501521,1.017786,11.208042,7.293479,11.208042,7.293479
22.900000,12.754685,1.881347,0.893090,0.507200,-0.040105,0.117557,14.825966,4.555801,1.727231,0.705362,-0.102412,0.220002,18.492119,1.017275,18.492119,1.017275,11.202357,7.289762,11.202357,7.289762
22.933333,12.766298,1.893697,0.897008,0.506789,-0.040063,0.117559,14.825588,4.579549,1.734564,0.704884,-0.102370,0.220016,18.483072,1.016735,18.483072,1.016735,11.196795,7.286277,11.196795,7.286277
22.966667,12.777853,1.906083,0.900927,0.506389,-0.040021,0.117557,14.825038,4.603277,1.741898,0.704417,-0.102327,0.220025,18.474381,1.016167,18.474381,1.016167,11.191359,7.283023,11.191359,7.283023
23.000000,12.789350,1.918505,0.904845,0.505998,-0.039978,0.117553,14.824314,4.626985,1.749232,0.703959,-0.102283,0.220030,18.466047,1.015572,18.466047,1.015572,11.186046,7.280001,11.186046,7.280001
23.033333,12.800789,1.930962,0.908764,0.505616,-0.039934,0.117545,14.823418,4.650672,1.756567,0.703511,-0.102238,0.220031,18.458069,1.014949,18.458069,1.014949,11.180858,7.277210,11.180858,7.277210
23.066667,12.812170,1.943455,0.912682,0.505245,-0.039890,0.117534,14.822350,4.674337,1.763901,0.703073,-0.102192,0.220027,18.450447,1.014297,18.450447,1.014297,11.175795,7.274652,11.175795,7.274652
23.100000,12.823494,1.955983,0.916599,0.504883,-0.039846,0.117520,14.821110,4.697980,1.771235,0.702646,-0.102146,0.220018,18.443182,1.013618,18.443182,1.013618,11.170857,7.272325,11.170857,7.272325
23.133333,12.834761,1.968548,0.920516,0.504531,-0.039801,0.117502,14.819697,4.721598,1.778569,0.702228,-0.102098,0.220006,18.436273,1.012911,18.436273,1.012911,11.166043,7.270230,11.166043,7.270230
23.166667,12.845969,1.981148,0.924433,0.504188,-0.039755,0.117482,14.818113,4.745192,1.785902,0.701820,-0.102050,0.219988,18.429722,1.012176,18.429722,1.012176,11.161354,7.268368,11.161354,7.268368
23.200000,12.857121,1.993784,0.928348,0.503856,-0.039709,0.117459,14.816357,4.768760,1.793235,0.701422,-0.102001,0.219967,18.423527,1.011414,18.423527,1.011414,11.156790,7.266737,11.156790,7.266737
23.233333,12.868215,2.006455,0.932263,0.503533,-0.039663,0.117432,14.814430,4.792301,1.800567,0.701034,-0.101951,0.219941,18.417690,1.010623,18.417690,1.010623,11.152351,7.265339,11.152351,7.265339
23.266667,12.879252,2.019163,0.936177,0.503220,-0.039616,0.117403,14.812331,4.815815,1.807897,0.700656,-0.101901,0.219910,18.412211,1.009805,18.412211,1.009805,11.148038,7.264173,11.148038,7.264173
23.300000,12.890231,2.031906,0.940090,0.502917,-0.039568,0.117370,14.810061,4.839300,1.815227,0.700288,-0.101849,0.219876,18.407089,1.008959,18.407089,1.008959,11.143849,7.263239,11.143849,7.263239
23.333333,12.901154,2.044684,0.944002,0.502623,-0.039520,0.117334,14.807621,4.862756,1.822556,0.699930,-0.101797,0.219837,18.402324,1.008084,18.402324,1.008084,11.139786,7.262538,11.139786,7.262538
23.366667,12.912019,2.057499,0.947912,0.502339,-0.039471,0.117295,14.805010,4.886181,1.829883,0.699582,-0.101744,0.219793,18.397918,1.007183,18.397918,1.007183,11.135849,7.262069,11.135849,7.262069
23.400000,12.922828,2.070349,0.951821,0.502065,-0.039422,0.117253,14.802229,4.909575,1.837208,0.699245,-0.101690,0.219745,18.393870,1.006253,18.393870,1.006253,11.132037,7.261833,11.132037,7.261833
23.433333,12.933580,2.083235,0.955729,0.501801,-0.039372,0.117208,14.799278,4.932937,1.844532,0.698917,-0.101635,0.219693,18.390180,1.005295,18.390180,1.005295,11.128350,7.261830,11.128350,7.261830
23.466667,12.944275,2.096157,0.959635,0.501546,-0.039322,0.117160,14.796156,4.956266,1.851855,0.698599,-0.101580,0.219637,18.386849,1.004310,18.386849,1.004310,11.124790,7.262059,11.124790,7.262059
23.500000,12.954913,2.109115,0.963540,0.501302,-0.039271,0.117109,14.792866,4.979561,1.859175,0.698292,-0.101524,0.219576,18.383876,1.003297,18.383876,1.003297,11.121355,7.262521,11.121355,7.262521
23.533333,12.965495,2.122109,0.967442,0.501067,-0.039220,0.117054,14.789406,5.002821,1.866493,0.697995,-0.101467,0.219511,18.381262,1.002256,18.381262,1.002256,11.118047,7.263215,11.118047,7.263215
23.566667,12.976020,2.135138,0.971343,0.500842,-0.039168,0.116997,14.785777,5.026046,1.873809,0.697708,-0.101410,0.219441,18.379007,1.001187,18.379007,1.001187,11.114864,7.264143,11.114864,7.264143
23.600000,12.986489,2.148203,0.975242,0.500626,-0.039116,0.116936,14.781979,5.049233,1.881122,0.697431,-0.101352,0.219367,18.377111,1.000091,18.377111,1.000091,11.111807,7.265303,11.111807,7.265303
23.633333,12.996901,2.161304,0.979139,0.500421,-0.039063,0.116872,14.778013,5.072383,1.888433,0.697164,-0.101293,0.219289,18.375574,0.998967,18.375574,0.998967,11.108877,7.266697,11.108877,7.266697
23.666667,13.007257,2.174441,0.983034,0.500225,-0.039009,0.116806,14.773878,5.095494,1.895741,0.696908,-0.101233,0.219207,18.374397,0.997815,18.374397,0.997815,11.106073,7.268324,11.106073,7.268324
23.700000,13.017557,2.187614,0.986926,0.500039,-0.038955,0.116736,14.769576,5.118566,1.903047,0.696661,-0.101173,0.219120,18.373579,0.996635,18.373579,0.996635,11.103396,7.270184,11.103396,7.270184
23.733333,13.027801,2.200823,0.990816,0.499863,-0.038900,0.116663,14.765106,5.141598,1.910349,0.696425,-0.101112,0.219029,18.373122,0.995428,18.373122,0.995428,11.100845,7.272277,11.100845,7.272277
23.766667,13.037988,2.214068,0.994703,0.499697,-0.038845,0.116587,14.760468,5.164589,1.917649,0.696199,-0.101051,0.218934,18.373024,0.994192,18.373024,0.994192,11.098420,7.274603,11.098420,7.274603
23.800000,13.048120,2.227349,0.998588,0.499540,-0.038789,0.116507,14.755663,5.187537,1.924945,0.695984,-0.100989,0.218835,18.373286,0.992929,18.373286,0.992929,11.096123,7.277163,11.096123,7.277163
23.833333,13.058196,2.240665,1.002471,0.499394,-0.038733,0.116425,14.750692,5.210443,1.932238,0.695778,-0.100926,0.218731,18.373909,0.991639,18.373909,0.991639,11.093952,7.279957,11.093952,7.279957
23.866667,13.068215,2.254018,1.006350,0.499257,-0.038676,0.116340,14.745554,5.233304,1.939527,0.695583,-0.100863,0.218623,18.374891,0.990320,18.374891,0.990320,11.091908,7.282984,11.091908,7.282984
23.900000,13.078179,2.267407,1.010227,0.499130,-0.038618,0.116251,14.740250,5.256121,1.946812,0.695398,-0.100799,0.218511,18.376235,0.988974,18.376235,0.988974,11.089991,7.286244,11.089991,7.286244
23.933333,13.088087,2.280832,1.014100,0.499013,-0.038560,0.116159,14.734781,5.278893,1.954094,0.695224,-0.100734,0.218394,18.377939,0.987600,18.377939,0.987600,11.088201,7.289738,11.088201,7.289738
23.966667,13.097940,2.294293,1.017970,0.498906,-0.038502,0.116065,14.729145,5.301618,1.961372,0.695060,-0.100669,0.218273,18.380004,0.986199,18.380004,0.986199,11.086538,7.293466,11.086538,7.293466
24.000000,13.107737,2.307790,1.021838,0.498809,-0.038442,0.115967,14.723345,5.324295,1.968646,0.694906,-0.100603,0.218148,18.382431,0.984770,18.382431,0.984770,11.085003,7.297428,11.085003,7.297428
24.033333,13.117478,2.321324,1.025702,0.498721,-0.038382,0.115866,14.717380,5.346925,1.975915,0.694762,-0.100537,0.218019,18.385218,0.983313,18.385218,0.983313,11.083595,7.301623,11.083595,7.301623
24.066667,13.127164,2.334893,1.029562,0.498643,-0.038322,0.115762,14.711250,5.369505,1.983180,0.694629,-0.100470,0.217886,18.388367,0.981828,18.388367,0.981828,11.082314,7.306053,11.082314,7.306053
24.100000,13.136794,2.348499,1.033419,0.498576,-0.038261,0.115655,14.704956,5.392035,1.990441,0.694506,-0.100402,0.217748,18.391877,0.980316,18.391877,0.980316,11.081161,7.310716,11.081161,7.310716
24.133333,13.146369,2.362141,1.037272,0.498518,-0.038199,0.115545,14.698498,5.414515,1.997697,0.694393,-0.100334,0.217606,18.395749,0.978776,18.395749,0.978776,11.080135,7.315614,11.080135,7.315614
24.166667,13.155889,2.375819,1.041122,0.498470,-0.038137,0.115431,14.691877,5.436943,2.004948,0.694291,-0.100265,0.217460,18.399983,0.977208,18.399983,0.977208,11.079238,7.320745,11.079238,7.320745
24.200000,13.165353,2.389534,1.044968,0.498432,-0.038074,0.115315,14.685093,5.459318,2.012194,0.694199,-0.100196,0.217309,18.404579,0.975613,18.404579,0.975613,11.078468,7.326111,11.078468,7.326111
24.233333,13.174763,2.403285,1.048810,0.498403,-0.038011,0.115196,14.678146,5.481641,2.019435,0.694118,-0.100126,0.217155,18.409536,0.973990,18.409536,0.973990,11.077826,7.331711,11.077826,7.331711
24.266667,13.184117,2.417073,1.052647,0.498385,-0.037947,0.115073,14.671036,5.503909,2.026671,0.694047,-0.100056,0.216996,18.414857,0.972339,18.414857,0.972339,11.077312,7.337545,11.077312,7.337545
24.300000,13.193416,2.430897,1.056481,0.498376,-0.037882,0.114947,14.663765,5.526121,2.033901,0.693986,-0.099985,0.216833,18.420539,0.970661,18.420539,0.970661,11.076925,7.343614,11.076925,7.343614
24.333333,13.202661,2.444757,1.060311,0.498378,-0.037817,0.114819,14.656332,5.548279,2.041126,0.693936,-0.099914,0.216666,18.426584,0.968955,18.426584,0.968955,11.076668,7.349917,11.076668,7.349917
24.366667,13.211850,2.458654,1.064136,0.498389,-0.037751,0.114687,14.648738,5.570379,2.048346,0.693896,-0.099842,0.216495,18.432992,0.967222,18.432992,0.967222,11.076538,7.356454,11.076538,7.356454
24.400000,13.220984,2.472588,1.067956,0.498410,-0.037685,0.114552,14.640982,5.592422,2.055559,0.693867,-0.099769,0.216319,18.439763,0.965461,18.439763,0.965461,11.076537,7.363226,11.076537,7.363226
24.433333,13.230064,2.486558,1.071772,0.498441,-0.037618,0.114414,14.633067,5.614407,2.062767,0.693848,-0.099696,0.216139,18.446897,0.963672,18.446897,0.963672,11.076664,7.370233,11.076664,7.370233
24.466667,13.239089,2.500565,1.075584,0.498482,-0.037550,0.114273,14.624991,5.636332,2.069968,0.693840,-0.099623,0.215956,18.454394,0.961856,18.454394,0.961856,11.076920,7.377474,11.076920,7.377474
24.500000,13.248059,2.514608,1.079391,0.498533,-0.037482,0.114128,14.616755,5.658197,2.077164,0.693842,-0.099549,0.215767,18.462254,0.960012,18.462254,0.960012,11.077304,7.384950,11.077304,7.384950
24.533333,13.256975,2.528688,1.083192,0.498594,-0.037413,0.113981,14.608360,5.680002,2.084353,0.693854,-0.099474,0.215575,18.470477,0.958141,18.470477,0.958141,11.077817,7.392661,11.077817,7.392661
24.566667,13.265836,2.542805,1.086989,0.498665,-0.037344,0.113831,14.599806,5.701745,2.091535,0.693877,-0.099400,0.215379,18.479065,0.956242,18.479065,0.956242,11.078458,7.400606,11.078458,7.400606
24.600000,13.274643,2.556959,1.090781,0.498746,-0.037274,0.113677,14.591094,5.723426,2.098711,0.693910,-0.099324,0.215178,18.488015,0.954315,18.488015,0.954315,11.079229,7.408786,11.079229,7.408786
24.633333,13.283395,2.571150,1.094568,0.498836,-0.037203,0.113521,14.582224,5.745043,2.105880,0.693954,-0.099248,0.214974,18.497330,0.952361,18.497330,0.952361,11.080128,7.417202,11.080128,7.417202
24.666667,13.292092,2.585378,1.098349,0.498937,-0.037131,0.113361,14.573195,5.766596,2.113043,0.694009,-0.099172,0.214765,18.507009,0.950379,18.507009,0.950379,11.081157,7.425852,11.081157,7.425852
24.700000,13.300736,2.599642,1.102125,0.499048,-0.037059,0.113198,14.564010,5.788085,2.120198,0.694073,-0.099095,0.214552,18.517052,0.948370,18.517052,0.948370,11.082315,7.434737,11.082315,7.434737
24.733333,13.309325,2.613944,1.105896,0.499168,-0.036987,0.113032,14.554668,5.809508,2.127346,0.694149,-0.099017,0.214334,18.527459,0.946334,18.527459,0.946334,11.083602,7.443857,11.083602,7.443857
24.766667,13.317859,2.628283,1.109661,0.499298,-0.036913,0.112863,14.545169,5.830865,2.134487,0.694235,-0.098940,0.214113,18.538230,0.944269,18.538230,0.944269,11.085018,7.453212,11.085018,7.453212
24.800000,13.326340,2.642659,1.113420,0.499439,-0.036839,0.112691,14.535514,5.852154,2.141620,0.694331,-0.098861,0.213887,18.549366,0.942178,18.549366,0.942178,11.086563,7.462803,11.086563,7.462803
24.833333,13.334766,2.657072,1.117173,0.499589,-0.036765,0.112516,14.525704,5.873376,2.148746,0.694438,-0.098782,0.213658,18.560867,0.940059,18.560867,0.940059,11.088238,7.472628,11.088238,7.472628
24.866667,13.343138,2.671522,1.120921,0.499749,-0.036689,0.112338,14.515738,5.894528,2.155864,0.694555,-0.098703,0.213424,18.572732,0.937912,18.572732,0.937912,11.090043,7.482689,11.090043,7.482689
24.900000,13.351457,2.686010,1.124662,0.499920,-0.036613,0.112157,14.505618,5.915611,2.162974,0.694683,-0.098623,0.213186,18.584962,0.935738,18.584962,0.935738,11.091977,7.492985,11.091977,7.492985
24.933333,13.359721,2.700535,1.128398,0.500100,-0.036537,0.111972,14.495344,5.936624,2.170076,0.694822,-0.098543,0.212944,18.597557,0.933536,18.597557,0.933536,11.094041,7.503517,11.094041,7.503517
24.966667,13.367931,2.715097,1.132127,0.500290,-0.036459,0.111785,14.484916,5.957566,2.177170,0.694970,-0.098462,0.212698,18.610518,0.931307,18.610518,0.931307,11.096234,7.514283,11.096234,7.514283
25.000000,13.376087,2.729697,1.135850,0.500490,-0.036381,0.111594,14.474334,5.978437,2.184256,0.695130,-0.098381,0.212447,18.623843,0.929051,18.623843,0.929051,11.098558,7.525286,11.098558,7.525286
25.033333,13.384190,2.744335,1.139567,0.500700,-0.036302,0.111401,14.463600,5.999234,2.191333,0.695300,-0.098299,0.212193,18.637535,0.926767,18.637535,0.926767,11.101011,7.536523,11.101011,7.536523
25.066667,13.392238,2.759010,1.143277,0.500920,-0.036223,0.111204,14.452713,6.019958,2.198402,0.695481,-0.098217,0.211934,18.651591,0.924456,18.651591,0.924456,11.103595,7.547996,11.103595,7.547996
